LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEPHEN C SMITH,JIMMY GOMEZ,
LOS ANGELES,9001014A,3534,200,N,,VBM PORTION,46,7,38,
LOS ANGELES,9001014A,3534,200,N,715,TOTAL,116,22,91,
LOS ANGELES,9001023A,3540,200,N,1207,POLLING PLACE,161,28,124,
LOS ANGELES,9001023A,3540,200,N,,VBM PORTION,62,18,39,
LOS ANGELES,9001023A,3540,200,N,1207,TOTAL,223,46,163,
LOS ANGELES,9001062A,3561,200,N,1091,POLLING PLACE,86,11,62,
LOS ANGELES,9001062A,3561,200,N,,VBM PORTION,39,8,28,
LOS ANGELES,9001062A,3561,200,N,1091,TOTAL,125,19,90,
LOS ANGELES,9001086A,3576,198,N,471,POLLING PLACE,86,20,62,
LOS ANGELES,9001086A,3576,198,N,,VBM PORTION,22,6,14,
LOS ANGELES,9001086A,3576,198,N,471,TOTAL,108,26,76,
LOS ANGELES,9001104A,3587,200,N,1127,POLLING PLACE,153,15,125,
LOS ANGELES,9001104A,3587,200,N,,VBM PORTION,33,10,21,
LOS ANGELES,9001104A,3587,200,N,1127,TOTAL,186,25,146,
LOS ANGELES,9001210A,3629,200,N,1039,POLLING PLACE,171,24,134,
LOS ANGELES,9001210A,3629,200,N,,VBM PORTION,37,9,25,
LOS ANGELES,9001210A,3629,200,N,1039,TOTAL,208,33,159,
LOS ANGELES,9001344B,3685,200,N,942,POLLING PLACE,141,18,106,
LOS ANGELES,9001344B,3685,200,N,,VBM PORTION,52,6,44,
LOS ANGELES,9001344B,3685,200,N,942,TOTAL,193,24,150,
LOS ANGELES,9001353A,3690,200,N,1025,POLLING PLACE,171,24,135,
LOS ANGELES,9001353A,3690,200,N,,VBM PORTION,34,12,22,
LOS ANGELES,9001353A,3690,200,N,1025,TOTAL,205,36,157,
LOS ANGELES,9001419A,3714,200,N,1159,POLLING PLACE,179,23,144,
LOS ANGELES,9001419A,3714,200,N,,VBM PORTION,38,7,27,
LOS ANGELES,9001419A,3714,200,N,1159,TOTAL,217,30,171,
LOS ANGELES,9001488B,3753,198,N,699,POLLING PLACE,112,21,83,
LOS ANGELES,9001488B,3753,198,N,,VBM PORTION,15,2,10,
LOS ANGELES,9001488B,3753,198,N,699,TOTAL,127,23,93,
LOS ANGELES,9001577A,3792,200,N,1133,POLLING PLACE,215,22,182,
LOS ANGELES,9001577A,3792,200,N,,VBM PORTION,38,7,25,
LOS ANGELES,9001577A,3792,200,N,1133,TOTAL,253,29,207,
LOS ANGELES,9001660A,3820,200,N,737,POLLING PLACE,69,9,51,
LOS ANGELES,9001660A,3820,200,N,,VBM PORTION,36,2,30,
LOS ANGELES,9001660A,3820,200,N,737,TOTAL,105,11,81,
LOS ANGELES,9001664A,3821,200,N,1173,POLLING PLACE,119,10,103,
LOS ANGELES,9001664A,3821,200,N,,VBM PORTION,31,5,23,
LOS ANGELES,9001664A,3821,200,N,1173,TOTAL,150,15,126,
LOS ANGELES,9001686A,3828,200,N,519,POLLING PLACE,62,12,42,
LOS ANGELES,9001686A,3828,200,N,,VBM PORTION,6,4,1,
LOS ANGELES,9001686A,3828,200,N,519,TOTAL,68,16,43,
LOS ANGELES,9001735B,3851,198,N,941,POLLING PLACE,246,27,202,
LOS ANGELES,9001735B,3851,198,N,,VBM PORTION,69,4,62,
LOS ANGELES,9001735B,3851,198,N,941,TOTAL,315,31,264,
LOS ANGELES,9001797A,3883,200,N,1148,POLLING PLACE,172,23,129,
LOS ANGELES,9001797A,3883,200,N,,VBM PORTION,47,11,32,
LOS ANGELES,9001797A,3883,200,N,1148,TOTAL,219,34,161,
LOS ANGELES,9001838A,3896,200,N,1177,POLLING PLACE,137,33,94,
LOS ANGELES,9001838A,3896,200,N,,VBM PORTION,71,23,43,
LOS ANGELES,9001838A,3896,200,N,1177,TOTAL,208,56,137,
LOS ANGELES,9001839A,3897,200,N,1024,POLLING PLACE,110,16,89,
LOS ANGELES,9001839A,3897,200,N,,VBM PORTION,38,8,28,
LOS ANGELES,9001839A,3897,200,N,1024,TOTAL,148,24,117,
LOS ANGELES,9001841A,3898,200,N,865,POLLING PLACE,111,9,96,
LOS ANGELES,9001841A,3898,200,N,,VBM PORTION,32,3,25,
LOS ANGELES,9001841A,3898,200,N,865,TOTAL,143,12,121,
LOS ANGELES,9002029A,3971,198,N,1072,POLLING PLACE,260,20,227,
LOS ANGELES,9002029A,3971,198,N,,VBM PORTION,53,3,41,
LOS ANGELES,9002029A,3971,198,N,1072,TOTAL,313,23,268,
LOS ANGELES,9002053B,3983,200,N,1141,POLLING PLACE,179,32,134,
LOS ANGELES,9002053B,3983,200,N,,VBM PORTION,54,18,34,
LOS ANGELES,9002053B,3983,200,N,1141,TOTAL,233,50,168,
LOS ANGELES,9002072D,3991,200,N,858,POLLING PLACE,113,16,92,
LOS ANGELES,9002072D,3991,200,N,,VBM PORTION,39,7,26,
LOS ANGELES,9002072D,3991,200,N,858,TOTAL,152,23,118,
LOS ANGELES,9002098A,4007,200,N,1038,POLLING PLACE,160,20,131,
LOS ANGELES,9002098A,4007,200,N,,VBM PORTION,33,6,25,
LOS ANGELES,9002098A,4007,200,N,1038,TOTAL,193,26,156,
LOS ANGELES,9002169B,4048,200,N,1047,POLLING PLACE,203,23,168,
LOS ANGELES,9002169B,4048,200,N,,VBM PORTION,32,12,15,
LOS ANGELES,9002169B,4048,200,N,1047,TOTAL,235,35,183,
LOS ANGELES,9002192A,4059,200,N,1152,POLLING PLACE,256,50,188,
LOS ANGELES,9002192A,4059,200,N,,VBM PORTION,82,21,57,
LOS ANGELES,9002192A,4059,200,N,1152,TOTAL,338,71,245,
LOS ANGELES,9002210A,4064,200,N,945,POLLING PLACE,309,87,204,
LOS ANGELES,9002210A,4064,200,N,,VBM PORTION,62,26,32,
LOS ANGELES,9002210A,4064,200,N,945,TOTAL,371,113,236,
LOS ANGELES,9002248A,4077,200,N,1093,POLLING PLACE,244,37,193,
LOS ANGELES,9002248A,4077,200,N,,VBM PORTION,69,23,44,
LOS ANGELES,9002248A,4077,200,N,1093,TOTAL,313,60,237,
LOS ANGELES,9002349A,4128,200,N,1113,POLLING PLACE,172,21,143,
LOS ANGELES,9002349A,4128,200,N,,VBM PORTION,46,3,41,
LOS ANGELES,9002349A,4128,200,N,1113,TOTAL,218,24,184,
LOS ANGELES,9002353B,4130,200,N,1148,POLLING PLACE,205,27,168,
LOS ANGELES,9002353B,4130,200,N,,VBM PORTION,43,6,35,
LOS ANGELES,9002353B,4130,200,N,1148,TOTAL,248,33,203,
LOS ANGELES,9002464A,6298,197,Y,,POLLING PLACE,,,,
LOS ANGELES,9002464A,6298,197,Y,,VBM PORTION,,,,
LOS ANGELES,9002464A,6298,197,Y,,TOTAL,,,,
LOS ANGELES,9002648B,4245,198,N,1047,POLLING PLACE,216,21,181,
LOS ANGELES,9002648B,4245,198,N,,VBM PORTION,44,4,34,
LOS ANGELES,9002648B,4245,198,N,1047,TOTAL,260,25,215,
LOS ANGELES,9002655A,6317,200,Y,4,POLLING PLACE,,,,
LOS ANGELES,9002655A,6317,200,Y,,VBM PORTION,2,,1,
LOS ANGELES,9002655A,6317,200,Y,4,TOTAL,2,,1,
LOS ANGELES,9002691A,4256,200,N,961,POLLING PLACE,145,16,123,
LOS ANGELES,9002691A,4256,200,N,,VBM PORTION,23,3,17,
LOS ANGELES,9002691A,4256,200,N,961,TOTAL,168,19,140,
LOS ANGELES,9002714A,4260,200,N,1033,POLLING PLACE,169,21,139,
LOS ANGELES,9002714A,4260,200,N,,VBM PORTION,80,20,57,
LOS ANGELES,9002714A,4260,200,N,1033,TOTAL,249,41,196,
LOS ANGELES,9002780A,4270,198,N,1217,POLLING PLACE,303,26,249,
LOS ANGELES,9002780A,4270,198,N,,VBM PORTION,83,8,65,
LOS ANGELES,9002780A,4270,198,N,1217,TOTAL,386,34,314,
LOS ANGELES,9002809A,4277,200,N,975,POLLING PLACE,229,28,189,
LOS ANGELES,9002809A,4277,200,N,,VBM PORTION,61,7,49,
LOS ANGELES,9002809A,4277,200,N,975,TOTAL,290,35,238,
LOS ANGELES,9002813C,4279,200,N,863,POLLING PLACE,134,18,96,
LOS ANGELES,9002813C,4279,200,N,,VBM PORTION,40,6,32,
LOS ANGELES,9002813C,4279,200,N,863,TOTAL,174,24,128,
LOS ANGELES,9002843A,4285,200,N,1020,POLLING PLACE,88,12,71,
LOS ANGELES,9002843A,4285,200,N,,VBM PORTION,40,5,30,
LOS ANGELES,9002843A,4285,200,N,1020,TOTAL,128,17,101,
LOS ANGELES,9002843C,6331,199,Y,,POLLING PLACE,,,,
LOS ANGELES,9002843C,6331,199,Y,,VBM PORTION,,,,
LOS ANGELES,9002843C,6331,199,Y,,TOTAL,,,,
LOS ANGELES,9003168A,4322,200,N,824,POLLING PLACE,181,35,141,
LOS ANGELES,9003168A,4322,200,N,,VBM PORTION,52,12,34,
LOS ANGELES,9003168A,4322,200,N,824,TOTAL,233,47,175,
LOS ANGELES,9003518A,4353,200,N,999,POLLING PLACE,175,24,139,
LOS ANGELES,9003518A,4353,200,N,,VBM PORTION,32,4,27,
LOS ANGELES,9003518A,4353,200,N,999,TOTAL,207,28,166,
LOS ANGELES,9003937B,4375,200,N,993,POLLING PLACE,360,35,293,
LOS ANGELES,9003937B,4375,200,N,,VBM PORTION,73,15,50,
LOS ANGELES,9003937B,4375,200,N,993,TOTAL,433,50,343,
LOS ANGELES,9003988A,4380,198,N,848,POLLING PLACE,212,17,185,
LOS ANGELES,9003988A,4380,198,N,,VBM PORTION,39,6,29,
LOS ANGELES,9003988A,4380,198,N,848,TOTAL,251,23,214,
LOS ANGELES,9004090A,4382,200,N,841,POLLING PLACE,128,5,112,
LOS ANGELES,9004090A,4382,200,N,,VBM PORTION,21,2,18,
LOS ANGELES,9004090A,4382,200,N,841,TOTAL,149,7,130,
LOS ANGELES,9005105B,6337,200,Y,210,POLLING PLACE,,,,
LOS ANGELES,9005105B,6337,200,Y,,VBM PORTION,20,4,12,
LOS ANGELES,9005105B,6337,200,Y,210,TOTAL,20,4,12,
LOS ANGELES,9005537A,4461,200,N,1173,POLLING PLACE,250,18,225,
LOS ANGELES,9005537A,4461,200,N,,VBM PORTION,55,8,41,
LOS ANGELES,9005537A,4461,200,N,1173,TOTAL,305,26,266,
LOS ANGELES,9005538A,4462,200,N,966,POLLING PLACE,194,22,163,
LOS ANGELES,9005538A,4462,200,N,,VBM PORTION,15,3,11,
LOS ANGELES,9005538A,4462,200,N,966,TOTAL,209,25,174,
LOS ANGELES,9005541A,4463,198,N,1158,POLLING PLACE,267,23,219,
LOS ANGELES,9005541A,4463,198,N,,VBM PORTION,55,9,40,
LOS ANGELES,9005541A,4463,198,N,1158,TOTAL,322,32,259,
LOS ANGELES,9005543C,4464,200,N,1081,POLLING PLACE,138,30,98,
LOS ANGELES,9005543C,4464,200,N,,VBM PORTION,64,18,43,
LOS ANGELES,9005543C,4464,200,N,1081,TOTAL,202,48,141,
LOS ANGELES,9006098C,4496,198,N,1187,POLLING PLACE,248,24,211,
LOS ANGELES,9006098C,4496,198,N,,VBM PORTION,46,6,35,
LOS ANGELES,9006098C,4496,198,N,1187,TOTAL,294,30,246,
LOS ANGELES,9006302A,4532,198,N,835,POLLING PLACE,200,14,175,
LOS ANGELES,9006302A,4532,198,N,,VBM PORTION,51,11,37,
LOS ANGELES,9006302A,4532,198,N,835,TOTAL,251,25,212,
LOS ANGELES,9006307A,6339,198,Y,18,POLLING PLACE,,,,
LOS ANGELES,9006307A,6339,198,Y,,VBM PORTION,,,,
LOS ANGELES,9006307A,6339,198,Y,18,TOTAL,,,,
LOS ANGELES,9006313A,4535,200,N,966,POLLING PLACE,240,30,186,
LOS ANGELES,9006313A,4535,200,N,,VBM PORTION,85,25,54,
LOS ANGELES,9006313A,4535,200,N,966,TOTAL,325,55,240,
LOS ANGELES,9006315A,4536,200,N,1192,POLLING PLACE,300,47,231,
LOS ANGELES,9006315A,4536,200,N,,VBM PORTION,92,29,55,
LOS ANGELES,9006315A,4536,200,N,1192,TOTAL,392,76,286,
LOS ANGELES,9006317A,4537,200,N,925,POLLING PLACE,171,31,132,
LOS ANGELES,9006317A,4537,200,N,,VBM PORTION,73,22,43,
LOS ANGELES,9006317A,4537,200,N,925,TOTAL,244,53,175,
LOS ANGELES,9006319A,4538,200,N,950,POLLING PLACE,163,21,126,
LOS ANGELES,9006319A,4538,200,N,,VBM PORTION,55,18,28,
LOS ANGELES,9006319A,4538,200,N,950,TOTAL,218,39,154,
LOS ANGELES,9006320D,4539,200,N,1115,POLLING PLACE,203,48,142,
LOS ANGELES,9006320D,4539,200,N,,VBM PORTION,68,27,33,
LOS ANGELES,9006320D,4539,200,N,1115,TOTAL,271,75,175,
LOS ANGELES,9006324A,4540,200,N,1165,POLLING PLACE,208,54,135,
LOS ANGELES,9006324A,4540,200,N,,VBM PORTION,90,18,64,
LOS ANGELES,9006324A,4540,200,N,1165,TOTAL,298,72,199,
LOS ANGELES,9006334A,4541,200,N,982,POLLING PLACE,275,59,191,
LOS ANGELES,9006334A,4541,200,N,,VBM PORTION,57,14,40,
LOS ANGELES,9006334A,4541,200,N,982,TOTAL,332,73,231,
LOS ANGELES,9006335A,4542,200,N,942,POLLING PLACE,264,61,177,
LOS ANGELES,9006335A,4542,200,N,,VBM PORTION,63,26,35,
LOS ANGELES,9006335A,4542,200,N,942,TOTAL,327,87,212,
LOS ANGELES,9006337A,4543,200,N,888,POLLING PLACE,275,60,186,
LOS ANGELES,9006337A,4543,200,N,,VBM PORTION,77,28,35,
LOS ANGELES,9006337A,4543,200,N,888,TOTAL,352,88,221,
LOS ANGELES,9007434A,4640,198,N,1025,POLLING PLACE,203,23,165,
LOS ANGELES,9007434A,4640,198,N,,VBM PORTION,24,5,18,
LOS ANGELES,9007434A,4640,198,N,1025,TOTAL,227,28,183,
BALLOT GROUP 197,9990197A,8197,197,N,,POLLING PLACE,,,,
BALLOT GROUP 197,9990197A,8197,197,N,,VBM PORTION,,,,
BALLOT GROUP 197,9990197A,8197,197,N,,TOTAL,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,POLLING PLACE,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,VBM PORTION,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,TOTAL,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,POLLING PLACE,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,VBM PORTION,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,TOTAL,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,POLLING PLACE,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,VBM PORTION,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,TOTAL,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,POLLING PLACE,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,VBM PORTION,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,TOTAL,,,,
