LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT HOUSTON,STEPHEN MURRAY,JEFF EBENSTEIN,
BEVERLY HILLS,0900004A,277,184,N,848,POLLING PLACE,104,14,19,25,
BEVERLY HILLS,0900004A,277,184,N,,VBM PORTION,136,25,11,52,
BEVERLY HILLS,0900004A,277,184,N,848,TOTAL,240,39,30,77,
CALABASAS,1000008B,6035,120,Y,56,POLLING PLACE,,,,,
CALABASAS,1000008B,6035,120,Y,,VBM PORTION,9,,2,3,
CALABASAS,1000008B,6035,120,Y,56,TOTAL,9,,2,3,
CENTINELA,1060001A,6047,326,Y,133,POLLING PLACE,,,,,
CENTINELA,1060001A,6047,326,Y,,VBM PORTION,23,3,1,5,
CENTINELA,1060001A,6047,326,Y,133,TOTAL,23,3,1,5,
CENTINELA,1060002A,6048,329,Y,,POLLING PLACE,,,,,
CENTINELA,1060002A,6048,329,Y,,VBM PORTION,,,,,
CENTINELA,1060002A,6048,329,Y,,TOTAL,,,,,
CULVER CITY,1600001A,590,233,N,902,POLLING PLACE,180,54,36,40,
CULVER CITY,1600001A,590,233,N,,VBM PORTION,72,35,4,20,
CULVER CITY,1600001A,590,233,N,902,TOTAL,252,89,40,60,
CULVER CITY,1600002A,591,233,N,754,POLLING PLACE,146,54,34,37,
CULVER CITY,1600002A,591,233,N,,VBM PORTION,73,30,4,22,
CULVER CITY,1600002A,591,233,N,754,TOTAL,219,84,38,59,
CULVER CITY,1600003A,592,233,N,998,POLLING PLACE,169,72,34,31,
CULVER CITY,1600003A,592,233,N,,VBM PORTION,92,37,11,17,
CULVER CITY,1600003A,592,233,N,998,TOTAL,261,109,45,48,
CULVER CITY,1600004A,593,233,N,1097,POLLING PLACE,230,81,47,54,
CULVER CITY,1600004A,593,233,N,,VBM PORTION,70,29,6,16,
CULVER CITY,1600004A,593,233,N,1097,TOTAL,300,110,53,70,
CULVER CITY,1600005A,594,233,N,885,POLLING PLACE,187,66,23,63,
CULVER CITY,1600005A,594,233,N,,VBM PORTION,85,31,10,25,
CULVER CITY,1600005A,594,233,N,885,TOTAL,272,97,33,88,
CULVER CITY,1600007A,595,233,N,1248,POLLING PLACE,316,112,49,89,
CULVER CITY,1600007A,595,233,N,,VBM PORTION,147,44,25,40,
CULVER CITY,1600007A,595,233,N,1248,TOTAL,463,156,74,129,
CULVER CITY,1600008A,596,233,N,1154,POLLING PLACE,329,118,54,83,
CULVER CITY,1600008A,596,233,N,,VBM PORTION,140,50,17,22,
CULVER CITY,1600008A,596,233,N,1154,TOTAL,469,168,71,105,
CULVER CITY,1600011A,597,233,N,1176,POLLING PLACE,206,71,38,43,
CULVER CITY,1600011A,597,233,N,,VBM PORTION,157,50,21,49,
CULVER CITY,1600011A,597,233,N,1176,TOTAL,363,121,59,92,
CULVER CITY,1600013B,598,233,N,1147,POLLING PLACE,330,97,58,85,
CULVER CITY,1600013B,598,233,N,,VBM PORTION,124,34,19,30,
CULVER CITY,1600013B,598,233,N,1147,TOTAL,454,131,77,115,
CULVER CITY,1600014A,599,233,N,476,POLLING PLACE,102,34,9,24,
CULVER CITY,1600014A,599,233,N,,VBM PORTION,80,18,9,33,
CULVER CITY,1600014A,599,233,N,476,TOTAL,182,52,18,57,
CULVER CITY,1600017B,600,233,N,1114,POLLING PLACE,224,74,38,64,
CULVER CITY,1600017B,600,233,N,,VBM PORTION,112,31,11,38,
CULVER CITY,1600017B,600,233,N,1114,TOTAL,336,105,49,102,
CULVER CITY,1600018A,601,233,N,899,POLLING PLACE,161,57,26,41,
CULVER CITY,1600018A,601,233,N,,VBM PORTION,63,14,8,21,
CULVER CITY,1600018A,601,233,N,899,TOTAL,224,71,34,62,
CULVER CITY,1600022A,602,233,N,651,POLLING PLACE,156,58,20,45,
CULVER CITY,1600022A,602,233,N,,VBM PORTION,59,19,8,15,
CULVER CITY,1600022A,602,233,N,651,TOTAL,215,77,28,60,
CULVER CITY,1600024A,603,233,N,1216,POLLING PLACE,269,107,35,69,
CULVER CITY,1600024A,603,233,N,,VBM PORTION,111,30,15,26,
CULVER CITY,1600024A,603,233,N,1216,TOTAL,380,137,50,95,
CULVER CITY,1600025A,604,233,N,955,POLLING PLACE,285,113,38,76,
CULVER CITY,1600025A,604,233,N,,VBM PORTION,123,37,14,37,
CULVER CITY,1600025A,604,233,N,955,TOTAL,408,150,52,113,
CULVER CITY,1600027C,605,233,N,646,POLLING PLACE,188,61,27,43,
CULVER CITY,1600027C,605,233,N,,VBM PORTION,74,27,7,17,
CULVER CITY,1600027C,605,233,N,646,TOTAL,262,88,34,60,
CULVER CITY,1600028A,606,233,N,1254,POLLING PLACE,272,111,43,64,
CULVER CITY,1600028A,606,233,N,,VBM PORTION,129,43,19,36,
CULVER CITY,1600028A,606,233,N,1254,TOTAL,401,154,62,100,
CULVER CITY,1600031C,607,233,N,1008,POLLING PLACE,244,82,30,73,
CULVER CITY,1600031C,607,233,N,,VBM PORTION,131,41,20,38,
CULVER CITY,1600031C,607,233,N,1008,TOTAL,375,123,50,111,
CULVER CITY,1600034A,608,233,N,1156,POLLING PLACE,304,90,61,78,
CULVER CITY,1600034A,608,233,N,,VBM PORTION,165,50,24,42,
CULVER CITY,1600034A,608,233,N,1156,TOTAL,469,140,85,120,
CULVER CITY,1600042A,609,233,N,768,POLLING PLACE,284,100,27,92,
CULVER CITY,1600042A,609,233,N,,VBM PORTION,107,36,11,34,
