LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIKE STEVENS,JAMES T BUTTS JR,SANDIE CRISP,GILBERT A MATHIEU,
INGLEWOOD,2950024A,1135,334,N,,VBM PORTION,51,6,33,,2,
INGLEWOOD,2950024A,1135,334,N,800,TOTAL,251,14,195,7,12,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,15,135,9,14,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,4,28,2,3,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,19,163,11,17,
INGLEWOOD,2950026A,1137,334,N,961,POLLING PLACE,222,20,176,7,9,
INGLEWOOD,2950026A,1137,334,N,,VBM PORTION,69,3,51,1,3,
INGLEWOOD,2950026A,1137,334,N,961,TOTAL,291,23,227,8,12,
INGLEWOOD,2950028A,1138,334,N,533,POLLING PLACE,132,14,99,3,11,
INGLEWOOD,2950028A,1138,334,N,,VBM PORTION,30,,27,,1,
INGLEWOOD,2950028A,1138,334,N,533,TOTAL,162,14,126,3,12,
INGLEWOOD,2950029A,1139,334,N,873,POLLING PLACE,177,7,147,1,11,
INGLEWOOD,2950029A,1139,334,N,,VBM PORTION,62,4,54,,1,
INGLEWOOD,2950029A,1139,334,N,873,TOTAL,239,11,201,1,12,
INGLEWOOD,2950030A,1140,334,N,1012,POLLING PLACE,143,5,124,2,2,
INGLEWOOD,2950030A,1140,334,N,,VBM PORTION,50,4,35,2,2,
INGLEWOOD,2950030A,1140,334,N,1012,TOTAL,193,9,159,4,4,
INGLEWOOD,2950031A,1141,334,N,770,POLLING PLACE,127,7,96,3,10,
INGLEWOOD,2950031A,1141,334,N,,VBM PORTION,30,2,22,1,4,
INGLEWOOD,2950031A,1141,334,N,770,TOTAL,157,9,118,4,14,
INGLEWOOD,2950033A,1142,334,N,947,POLLING PLACE,114,6,79,9,6,
INGLEWOOD,2950033A,1142,334,N,,VBM PORTION,24,3,17,1,2,
INGLEWOOD,2950033A,1142,334,N,947,TOTAL,138,9,96,10,8,
INGLEWOOD,2950037C,1143,334,N,619,POLLING PLACE,99,3,80,5,5,
INGLEWOOD,2950037C,1143,334,N,,VBM PORTION,9,,5,1,,
INGLEWOOD,2950037C,1143,334,N,619,TOTAL,108,3,85,6,5,
INGLEWOOD,2950039A,1144,334,N,1173,POLLING PLACE,200,22,146,7,9,
INGLEWOOD,2950039A,1144,334,N,,VBM PORTION,53,5,34,2,6,
INGLEWOOD,2950039A,1144,334,N,1173,TOTAL,253,27,180,9,15,
INGLEWOOD,2950040A,1145,334,N,1087,POLLING PLACE,155,20,102,4,20,
INGLEWOOD,2950040A,1145,334,N,,VBM PORTION,35,4,18,3,5,
INGLEWOOD,2950040A,1145,334,N,1087,TOTAL,190,24,120,7,25,
INGLEWOOD,2950041A,1146,334,N,1071,POLLING PLACE,181,10,145,11,8,
INGLEWOOD,2950041A,1146,334,N,,VBM PORTION,60,6,46,1,2,
INGLEWOOD,2950041A,1146,334,N,1071,TOTAL,241,16,191,12,10,
INGLEWOOD,2950042A,1147,334,N,1042,POLLING PLACE,161,9,142,2,4,
INGLEWOOD,2950042A,1147,334,N,,VBM PORTION,54,3,42,,5,
INGLEWOOD,2950042A,1147,334,N,1042,TOTAL,215,12,184,2,9,
INGLEWOOD,2950044A,1148,334,N,862,POLLING PLACE,138,19,96,6,7,
INGLEWOOD,2950044A,1148,334,N,,VBM PORTION,39,3,28,4,1,
INGLEWOOD,2950044A,1148,334,N,862,TOTAL,177,22,124,10,8,
INGLEWOOD,2950047B,1149,334,N,995,POLLING PLACE,158,15,120,2,17,
INGLEWOOD,2950047B,1149,334,N,,VBM PORTION,48,5,30,2,7,
INGLEWOOD,2950047B,1149,334,N,995,TOTAL,206,20,150,4,24,
INGLEWOOD,2950048A,1150,334,N,969,POLLING PLACE,165,17,116,7,17,
INGLEWOOD,2950048A,1150,334,N,,VBM PORTION,35,9,22,1,2,
INGLEWOOD,2950048A,1150,334,N,969,TOTAL,200,26,138,8,19,
INGLEWOOD,2950050A,1151,334,N,1019,POLLING PLACE,113,12,81,1,9,
INGLEWOOD,2950050A,1151,334,N,,VBM PORTION,41,4,28,2,2,
INGLEWOOD,2950050A,1151,334,N,1019,TOTAL,154,16,109,3,11,
INGLEWOOD,2950052A,1152,334,N,1028,POLLING PLACE,185,15,147,5,12,
INGLEWOOD,2950052A,1152,334,N,,VBM PORTION,32,3,21,1,2,
INGLEWOOD,2950052A,1152,334,N,1028,TOTAL,217,18,168,6,14,
INGLEWOOD,2950057A,1153,334,N,954,POLLING PLACE,155,8,122,3,12,
INGLEWOOD,2950057A,1153,334,N,,VBM PORTION,46,4,30,4,1,
INGLEWOOD,2950057A,1153,334,N,954,TOTAL,201,12,152,7,13,
INGLEWOOD,2950063A,1154,334,N,949,POLLING PLACE,216,25,171,5,3,
INGLEWOOD,2950063A,1154,334,N,,VBM PORTION,63,9,44,1,1,
INGLEWOOD,2950063A,1154,334,N,949,TOTAL,279,34,215,6,4,
INGLEWOOD,2950067A,1155,334,N,1073,POLLING PLACE,209,11,172,6,12,
INGLEWOOD,2950067A,1155,334,N,,VBM PORTION,61,6,44,2,4,
INGLEWOOD,2950067A,1155,334,N,1073,TOTAL,270,17,216,8,16,
INGLEWOOD,2950072A,1156,334,N,902,POLLING PLACE,134,11,107,2,7,
INGLEWOOD,2950072A,1156,334,N,,VBM PORTION,32,3,26,1,,
INGLEWOOD,2950072A,1156,334,N,902,TOTAL,166,14,133,3,7,
INGLEWOOD,2950073A,1157,331,N,844,POLLING PLACE,151,10,128,1,3,
INGLEWOOD,2950073A,1157,331,N,,VBM PORTION,65,6,48,2,1,
INGLEWOOD,2950073A,1157,331,N,844,TOTAL,216,16,176,3,4,
INGLEWOOD,2950075A,1158,334,N,1234,POLLING PLACE,176,8,142,6,6,
INGLEWOOD,2950075A,1158,334,N,,VBM PORTION,55,6,43,2,1,
INGLEWOOD,2950075A,1158,334,N,1234,TOTAL,231,14,185,8,7,
INGLEWOOD,2950076A,1159,334,N,1038,POLLING PLACE,171,10,144,4,2,
INGLEWOOD,2950076A,1159,334,N,,VBM PORTION,42,2,35,1,3,
INGLEWOOD,2950076A,1159,334,N,1038,TOTAL,213,12,179,5,5,
INGLEWOOD,2950080A,1160,331,N,920,POLLING PLACE,169,7,135,7,10,
INGLEWOOD,2950080A,1160,331,N,,VBM PORTION,27,2,21,,2,
INGLEWOOD,2950080A,1160,331,N,920,TOTAL,196,9,156,7,12,
INGLEWOOD,2950084A,1161,331,N,782,POLLING PLACE,118,9,87,8,10,
INGLEWOOD,2950084A,1161,331,N,,VBM PORTION,40,9,23,1,1,
INGLEWOOD,2950084A,1161,331,N,782,TOTAL,158,18,110,9,11,
INGLEWOOD,2950087A,1162,331,N,908,POLLING PLACE,178,8,151,6,7,
INGLEWOOD,2950087A,1162,331,N,,VBM PORTION,68,5,51,4,2,
INGLEWOOD,2950087A,1162,331,N,908,TOTAL,246,13,202,10,9,
INGLEWOOD,2950088A,1163,331,N,1263,POLLING PLACE,353,19,297,8,10,
INGLEWOOD,2950088A,1163,331,N,,VBM PORTION,134,7,105,3,8,
INGLEWOOD,2950088A,1163,331,N,1263,TOTAL,487,26,402,11,18,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,,59,1,2,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,,21,2,,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,,80,3,2,
INGLEWOOD,2950092A,1165,334,N,939,POLLING PLACE,139,3,122,3,6,
INGLEWOOD,2950092A,1165,334,N,,VBM PORTION,52,3,38,2,3,
INGLEWOOD,2950092A,1165,334,N,939,TOTAL,191,6,160,5,9,
INGLEWOOD,2950095A,1166,334,N,896,POLLING PLACE,185,19,158,,3,
INGLEWOOD,2950095A,1166,334,N,,VBM PORTION,92,9,74,,4,
INGLEWOOD,2950095A,1166,334,N,896,TOTAL,277,28,232,,7,
INGLEWOOD,2950141A,1167,334,N,601,POLLING PLACE,106,5,87,4,4,
INGLEWOOD,2950141A,1167,334,N,,VBM PORTION,12,,9,,2,
INGLEWOOD,2950141A,1167,334,N,601,TOTAL,118,5,96,4,6,
INGLEWOOD,2950146A,1168,334,N,879,POLLING PLACE,87,8,64,2,3,
INGLEWOOD,2950146A,1168,334,N,,VBM PORTION,37,,25,1,9,
INGLEWOOD,2950146A,1168,334,N,879,TOTAL,124,8,89,3,12,
INGLEWOOD,2950147A,1169,334,N,775,POLLING PLACE,127,7,106,7,4,
INGLEWOOD,2950147A,1169,334,N,,VBM PORTION,36,3,26,3,,
INGLEWOOD,2950147A,1169,334,N,775,TOTAL,163,10,132,10,4,
INGLEWOOD,2950149A,1170,334,N,1108,POLLING PLACE,204,20,155,4,12,
INGLEWOOD,2950149A,1170,334,N,,VBM PORTION,38,4,25,1,4,
INGLEWOOD,2950149A,1170,334,N,1108,TOTAL,242,24,180,5,16,
INGLEWOOD,2950152A,1171,334,N,810,POLLING PLACE,318,18,265,6,5,
INGLEWOOD,2950152A,1171,334,N,,VBM PORTION,53,4,41,1,,
INGLEWOOD,2950152A,1171,334,N,810,TOTAL,371,22,306,7,5,
BALLOT GROUP 227,9990227A,8227,227,N,,POLLING PLACE,,,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,VBM PORTION,,,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,TOTAL,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,POLLING PLACE,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,VBM PORTION,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,TOTAL,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,POLLING PLACE,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,VBM PORTION,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,TOTAL,,,,,,
