LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RAUL BOCANEGRA,KEVIN J SUSCAVAGE,PATTY LOPEZ
CITY OF LOS ANGELES,N,188247,POLLING PLACE,13166,6840,1467,2488
CITY OF LOS ANGELES,N,0,VBM PORTION,11789,5554,1278,2186
CITY OF LOS ANGELES,N,188247,TOTAL,24948,12394,2745,4674
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,353,61,138
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,266,45,100
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,619,106,238
CITY OF SANTA CLARITA,N,43,POLLING PLACE,0,0,0,0
CITY OF SANTA CLARITA,N,0,VBM PORTION,4,1,0,0
CITY OF SANTA CLARITA,N,43,TOTAL,4,1,0,0
UNINCORPORATED,N,671,POLLING PLACE,74,31,13,18
UNINCORPORATED,N,0,VBM PORTION,73,24,12,11
UNINCORPORATED,N,671,TOTAL,147,55,25,29
