LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
CITY OF ARTESIA,N,7390,POLLING PLACE,555,166,285
CITY OF ARTESIA,N,0,VBM PORTION,596,237,296
CITY OF ARTESIA,N,7390,TOTAL,1149,403,581
CITY OF BELLFLOWER,N,18178,POLLING PLACE,1122,408,544
CITY OF BELLFLOWER,N,0,VBM PORTION,1018,402,510
CITY OF BELLFLOWER,N,18178,TOTAL,2138,810,1054
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1085,1334
CITY OF CERRITOS,N,0,VBM PORTION,3286,1255,1648
CITY OF CERRITOS,N,31594,TOTAL,6062,2340,2982
CITY OF COMMERCE,N,0,POLLING PLACE,0,0,0
CITY OF COMMERCE,N,0,VBM PORTION,8,1,3
CITY OF COMMERCE,N,0,TOTAL,4,1,3
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,69,157
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,88,184
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,157,341
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1254,912
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1181,1008
CITY OF LA MIRADA,N,27147,TOTAL,4843,2435,1920
CITY OF LAKEWOOD,N,36451,POLLING PLACE,3209,1442,1444
CITY OF LAKEWOOD,N,0,VBM PORTION,2990,1364,1456
CITY OF LAKEWOOD,N,36451,TOTAL,6196,2806,2900
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,467,1379
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,433,1107
CITY OF MONTEBELLO,N,28939,TOTAL,3924,900,2486
CITY OF NORWALK,N,47546,POLLING PLACE,2626,737,1466
CITY OF NORWALK,N,0,VBM PORTION,2657,871,1536
CITY OF NORWALK,N,47546,TOTAL,5277,1608,3002
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,395,1342
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,333,1200
CITY OF PICO RIVERA,N,32447,TOTAL,3746,728,2542
CITY OF ROSEMEAD,N,0,POLLING PLACE,0,0,0
CITY OF ROSEMEAD,N,0,VBM PORTION,0,0,0
CITY OF ROSEMEAD,N,0,TOTAL,0,0,0
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,208,358
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,197,328
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,405,686
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,72,280
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,59,266
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,131,546
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1850,2058
CITY OF WHITTIER,N,0,VBM PORTION,3748,1812,1687
CITY OF WHITTIER,N,46005,TOTAL,8056,3662,3745
UNINCORPORATED,N,53503,POLLING PLACE,3819,1350,2036
UNINCORPORATED,N,0,VBM PORTION,3265,1282,1729
UNINCORPORATED,N,53503,TOTAL,7071,2632,3765
