LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,257,41,145,28,590,115,66,23
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,201,34,98,23,588,139,33,17
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,458,75,243,51,1178,254,99,40
CITY OF GARDENA,N,8872,POLLING PLACE,1081,580,21,101,18,50,182,12,19
CITY OF GARDENA,N,0,VBM PORTION,652,314,10,59,8,45,108,7,9
CITY OF GARDENA,N,8872,TOTAL,1719,894,31,160,26,95,290,19,28
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,966,53,270,27,437,379,43,55
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,650,48,231,42,515,301,35,33
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1616,101,501,69,952,680,78,88
CITY OF INGLEWOOD,N,54941,POLLING PLACE,4878,2415,54,556,39,185,990,31,202
CITY OF INGLEWOOD,N,0,VBM PORTION,3404,1601,35,389,31,187,644,40,179
CITY OF INGLEWOOD,N,54941,TOTAL,8268,4016,89,945,70,372,1634,71,381
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,276,32,96,20,206,114,23,21
CITY OF LAWNDALE,N,0,VBM PORTION,697,212,25,86,8,186,92,10,12
CITY OF LAWNDALE,N,13398,TOTAL,1522,488,57,182,28,392,206,33,33
CITY OF LOS ANGELES,N,82861,POLLING PLACE,10365,3319,364,1188,174,1921,1229,319,171
CITY OF LOS ANGELES,N,0,VBM PORTION,7907,2143,262,879,136,1712,1006,189,111
CITY OF LOS ANGELES,N,82861,TOTAL,18263,5462,626,2067,310,3633,2235,508,282
UNINCORPORATED,N,36385,POLLING PLACE,2978,1252,64,314,49,382,440,55,54
UNINCORPORATED,N,0,VBM PORTION,2104,781,52,220,32,361,312,59,33
UNINCORPORATED,N,36385,TOTAL,5061,2033,116,534,81,743,752,114,87
