LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BRENT C ROSKE,ZEIN E OBAGI JR,M WILLIAMSON,KEVIN MOTTUS,BARBARA L MULVANEY,MATT MILLER,ELAN CARR,DAVID KANUTH,TOM FOX,VINCE FLAHERTY,KRISTIE HOLMES,MARK MATTHEW HERD,JAMES GRAF,WENDY GREUEL,LILY GILANI,MICHAEL SHAPIRO,MICHAEL IAN SACHS,TED LIEU
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,7,11,193,73,28,176,448,8,9,6,12,11,3,325,59,11,12,137
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,3,9,146,58,35,101,389,9,10,10,15,6,7,316,129,19,7,149
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,10,20,339,131,63,277,837,17,19,16,27,17,10,641,188,30,19,286
CITY OF BEVERLY HILLS,N,21716,POLLING PLACE,2084,4,15,276,39,29,309,423,33,6,7,7,5,2,414,119,12,7,241
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,3,16,202,46,48,239,528,32,5,8,22,13,5,592,170,34,5,281
CITY OF BEVERLY HILLS,N,21716,TOTAL,4555,7,31,478,85,77,548,951,65,11,15,29,18,7,1006,289,46,12,522
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,2,5,221,33,26,125,357,18,8,5,11,10,5,275,117,16,3,131
CITY OF CALABASAS,N,0,VBM PORTION,1873,3,9,127,56,51,131,502,12,5,8,17,9,9,440,138,23,8,153
CITY OF CALABASAS,N,14914,TOTAL,3327,5,14,348,89,77,256,859,30,13,13,28,19,14,715,255,39,11,284
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,0,0,161,56,26,86,406,12,7,5,17,16,5,126,127,8,13,316
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,1,3,88,38,37,61,382,6,15,5,13,18,2,117,123,6,10,332
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1,3,249,94,63,147,788,18,22,10,30,34,7,243,250,14,23,648
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,2,1,241,30,25,137,359,16,9,3,5,16,4,155,107,7,9,504
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,3,2,136,35,25,79,401,17,15,2,15,28,7,173,122,6,13,477
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,5,3,377,65,50,216,760,33,24,5,20,44,11,328,229,13,22,981
CITY OF LOS ANGELES,N,143404,POLLING PLACE,16951,30,98,2994,289,347,3120,2287,394,51,63,131,87,50,3038,572,77,100,2335
CITY OF LOS ANGELES,N,0,VBM PORTION,16084,33,87,1567,302,405,2391,2581,300,53,49,163,115,56,3339,818,120,95,2291
CITY OF LOS ANGELES,N,143404,TOTAL,33020,63,185,4561,591,752,5511,4868,694,104,112,294,202,106,6377,1390,197,195,4626
CITY OF MALIBU,N,9097,POLLING PLACE,1202,3,4,384,27,16,139,226,11,8,4,4,5,4,165,49,8,4,65
CITY OF MALIBU,N,0,VBM PORTION,1236,3,7,221,30,17,113,274,12,4,3,9,15,4,222,80,5,10,95
CITY OF MALIBU,N,9097,TOTAL,2437,6,11,605,57,33,252,500,23,12,7,13,20,8,387,129,13,14,160
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,0,6,330,78,47,402,881,51,12,12,16,31,7,322,233,8,16,894
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,7,6,219,78,49,288,903,51,16,3,20,34,4,350,312,15,22,913
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,7,12,549,156,96,690,1784,102,28,15,36,65,11,672,545,23,38,1807
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,1,0,104,43,21,149,408,12,2,3,6,9,0,102,183,2,2,218
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,2,5,92,48,26,122,618,16,10,2,5,10,3,170,224,4,11,275
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,3,5,196,91,47,271,1026,28,12,5,11,19,3,272,407,6,13,493
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,5,9,319,112,59,272,1185,42,12,10,18,22,9,374,434,13,21,732
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4657,2,7,234,104,99,244,1490,34,24,9,36,42,9,539,548,17,12,840
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8475,7,16,553,216,158,516,2675,76,36,19,54,64,18,913,982,30,33,1572
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,4,12,503,134,102,369,1102,42,32,8,38,53,10,457,332,19,34,1161
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,13,17,371,95,147,284,1195,42,33,12,54,57,21,568,429,27,50,1336
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,17,29,874,229,249,653,2297,84,65,20,92,110,31,1025,761,46,84,2497
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,0,0,10,11,2,10,114,9,1,0,0,1,0,27,41,0,1,29
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,0,1,4,10,2,14,94,2,0,1,1,2,2,26,46,0,0,23
CITY OF ROLLING HILLS,N,1510,TOTAL,537,0,1,14,21,4,24,208,11,1,1,1,3,2,53,87,0,1,52
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,0,1,52,23,10,61,275,8,1,0,4,5,1,72,125,4,7,120
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,2,3,61,24,20,48,259,9,9,3,5,9,3,90,127,6,2,123
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,2,4,113,47,30,109,534,17,10,3,9,14,4,162,252,10,9,243
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,10,62,2201,150,199,1638,834,145,30,35,85,52,21,1891,204,68,75,1211
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,8,34,1122,127,239,928,841,88,28,20,108,48,31,1600,247,50,74,1077
CITY OF SANTA MONICA,N,62632,TOTAL,16552,18,96,3323,277,438,2566,1675,233,58,55,193,100,52,3491,451,118,149,2288
CITY OF TORRANCE,N,36935,POLLING PLACE,6146,13,17,358,154,108,280,1626,42,41,19,43,69,18,502,657,14,32,1771
CITY OF TORRANCE,N,0,VBM PORTION,5472,11,10,222,148,126,202,1367,35,29,12,66,44,22,436,575,24,36,1677
CITY OF TORRANCE,N,36935,TOTAL,11617,24,27,580,302,234,482,2993,77,70,31,109,113,40,938,1232,38,68,3448
UNINCORPORATED,N,22725,POLLING PLACE,3019,10,12,915,76,76,337,428,30,14,9,18,22,2,455,126,15,17,304
UNINCORPORATED,N,0,VBM PORTION,2757,4,9,437,68,86,221,575,21,15,12,34,32,4,474,188,18,30,326
UNINCORPORATED,N,22725,TOTAL,5763,14,21,1352,144,162,558,1003,51,29,21,52,54,6,929,314,33,47,630
