LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER
CITY OF BELL,N,11175,POLLING PLACE,618,418,89
CITY OF BELL,N,0,VBM PORTION,349,224,92
CITY OF BELL,N,11175,TOTAL,966,642,181
CITY OF CUDAHY,N,6697,POLLING PLACE,376,257,49
CITY OF CUDAHY,N,0,VBM PORTION,164,119,24
CITY OF CUDAHY,N,6697,TOTAL,539,376,73
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,174,83
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,178,91
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,352,174
CITY OF HUNTINGTON PARK,N,0,POLLING PLACE,0,0,0
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,2,1,0
CITY OF HUNTINGTON PARK,N,0,TOTAL,1,1,0
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1949,2134
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1824,1843
CITY OF LAKEWOOD,N,48358,TOTAL,8638,3773,3977
CITY OF LONG BEACH,N,28815,POLLING PLACE,1864,1094,471
CITY OF LONG BEACH,N,0,VBM PORTION,1675,1047,465
CITY OF LONG BEACH,N,28815,TOTAL,3538,2141,936
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,657,132
CITY OF LYNWOOD,N,0,VBM PORTION,754,580,95
CITY OF LYNWOOD,N,24503,TOTAL,1711,1237,227
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,304,58
CITY OF MAYWOOD,N,0,VBM PORTION,258,202,32
CITY OF MAYWOOD,N,8324,TOTAL,708,506,90
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,621,193
CITY OF PARAMOUNT,N,0,VBM PORTION,648,403,166
CITY OF PARAMOUNT,N,19999,TOTAL,1576,1024,359
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1204,317
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,809,262
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2013,579
CITY OF VERNON,N,0,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,2,1,0
CITY OF VERNON,N,0,TOTAL,1,1,0
UNINCORPORATED,N,3053,POLLING PLACE,135,79,37
UNINCORPORATED,N,0,VBM PORTION,118,53,49
UNINCORPORATED,N,3053,TOTAL,250,132,86
