LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
CITY OF ARTESIA,N,7390,POLLING PLACE,555,155,52,292,6,18
CITY OF ARTESIA,N,0,VBM PORTION,596,220,61,205,5,44
CITY OF ARTESIA,N,7390,TOTAL,1149,375,113,497,11,62
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,825,309,603,36,171
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,741,288,451,43,209
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1566,597,1054,79,380
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1105,427,891,24,150
CITY OF CERRITOS,N,0,VBM PORTION,3286,1243,482,865,38,250
CITY OF CERRITOS,N,31594,TOTAL,6062,2348,909,1756,62,400
CITY OF COMMERCE,N,6256,POLLING PLACE,444,70,47,207,13,70
CITY OF COMMERCE,N,0,VBM PORTION,247,46,25,103,7,34
CITY OF COMMERCE,N,6256,TOTAL,686,116,72,310,20,104
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2977,666,1252,158,419
CITY OF DOWNEY,N,0,VBM PORTION,3452,1672,427,663,86,300
CITY OF DOWNEY,N,54713,TOTAL,9292,4649,1093,1915,244,719
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,71,27,148,1,31
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,97,45,114,8,27
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,168,72,262,9,58
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,262,29,70,4,31
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,379,25,76,3,24
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,641,54,146,7,55
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1297,194,554,28,184
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1248,223,450,36,243
CITY OF LA MIRADA,N,27147,TOTAL,4843,2545,417,1004,64,427
CITY OF LAKEWOOD,N,29760,POLLING PLACE,2688,1260,338,690,35,171
CITY OF LAKEWOOD,N,0,VBM PORTION,2560,1187,312,526,30,236
CITY OF LAKEWOOD,N,29760,TOTAL,5245,2447,650,1216,65,407
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,492,210,936,54,295
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,422,149,643,46,224
CITY OF MONTEBELLO,N,28939,TOTAL,3924,914,359,1579,100,519
CITY OF NORWALK,N,47546,POLLING PLACE,2626,776,270,1152,50,237
CITY OF NORWALK,N,0,VBM PORTION,2657,847,281,957,65,274
CITY OF NORWALK,N,47546,TOTAL,5277,1623,551,2109,115,511
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,404,225,924,70,314
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,333,175,709,24,251
CITY OF PICO RIVERA,N,32447,TOTAL,3746,737,400,1633,94,565
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,212,44,286,11,80
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,174,49,231,6,79
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,386,93,517,17,159
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1944,369,1200,77,430
CITY OF WHITTIER,N,0,VBM PORTION,3748,1717,289,865,38,347
CITY OF WHITTIER,N,46005,TOTAL,8056,3661,658,2065,115,777
UNINCORPORATED,N,83433,POLLING PLACE,6271,2502,499,2052,121,677
UNINCORPORATED,N,0,VBM PORTION,6200,2710,489,1535,94,690
UNINCORPORATED,N,83433,TOTAL,12457,5212,988,3587,215,1367
