LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1623,2701
CITY OF BURBANK,N,0,VBM PORTION,4858,1724,2705
CITY OF BURBANK,N,60155,TOTAL,9510,3347,5406
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,2934,5149
CITY OF GLENDALE,N,0,VBM PORTION,12284,3045,6295
CITY OF GLENDALE,N,97282,TOTAL,21689,5979,11444
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,807,690
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1140,925
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1947,1615
CITY OF LOS ANGELES,N,72101,POLLING PLACE,6228,813,4858
CITY OF LOS ANGELES,N,0,VBM PORTION,5387,908,3850
CITY OF LOS ANGELES,N,72101,TOTAL,11613,1721,8708
CITY OF PASADENA,N,0,POLLING PLACE,0,0,0
CITY OF PASADENA,N,0,VBM PORTION,2,0,1
CITY OF PASADENA,N,0,TOTAL,1,0,1
UNINCORPORATED,N,11860,POLLING PLACE,1196,504,623
UNINCORPORATED,N,0,VBM PORTION,1182,487,561
UNINCORPORATED,N,11860,TOTAL,2377,991,1184
