LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,ESTHELA T SIEGRIST
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1746,793
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1541,781
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3287,1574
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,987,1166
CITY OF ARCADIA,N,0,VBM PORTION,3054,1288,1362
CITY OF ARCADIA,N,29165,TOTAL,5433,2275,2528
CITY OF EL MONTE,N,24262,POLLING PLACE,1557,908,537
CITY OF EL MONTE,N,0,VBM PORTION,1401,813,467
CITY OF EL MONTE,N,24262,TOTAL,2953,1721,1004
CITY OF MONROVIA,N,4,POLLING PLACE,0,0,0
CITY OF MONROVIA,N,0,VBM PORTION,2,1,0
CITY OF MONROVIA,N,4,TOTAL,1,1,0
CITY OF MONTEBELLO,N,3647,POLLING PLACE,341,222,80
CITY OF MONTEBELLO,N,0,VBM PORTION,375,241,84
CITY OF MONTEBELLO,N,3647,TOTAL,716,463,164
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1434,670
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1666,649
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,3100,1319
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,719,365
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,729,294
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1448,659
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,691,502
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,715,408
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1406,910
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,298,422
CITY OF SAN MARINO,N,0,VBM PORTION,1161,429,600
CITY OF SAN MARINO,N,8559,TOTAL,1956,727,1022
CITY OF SIERRA MADRE,N,0,POLLING PLACE,0,0,0
CITY OF SIERRA MADRE,N,0,VBM PORTION,2,1,0
CITY OF SIERRA MADRE,N,0,TOTAL,1,1,0
CITY OF SOUTH EL MONTE,N,1159,POLLING PLACE,42,19,21
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,50,40,10
CITY OF SOUTH EL MONTE,N,1159,TOTAL,92,59,31
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,739,631
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,821,523
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1560,1154
UNINCORPORATED,N,17932,POLLING PLACE,1378,678,587
UNINCORPORATED,N,0,VBM PORTION,1658,822,626
UNINCORPORATED,N,17932,TOTAL,3030,1500,1213
