LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
CITY OF AZUSA,N,18442,POLLING PLACE,1308,143,648,400
CITY OF AZUSA,N,0,VBM PORTION,1201,98,530,462
CITY OF AZUSA,N,18442,TOTAL,2508,241,1178,862
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,130,1118,308
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,112,840,288
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,242,1958,596
CITY OF BRADBURY,N,599,POLLING PLACE,66,2,22,37
CITY OF BRADBURY,N,0,VBM PORTION,67,1,15,42
CITY OF BRADBURY,N,599,TOTAL,133,3,37,79
CITY OF COVINA,N,26090,POLLING PLACE,2040,260,762,874
CITY OF COVINA,N,0,VBM PORTION,1877,201,697,742
CITY OF COVINA,N,26090,TOTAL,3913,461,1459,1616
CITY OF DUARTE,N,11742,POLLING PLACE,960,75,444,354
CITY OF DUARTE,N,0,VBM PORTION,1099,100,534,373
CITY OF DUARTE,N,11742,TOTAL,2059,175,978,727
CITY OF EL MONTE,N,11774,POLLING PLACE,765,68,508,122
CITY OF EL MONTE,N,0,VBM PORTION,484,39,271,122
CITY OF EL MONTE,N,11774,TOTAL,1248,107,779,244
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,245,774,1629
CITY OF GLENDORA,N,0,VBM PORTION,2920,246,807,1586
CITY OF GLENDORA,N,31341,TOTAL,5784,491,1581,3215
CITY OF INDUSTRY,N,0,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,2,0,0,1
CITY OF INDUSTRY,N,0,TOTAL,1,0,0,1
CITY OF IRWINDALE,N,939,POLLING PLACE,75,13,35,18
CITY OF IRWINDALE,N,0,VBM PORTION,61,8,38,12
CITY OF IRWINDALE,N,939,TOTAL,135,21,73,30
CITY OF MONROVIA,N,163,POLLING PLACE,0,0,0,0
CITY OF MONROVIA,N,0,VBM PORTION,25,3,11,6
CITY OF MONROVIA,N,163,TOTAL,25,3,11,6
CITY OF WEST COVINA,N,39523,POLLING PLACE,2814,321,1220,1072
CITY OF WEST COVINA,N,0,VBM PORTION,2795,292,1267,984
CITY OF WEST COVINA,N,39523,TOTAL,5608,613,2487,2056
UNINCORPORATED,N,57303,POLLING PLACE,4236,421,2001,1513
UNINCORPORATED,N,0,VBM PORTION,3398,340,1463,1243
UNINCORPORATED,N,57303,TOTAL,7629,761,3464,2756
