LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
CITY OF CARSON,N,52903,POLLING PLACE,5087,2929
CITY OF CARSON,N,0,VBM PORTION,4089,2978
CITY OF CARSON,N,52903,TOTAL,9175,5907
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1681
CITY OF COMPTON,N,0,VBM PORTION,1873,1467
CITY OF COMPTON,N,43063,TOTAL,4894,3148
CITY OF LONG BEACH,N,38893,POLLING PLACE,2599,1754
CITY OF LONG BEACH,N,0,VBM PORTION,1999,1536
CITY OF LONG BEACH,N,38893,TOTAL,4594,3290
CITY OF LOS ANGELES,N,72461,POLLING PLACE,5018,3277
CITY OF LOS ANGELES,N,0,VBM PORTION,4691,3393
CITY OF LOS ANGELES,N,72461,TOTAL,9705,6670
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,760
CITY OF LYNWOOD,N,0,VBM PORTION,754,652
CITY OF LYNWOOD,N,24503,TOTAL,1711,1412
CITY OF RANCHO PALOS VERDES,N,0,POLLING PLACE,0,0
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,6,1
CITY OF RANCHO PALOS VERDES,N,0,TOTAL,3,1
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1388
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,984
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2372
UNINCORPORATED,N,43596,POLLING PLACE,2791,1722
UNINCORPORATED,N,0,VBM PORTION,1514,1160
UNINCORPORATED,N,43596,TOTAL,4300,2882
