LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JUVENTINO GOMEZ,HILDA L SOLIS,A  A SAUCEDO HOOD
CITY OF AZUSA,N,18442,POLLING PLACE,1308,163,728,220
CITY OF AZUSA,N,0,VBM PORTION,1201,94,649,243
CITY OF AZUSA,N,18442,TOTAL,2508,257,1377,463
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,190,1190,167
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,125,836,193
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,315,2026,360
CITY OF BELL,N,11175,POLLING PLACE,618,62,409,65
CITY OF BELL,N,0,VBM PORTION,349,47,213,45
CITY OF BELL,N,11175,TOTAL,966,109,622,110
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,69,334,54
CITY OF BELL GARDENS,N,0,VBM PORTION,316,43,180,62
CITY OF BELL GARDENS,N,12887,TOTAL,855,112,514,116
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,320,1607,449
CITY OF CLAREMONT,N,0,VBM PORTION,2652,232,1398,456
CITY OF CLAREMONT,N,22235,TOTAL,5533,552,3005,905
CITY OF COMMERCE,N,6256,POLLING PLACE,444,48,293,39
CITY OF COMMERCE,N,0,VBM PORTION,247,26,151,38
CITY OF COMMERCE,N,6256,TOTAL,686,74,444,77
CITY OF CUDAHY,N,6697,POLLING PLACE,376,42,251,30
CITY OF CUDAHY,N,0,VBM PORTION,164,25,103,16
CITY OF CUDAHY,N,6697,TOTAL,539,67,354,46
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,387,1475,219
CITY OF EL MONTE,N,0,VBM PORTION,1885,322,1078,221
CITY OF EL MONTE,N,36036,TOTAL,4201,709,2553,440
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,119,668,77
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,71,357,67
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,190,1025,144
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,4,15,8
CITY OF INDUSTRY,N,103,TOTAL,32,4,15,8
CITY OF IRWINDALE,N,939,POLLING PLACE,75,12,46,11
CITY OF IRWINDALE,N,0,VBM PORTION,61,13,39,4
CITY OF IRWINDALE,N,939,TOTAL,135,25,85,15
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,100,592,116
CITY OF LA PUENTE,N,0,VBM PORTION,740,74,444,90
CITY OF LA PUENTE,N,15802,TOTAL,1699,174,1036,206
CITY OF LOS ANGELES,N,229179,POLLING PLACE,19237,2213,12322,1761
CITY OF LOS ANGELES,N,0,VBM PORTION,14659,1622,8084,1923
CITY OF LOS ANGELES,N,229179,TOTAL,33891,3835,20406,3684
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,52,298,37
CITY OF MAYWOOD,N,0,VBM PORTION,258,43,150,28
CITY OF MAYWOOD,N,8324,TOTAL,708,95,448,65
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,254,1397,287
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,183,970,275
CITY OF MONTEBELLO,N,28939,TOTAL,3924,437,2367,562
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,259,1355,311
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,207,1500,382
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,466,2855,693
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,242,1340,286
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,163,1001,266
CITY OF PICO RIVERA,N,32447,TOTAL,3746,405,2341,552
CITY OF POMONA,N,57598,POLLING PLACE,3541,444,1903,667
CITY OF POMONA,N,0,VBM PORTION,3368,412,1564,753
CITY OF POMONA,N,57598,TOTAL,6909,856,3467,1420
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,148,702,157
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,137,704,190
CITY OF ROSEMEAD,N,20579,TOTAL,2488,285,1406,347
CITY OF SAN GABRIEL,N,0,POLLING PLACE,0,0,0,0
CITY OF SAN GABRIEL,N,0,VBM PORTION,0,0,0,0
CITY OF SAN GABRIEL,N,0,TOTAL,0,0,0,0
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,30,301,34
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,36,238,33
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,66,539,67
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,246,1180,197
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,151,690,191
CITY OF SOUTH GATE,N,35773,TOTAL,3018,397,1870,388
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,4,6,2
CITY OF VERNON,N,60,TOTAL,16,4,6,2
CITY OF WALNUT,N,18002,POLLING PLACE,1247,194,554,278
CITY OF WALNUT,N,0,VBM PORTION,1658,215,698,310
CITY OF WALNUT,N,18002,TOTAL,2905,409,1252,588
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,490,1973,759
CITY OF WEST COVINA,N,0,VBM PORTION,3945,462,1968,749
CITY OF WEST COVINA,N,53486,TOTAL,7643,952,3941,1508
CITY OF WHITTIER,N,0,POLLING PLACE,0,0,0,0
CITY OF WHITTIER,N,0,VBM PORTION,0,0,0,0
CITY OF WHITTIER,N,0,TOTAL,0,0,0,0
UNINCORPORATED,N,105667,POLLING PLACE,7277,857,4885,779
UNINCORPORATED,N,0,VBM PORTION,4738,590,2880,617
UNINCORPORATED,N,105667,TOTAL,11997,1447,7765,1396
