LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE RUNNER,CHRIS PARKER
CITY OF LA VERNE,N,0,POLLING PLACE,0,0,0
CITY OF LA VERNE,N,0,VBM PORTION,0,0,0
CITY OF LA VERNE,N,0,TOTAL,0,0,0
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3004,1600
CITY OF LANCASTER,N,0,VBM PORTION,6128,3468,1868
CITY OF LANCASTER,N,73718,TOTAL,11514,6472,3468
CITY OF LOS ANGELES,N,248676,POLLING PLACE,18409,5294,7037
CITY OF LOS ANGELES,N,0,VBM PORTION,17246,5681,6678
CITY OF LOS ANGELES,N,248676,TOTAL,35645,10975,13715
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2444,1871
CITY OF PALMDALE,N,0,VBM PORTION,5361,2830,1916
CITY OF PALMDALE,N,69762,TOTAL,10378,5274,3787
CITY OF POMONA,N,57598,POLLING PLACE,3541,920,1410
CITY OF POMONA,N,0,VBM PORTION,3368,1023,1389
CITY OF POMONA,N,57598,TOTAL,6909,1943,2799
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,176,255
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,114,236
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,290,491
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,5843,2671
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,7484,3676
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,13327,6347
UNINCORPORATED,N,77353,POLLING PLACE,7297,4534,1773
UNINCORPORATED,N,0,VBM PORTION,8154,4997,2101
UNINCORPORATED,N,77353,TOTAL,15441,9531,3874
