INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,HANDLING UNIT ID,HANDLING UNIT NAME,APPROX_LATITUDE,APPROX_LONGITUDE
1000157,ANIMAL SHOOTING INCIDENT,01/31/2015 09:35:00 AM,37700 MEDEA COURT,PALMDALE,CA,93550,2608,"37700 MEDEA COURT
PALMDALE, CA 93550
(34.567472, -118.059729)",PLM,PALMDALE STN,34.567472,-118.059729
1000032,ANIMAL SHOOTING INCIDENT,07/19/2010 11:02:00 PM,1000 S. PANNES AVENUE,COMPTON,CA,90221,2846,"1000 S. PANNES AVENUE
COMPTON, CA 90221
(33.887827, -118.202096)",OSS,OPERATION SAFE STREETS BUREAU,33.887827,-118.202096
1000369,HIT SHOOTING INCIDENT,12/16/2011 03:34:00 AM,14500 EAST VALLEY BLVD,LA PUENTE,CA,91746,1463,"14500 EAST VALLEY BLVD
LA PUENTE, CA 91746
(34.03525053834556409175, -117.97699300116034737201)",IDT,INDUSTRY STN,34.035250538345564,-117.976993001160347
1000514,NON-HIT SHOOTING INCIDENT,02/12/2015 12:23:00 AM,2000 EL MOLINO AVENUE,ALTADENA,CA,91001,0774,"2000 EL MOLINO AVENUE
ALTADENA, CA 91001
(34.180031, -118.13645)",ALD,ALTADENA STN,34.180031,-118.13645
1000425,HIT SHOOTING INCIDENT,11/09/2012 10:12:00 AM,45900 DESERT SPRINGS ROAD,LANCASTER,CA,93534,0641,"45900 DESERT SPRINGS ROAD
LANCASTER, CA 93534
(34.716759, -118.147769)",LCS,LANCASTER STN,34.716759,-118.147769
1000534,NON-HIT SHOOTING INCIDENT,07/31/2015 09:15:00 PM,700 WEST LAUREL STREET,COMPTON,CA,90220,2835,"700 WEST LAUREL STREET
COMPTON, CA 90220
(33.892863, -118.236222)",COM,COMPTON STN,33.892863,-118.236222
1000448,HIT SHOOTING INCIDENT,06/27/2013 05:44:00 AM,1100 WEST ARBUTUS STREET,COMPTON,CA,90220,2811,"1100 WEST ARBUTUS STREET
COMPTON, CA 90220
(33.899185, -118.243131)",COM,COMPTON STN,33.899185,-118.243131
1000047,ANIMAL SHOOTING INCIDENT,01/12/2010 10:50:00 AM,1700 KWIS AVENUE,CITY OF INDUSTRY,CA,91744,1476,"1700 KWIS AVENUE
CITY OF INDUSTRY, CA 91744
(34.003322, -117.97273)",IDT,INDUSTRY STN,34.003322,-117.97273
1000343,NON-HIT SHOOTING INCIDENT,03/01/2011 12:50:00 PM,CITRUS AVENUE AND VALLEY BLVD,FONTANA,CA,92335,3499,"CITRUS AVENUE AND VALLEY BLVD
FONTANA, CA 92335
(34.070328, -117.453668)",MCB,MAJOR CRIMES BUREAU,34.070328,-117.453668
1000046,ANIMAL SHOOTING INCIDENT,01/06/2010 09:30:00 AM,700 E. AVENUE H-13,LANCASTER,CA,93535,2619,"700 E. AVENUE H-13
LANCASTER, CA 93535
(34.704141, -118.117089)",PLM,PALMDALE STN,34.704141,-118.117089
1000658,UNINTENTIONAL DISCHARGE INCIDENT,12/22/2015 02:00:00 AM,2400 E. 114TH ST.,LOS ANGELES,CA,90059,2135,"2400 E. 114TH ST.
LOS ANGELES, CA 90059
(33.931361, -118.229804)",CEN,CENTURY STN,33.931361,-118.229804
1000262,UNINTENTIONAL DISCHARGE INCIDENT,10/28/2014 09:00:00 AM,6300 ALBANY STREET,HUNTINGTON PARK,CA,90255,2405,"6300 ALBANY STREET
HUNTINGTON PARK, CA 90255
(33.983552, -118.232567)",COP,COPS BUREAU,33.983552,-118.232567
1000154,ANIMAL SHOOTING INCIDENT,01/15/2015 05:25:00 PM,30200 ALISO CANYON ROAD,ACTON,CA,93510,2645,"30200 ALISO CANYON ROAD
ACTON, CA 93510
(34.451934, -118.154435)",PLM,PALMDALE STN,34.451934,-118.154435
1000208,UNINTENTIONAL DISCHARGE INCIDENT,04/19/2012 01:34:00 PM,700 E. AVENUE Q,PALMDALE,CA,93550,2610,"700 E. AVENUE Q
PALMDALE, CA 93550
(34.587246, -118.116846)",PLM,PALMDALE STN,34.587246,-118.116846
1000299,NON-HIT SHOOTING INCIDENT,05/06/2010 01:30:00 AM,257TH AND WESTERN,LOS ANGELES,CA,90710,1712,"257TH AND WESTERN
LOS ANGELES, CA 90710
(33.79047887620166668746, -118.30756511042138228339)",LMT,LOMITA STN,33.790478876201667,-118.307565110421382
1000318,HIT SHOOTING INCIDENT,10/10/2010 12:23:00 AM,LONG BEACH BLVD. AND JOSEPHINE STREET,LYNWOOD,CA,90262,2117,"LONG BEACH BLVD. AND JOSEPHINE STREET
LYNWOOD, CA 90262
(33.92126399268968097549, -118.20953801765011560508)",CEN,CENTURY STN,33.921263992689681,-118.209538017650116
1000113,ANIMAL SHOOTING INCIDENT,02/23/2013 05:15:00 PM,37300 BRIARWOOD COURT,PALMDALE,CA,93550,2611,"37300 BRIARWOOD COURT
PALMDALE, CA 93550
(34.560714, -118.118868)",PLM,PALMDALE STN,34.560714,-118.118868
1000185,ANIMAL SHOOTING INCIDENT,12/19/2014 10:30:00 PM,3500 BURTON AVENUE,LYNWOOD,CA,90262,2899,"3500 BURTON AVENUE
LYNWOOD, CA 90262
(33.915884, -118.208752)",OSS,OPERATION SAFE STREETS BUREAU,33.915884,-118.208752
1000648,HIT SHOOTING INCIDENT,09/10/2015 08:52:00 PM,9200 LAKEWOOD BLVD.,DOWNEY,CA,90240,3199,"9200 LAKEWOOD BLVD.
DOWNEY, CA 90240
(33.954779, -118.113381)",SEB,SPECIAL ENFORCEMENT BUR,33.954779,-118.113381
1000659,HIT SHOOTING INCIDENT,12/12/2015 10:59:00 AM,12100 LONG BEACH BOULEVARD,LYNWOOD,CA,90262,2116,"12100 LONG BEACH BOULEVARD
LYNWOOD, CA 90262
(33.917008, -118.209419)",CEN,CENTURY STN,33.917008,-118.209419
1000100,ANIMAL SHOOTING INCIDENT,09/18/2012 10:20:00 AM,600 S. INDIANA STREET,LOS ANGELES,CA,90058,3602,"600 S. INDIANA STREET
LOS ANGELES, CA 90058
(34.028281, -118.192332)",NARCO,NARCOTICS BUREAU,34.028281,-118.192332
1000028,ANIMAL SHOOTING INCIDENT,06/09/2010 05:22:00 PM,3600 CANTER LANE,ACTON,CA,93510,2608,"3600 CANTER LANE
ACTON, CA 93510
(34.504769, -118.196246)",OSS,OPERATION SAFE STREETS BUREAU,34.504769,-118.196246
1000012,ANIMAL SHOOTING INCIDENT,01/19/2011 07:30:00 PM,2200 CALIFORNIA AVENUE,MONROVIA,CA,91016,0582,"2200 CALIFORNIA AVENUE
MONROVIA, CA 91016
(34.12476, -117.996714)",TEM,TEMPLE CITY STN,34.12476,-117.996714
1000218,WARNING SHOT INCIDENT,12/05/2011 09:00:00 PM,5800 VESPER AVENUE,VAN NUYS,CA,91411,0299,"5800 VESPER AVENUE
VAN NUYS, CA 91411
(34.175742, -118.451006)",ELA,EAST LA STN,34.175742,-118.451006
1000029,ANIMAL SHOOTING INCIDENT,06/15/2010 07:30:00 PM,2200 CYPRESS STREET,LANCASTER,CA,93535,1137,"2200 CYPRESS STREET
LANCASTER, CA 93535
(34.690242, -118.090232)",LCS,LANCASTER STN,34.690242,-118.090232
1000482,HIT SHOOTING INCIDENT,04/13/2014 04:05:00 PM,3400 MARTIN LUTHER KING JR. BOULEVARD,LYNWOOD,CA,90262,2112,"3400 MARTIN LUTHER KING JR. BOULEVARD
LYNWOOD, CA 90262
(33.936467, -118.209777)",CEN,CENTURY STN,33.936467,-118.209777
1000309,NON-HIT SHOOTING INCIDENT,06/27/2010 03:20:00 AM,22400 PLATINO AVENUE,MISSION VIEJO,CA,92691,5199,"22400 PLATINO AVENUE
MISSION VIEJO, CA 92691
(33.637413, -117.664361)",MCJ,MEN'S CENTRAL JAIL,33.637413,-117.664361
1000461,HIT SHOOTING INCIDENT,10/06/2013 05:47:00 PM,28600 CLOVERLEAF PLACE,CASTAIC,CA,91384,0675,"28600 CLOVERLEAF PLACE
CASTAIC, CA 91384
(34.485702, -118.636172)",SCV,SANTA CLARITA VALLEY STN,34.485702,-118.636172
1000330,NON-HIT SHOOTING INCIDENT,11/17/2010 09:10:00 AM,1100 OAKS STREET,COMPTON,CA,90221,2823,"1100 OAKS STREET
COMPTON, CA 90221
(33.909204, -118.211543)",COM,COMPTON STN,33.909204,-118.211543
1000273,UNINTENTIONAL DISCHARGE INCIDENT,02/10/2015 09:10:00 PM,300 HUNTLEY AVENUE,WEST HOLLYWOOD,CA,90048,0972,"300 HUNTLEY AVENUE
WEST HOLLYWOOD, CA 90048
(34.076599, -118.378633)",WHD,WEST HOLLYWOOD STN,34.076599,-118.378633
1000225,UNINTENTIONAL DISCHARGE INCIDENT,04/05/2013 11:45:00 AM,8500 DUMOND DRIVE,FONTANA,CA,92335,3499,"8500 DUMOND DRIVE
FONTANA, CA 92335
(34.099436, -117.406368)",MCB,MAJOR CRIMES BUREAU,34.099436,-117.406368
1000009,ANIMAL SHOOTING INCIDENT,03/09/2011 06:40:00 AM,14300 S. CAHITA AVENUE,COMPTON,CA,90220,2872,"14300 S. CAHITA AVENUE
COMPTON, CA 90220
(33.90236, -118.259356)",COM,COMPTON STN,33.90236,-118.259356
1000353,HIT SHOOTING INCIDENT,05/25/2011 08:33:00 PM,11600 SOUTH CENTRAL AVENUE,LOS ANGELES,CA,90059,2131,"11600 SOUTH CENTRAL AVENUE
LOS ANGELES, CA 90059
(33.929468, -118.25428)",CEN,CENTURY STN,33.929468,-118.25428
1000526,HIT SHOOTING INCIDENT,06/04/2015 05:54:00 PM,ALOSTA AVENUE AND CITRUS AVENUE,ASUZA,CA,91702,0899,"ALOSTA AVENUE AND CITRUS AVENUE
ASUZA, CA 91702
(34.12873299795924419958, -117.89008502427078765451)",SDM,SAN DIMAS STN,34.128732997959244,-117.890085024270788
1000276,UNINTENTIONAL DISCHARGE INCIDENT,04/29/2015 08:00:00 PM,200 W. TEMPLE STREET,LOS ANGELES,CA,90012,4016,"200 W. TEMPLE STREET
LOS ANGELES, CA 90012
(34.054473, -118.242085)",CSD,COURT SERVICES DIV HQ,34.054473,-118.242085
1000254,UNINTENTIONAL DISCHARGE INCIDENT,09/02/2014 09:50:00 PM,8800 LAS TUNAS DRIVE,TEMPLE CITY,CA,91780,0522,"8800 LAS TUNAS DRIVE
TEMPLE CITY, CA 91780
(34.103492, -118.077212)",TEM,TEMPLE CITY STN,34.103492,-118.077212
1000071,ANIMAL SHOOTING INCIDENT,11/29/2011 11:45:00 PM,12800 HAWTHORNE BOULEVARD,HAWTHORNE,CA,90250,0399,"12800 HAWTHORNE BOULEVARD
HAWTHORNE, CA 90250
(33.916226, -118.352423)",SLA,SOUTH LOS ANGELES STATION,33.916226,-118.352423
1000243,UNINTENTIONAL DISCHARGE INCIDENT,03/25/2014 10:22:00 AM,400 E. 95TH STREET,LOS ANGELES,CA,90003,4339,"400 E. 95TH STREET
LOS ANGELES, CA 90003
(33.950209, -118.267325)",CMB,CIVIL MANAGEMENT BUREAU,33.950209,-118.267325
1000070,ANIMAL SHOOTING INCIDENT,11/17/2011 10:10:00 PM,43600 SERENITY COURT,LANCASTER,CA,93535,1137,"43600 SERENITY COURT
LANCASTER, CA 93535
(34.675458, -118.085112)",LCS,LANCASTER STN,34.675458,-118.085112
1000384,HIT SHOOTING INCIDENT,02/22/2012 09:38:00 PM,6500 ROSEMEAD BLVD,PICO RIVERA,CA,90660,1515,"6500 ROSEMEAD BLVD
PICO RIVERA, CA 90660
(33.986923, -118.094032)",PRV,PICO RIVERA STN,33.986923,-118.094032
1000359,HIT SHOOTING INCIDENT,04/08/2011 06:04:00 PM,100 EAST AVENUE R-4,PALMDALE,CA,93550,2611,"100 EAST AVENUE R-4
PALMDALE, CA 93550
(34.572503, -118.129322)",PLM,PALMDALE STN,34.572503,-118.129322
1000104,ANIMAL SHOOTING INCIDENT,10/25/2012 05:00:00 AM,8000 MORTON AVENUE,LOS ANGELES,CA,90001,2175,"8000 MORTON AVENUE
LOS ANGELES, CA 90001
(33.96628, -118.237966)",OSS,OPERATION SAFE STREETS BUREAU,33.96628,-118.237966
1000076,ANIMAL SHOOTING INCIDENT,02/13/2012 07:40:00 AM,8600 JOHN AVENUE,LOS ANGELES,CA,90002,2176,"8600 JOHN AVENUE
LOS ANGELES, CA 90002
(33.959709, -118.248904)",CEN,CENTURY STN,33.959709,-118.248904
1000097,ANIMAL SHOOTING INCIDENT,08/20/2012 09:25:00 PM,800 TAMAR DRIVE,LA PUENTE,CA,91746,1430,"800 TAMAR DRIVE
LA PUENTE, CA 91746
(34.049781, -117.974107)",IDT,INDUSTRY STN,34.049781,-117.974107
1000493,HIT SHOOTING INCIDENT,08/01/2014 04:49:00 AM,9000 ROSEHEDGE DRIVE,PICO RIVERA,CA,90660,1514,"9000 ROSEHEDGE DRIVE
PICO RIVERA, CA 90660
(33.993633, -118.087458)",PRV,PICO RIVERA STN,33.993633,-118.087458
1000272,UNINTENTIONAL DISCHARGE INCIDENT,01/27/2015 06:32:00 PM,200 S. WALNUT AVENUE,SAN DIMAS,CA,91773,0813,"200 S. WALNUT AVENUE
SAN DIMAS, CA 91773
(34.105197, -117.802773)",CSD,COURT SERVICES DIV HQ,34.105197,-117.802773
1000155,ANIMAL SHOOTING INCIDENT,01/17/2015 08:07:00 AM,1000 S. EASTMAN AVENUE,LOS ANGELES,CA,90023,0276,"1000 S. EASTMAN AVENUE
LOS ANGELES, CA 90023
(34.022569, -118.186221)",SEB,SPECIAL ENFORCEMENT BUR,34.022569,-118.186221
1000356,HIT SHOOTING INCIDENT,07/21/2011 09:50:00 PM,7300 SALT LAKE AVENUE,BELL GARDENS,CA,90201,0261,"7300 SALT LAKE AVENUE
BELL GARDENS, CA 90201
(33.970632, -118.201978)",ELA,EAST LA STN,33.970632,-118.201978
1000123,ANIMAL SHOOTING INCIDENT,04/06/2013 10:45:00 PM,800 W. 104TH STREET,LOS ANGELES,CA,90044,0399,"800 W. 104TH STREET
LOS ANGELES, CA 90044
(33.942325, -118.28958)",OSS,OPERATION SAFE STREETS BUREAU,33.942325,-118.28958
1000141,ANIMAL SHOOTING INCIDENT,12/21/2013 08:09:00 AM,2000 E. COMPTON BOULEVARD,COMPTON,CA,90220,2826,"2000 E. COMPTON BOULEVARD
COMPTON, CA 90220
(33.896023, -118.201603)",COM,COMPTON STN,33.896023,-118.201603
1000799,UNINTENTIONAL DISCHARGE INCIDENT,06/17/2016 08:20:00 AM,400 W. 14TH STREET,SAN BERNARDINO,CA,92405,2405,"400 W. 14TH STREET
SAN BERNARDINO, CA 92405
(34.125512, -117.292991)",COP,COPS BUREAU,34.125512,-117.292991
1000011,ANIMAL SHOOTING INCIDENT,04/15/2011 10:00:00 PM,44600 OVERLAND DRIVE,LANCASTER,CA,93536,1127,"44600 OVERLAND DRIVE
LANCASTER, CA 93536
(34.693576, -118.179303)",LCS,LANCASTER STN,34.693576,-118.179303
1000528,HIT SHOOTING INCIDENT,06/01/2015 12:00:00 AM,ORANGE LINE BUSWAY AND DENSMORE AVENUE,VAN NUYS,CA,91401,6713,"ORANGE LINE BUSWAY AND DENSMORE AVENUE
VAN NUYS, CA 91401
(34.186215, -118.477398)",TSB,TRANSIT SERVICES BUREAU,34.186215,-118.477398
1000472,NON-HIT SHOOTING INCIDENT,12/04/2013 07:35:00 AM,1700 NORTH GRAMERCY PLACE,LOS ANGELES,CA,90028,0973,"1700 NORTH GRAMERCY PLACE
LOS ANGELES, CA 90028
(34.101714, -118.312239)",MCB,MAJOR CRIMES BUREAU,34.101714,-118.312239
1000117,ANIMAL SHOOTING INCIDENT,05/14/2011 05:35:00 PM,45100 70TH STREET WEST,LANCASTER,CA,93536,1159,"45100 70TH STREET WEST
LANCASTER, CA 93536
(34.703149, -118.254361)",LCS,LANCASTER STN,34.703149,-118.254361
1000427,HIT SHOOTING INCIDENT,11/23/2012 11:08:00 AM,1600 E 118TH PLACE,LOS ANGELES,CA,90059,2131,"1600 E 118TH PLACE
LOS ANGELES, CA 90059
(33.925162, -118.246416)",CEN,CENTURY STN,33.925162,-118.246416
1000365,NON-HIT SHOOTING INCIDENT,11/26/2011 11:30:00 PM,600 LE SEDA ROAD,LA PUENTE,CA,91744,1443,"600 LE SEDA ROAD
LA PUENTE, CA 91744
(34.007268, -117.898065)",IDT,INDUSTRY STN,34.007268,-117.898065
1000655,NON-HIT SHOOTING INCIDENT,11/24/2015 01:40:00 PM,1000 SAN GABRIEL BLVD.,ROSEMEAD,CA,91770,0535,"1000 SAN GABRIEL BLVD.
ROSEMEAD, CA 91770
(34.04036, -118.082721)",PRV,PICO RIVERA STN,34.04036,-118.082721
1000681,UNINTENTIONAL DISCHARGE INCIDENT,02/10/2016 03:47:00 AM,1100 N. ALAMEDA STREET,WILMINGTON,CA,90744,1699,"1100 N. ALAMEDA STREET
WILMINGTON, CA 90744
(33.78658, -118.242582)",CSN,CARSON STN,33.78658,-118.242582
1000256,UNINTENTIONAL DISCHARGE INCIDENT,09/07/2014 06:35:00 AM,29300 THE OLD ROAD,CASTAIC,CA,91384,5610,"29300 THE OLD ROAD
CASTAIC, CA 91384
(34.445145, -118.610178)",PDC-SOUTH,PITCHESS DENTENTION CENTER SOUTH,34.445145,-118.610178
1000043,ANIMAL SHOOTING INCIDENT,10/24/2010 10:35:00 AM,1000 N. GAGE STREET,LOS ANGELES,CA,90022,0272,"1000 N. GAGE STREET
LOS ANGELES, CA 90022
(34.04792, -118.184873)",ELA,EAST LA STN,34.04792,-118.184873
1000524,HIT SHOOTING INCIDENT,05/07/2015 04:30:00 PM,13200 PALM PLACE,CERRITOS,CA,90703,2318,"13200 PALM PLACE
CERRITOS, CA 90703
(33.875823, -118.050441)",CER,CERRITOS STN,33.875823,-118.050441
1000105,ANIMAL SHOOTING INCIDENT,10/31/2012 06:25:00 PM,4000 165TH STREET,LAWNDALE,CA,90260,0334,"4000 165TH STREET
LAWNDALE, CA 90260
(33.881003, -118.343988)",SLA,SOUTH LOS ANGELES STATION,33.881003,-118.343988
1000198,UNINTENTIONAL DISCHARGE INCIDENT,01/12/2011 03:25:00 PM,2000 E. IMPERIAL HIGHWAY,LOS ANGELES,CA,90059,6014,"2000 E. IMPERIAL HIGHWAY
LOS ANGELES, CA 90059
(33.929132, -118.236345)",TSB,TRANSIT SERVICES BUREAU,33.929132,-118.236345
1000053,ANIMAL SHOOTING INCIDENT,12/16/2010 04:00:00 PM,E. 95TH STREET AND JUNIPER AVENUE,LOS ANGELES,CA,90002,2177,"E. 95TH STREET AND JUNIPER AVENUE
LOS ANGELES, CA 90002
(33.95053997963651603751, -118.23285902391009371559)",CEN,CENTURY STN,33.950539979636516,-118.232859023910094
1000023,ANIMAL SHOOTING INCIDENT,05/18/2010 08:04:00 AM,26100 ROYMER DRIVE,CALABASAS,CA,91302,2243,"26100 ROYMER DRIVE
CALABASAS, CA 91302
(34.15714, -118.694553)",LHS,LOS HILLS STATION,34.15714,-118.694553
1000409,NON-HIT SHOOTING INCIDENT,07/22/2012 09:54:00 PM,BARING CROSS STREET AND CENTURY BLVD,LOS ANGELES,CA,90047,0370,"BARING CROSS STREET AND CENTURY BLVD
LOS ANGELES, CA 90047
(33.94550098277081505594, -118.2893480040335591002)",SLA,SOUTH LOS ANGELES STATION,33.945500982770815,-118.289348004033559
1000103,ANIMAL SHOOTING INCIDENT,10/11/2012 06:45:00 AM,3900 HAMPSTEAD ROAD,LA CANADA FLINTRIDGE,CA,91011,1264,"3900 HAMPSTEAD ROAD
LA CANADA FLINTRIDGE, CA 91011
(34.186374, -118.199375)",CVS,CRESCENTA VALLEY STATION,34.186374,-118.199375
1000229,UNINTENTIONAL DISCHARGE INCIDENT,06/11/2013 03:05:00 AM,16600 KNOTT AVENUE,LA MIRADA,CA,90638,0466,"16600 KNOTT AVENUE
LA MIRADA, CA 90638
(33.880088, -118.011446)",NWK,NORWALK REGIONAL STN,33.880088,-118.011446
