INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,PERSON AGE,PERSON RACE,MENTAL HEALTH CONCERNS,CRIMINAL HISTORY,WOUNDED,DECEASED,ON PROBATION,ON PAROLE,UNDER THE INFLUENCE,SUBSTANCE NAME,# OF INVOLVED DEPUTIES,WEAPON INVOLVED CATEGORY,WEAPON INVOLVED CATEGORY DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000472,NON-HIT SHOOTING INCIDENT,12/04/2013 07:35:00 AM,1700 NORTH GRAMERCY PLACE,LOS ANGELES,CA,90028,0973,"1700 NORTH GRAMERCY PLACE
LOS ANGELES, CA 90028
(34.101714, -118.312239)",46,WHITE,N,Y,N,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.101714,-118.312239
1000380,NON-HIT SHOOTING INCIDENT,02/03/2012 07:10:00 PM,100 EAST CEDAR STREET,COMPTON,CA,90220,2822,"100 EAST CEDAR STREET
COMPTON, CA 90220
(33.901344, -118.224241)",35,HISPANIC,N,Y,N,N,Y,Y,Y,ALCOHOL,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.901344,-118.224241
1000467,HIT SHOOTING INCIDENT,10/29/2013 12:01:00 AM,3900 WEST CENTURY BLVD,INGLEWOOD,CA,90303,0399,"3900 WEST CENTURY BLVD
INGLEWOOD, CA 90303
(33.945462, -118.342009)",49,BLACK,N,Y,N,Y,Y,Y,N,,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.945462,-118.342009
1000332,NON-HIT SHOOTING INCIDENT,12/01/2010 07:22:00 PM,1700 WILMINGTON BLVD,WILMINGTON,CA,90744,1628,"1700 WILMINGTON BLVD
WILMINGTON, CA 90744
(33.796885, -118.275242)",25,HISPANIC,N,Y,N,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.796885,-118.275242
1000654,HIT SHOOTING INCIDENT,10/19/2015 11:48:00 PM,400 W. 111TH ST.,LOS ANGELES,CA,90061,0372,"400 W. 111TH ST.
LOS ANGELES, CA 90061
(33.934825, -118.283113)",53,BLACK,N,N,N,Y,,,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.934825,-118.283113
1000324,NON-HIT SHOOTING INCIDENT,07/27/2010 09:24:00 PM,11100 BROADWAY,LOS ANGELES,CA,90061,2199,"11100 BROADWAY
LOS ANGELES, CA 90061
(33.934773, -118.278108)",30,HISPANIC,N,Y,N,N,N,N,N,,1,B-4,"WEAPON - OTHER:  Perception shooting, Suspect actions and/or info suggest suspect was armed, Weapon not seen/not recovered",33.934773,-118.278108
1000299,NON-HIT SHOOTING INCIDENT,05/06/2010 01:30:00 AM,257TH AND WESTERN,LOS ANGELES,CA,90710,1712,"257TH AND WESTERN
LOS ANGELES, CA 90710
(33.79047887620166668746, -118.30756511042138228339)",29,HISPANIC,N,Y,N,N,N,N,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.790478876201667,-118.307565110421382
1000379,HIT SHOOTING INCIDENT,01/21/2012 11:03:00 PM,44200 W. 10TH STREET,LANCASTER,CA,93534,1126,"44200 W. 10TH STREET
LANCASTER, CA 93534
(34.685839, -118.147972)",26,HISPANIC,Y,Y,N,Y,Y,Y,Y,ALCOHOL,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.685839,-118.147972
1000365,NON-HIT SHOOTING INCIDENT,11/26/2011 11:30:00 PM,600 LE SEDA ROAD,LA PUENTE,CA,91744,1443,"600 LE SEDA ROAD
LA PUENTE, CA 91744
(34.007268, -117.898065)",32,HISPANIC,N,Y,N,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.007268,-117.898065
1000449,HIT SHOOTING INCIDENT,06/27/2013 07:05:00 AM,6600 117TH STREET EAST,LITTLE ROCK,CA,93543,2664,"6600 117TH STREET EAST
LITTLE ROCK, CA 93543
(34.557516, -117.919886)",80,WHITE,N,N,N,Y,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.557516,-117.919886
