LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
AVOCADO HEIGHTS,0520001A,129,123,N,1083,POLLING PLACE,80,47,29
AVOCADO HEIGHTS,0520001A,129,123,N,0,VBM PORTION,75,38,30
AVOCADO HEIGHTS,0520001A,129,123,N,1083,TOTAL,155,85,59
AVOCADO HEIGHTS,0520002A,130,123,N,709,POLLING PLACE,51,34,12
AVOCADO HEIGHTS,0520002A,130,123,N,0,VBM PORTION,20,12,8
AVOCADO HEIGHTS,0520002A,130,123,N,709,TOTAL,71,46,20
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,POLLING PLACE,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,VBM PORTION,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,TOTAL,0,0,0
AVOCADO HEIGHTS,0520004A,131,124,N,784,POLLING PLACE,97,45,39
AVOCADO HEIGHTS,0520004A,131,124,N,0,VBM PORTION,70,32,24
AVOCADO HEIGHTS,0520004A,131,124,N,784,TOTAL,167,77,63
AVOCADO HEIGHTS,0520005B,132,123,N,788,POLLING PLACE,55,37,15
AVOCADO HEIGHTS,0520005B,132,123,N,0,VBM PORTION,25,17,6
AVOCADO HEIGHTS,0520005B,132,123,N,788,TOTAL,80,54,21
AVOCADO HEIGHTS,0520007A,133,124,N,525,POLLING PLACE,19,10,8
AVOCADO HEIGHTS,0520007A,133,124,N,0,VBM PORTION,19,16,2
AVOCADO HEIGHTS,0520007A,133,124,N,525,TOTAL,38,26,10
AVOCADO HEIGHTS,0520008A,134,123,N,866,POLLING PLACE,67,32,22
AVOCADO HEIGHTS,0520008A,134,123,N,0,VBM PORTION,30,12,11
AVOCADO HEIGHTS,0520008A,134,123,N,866,TOTAL,97,44,33
AVOCADO HEIGHTS,0520009A,135,123,N,759,POLLING PLACE,63,25,30
AVOCADO HEIGHTS,0520009A,135,123,N,0,VBM PORTION,55,28,20
AVOCADO HEIGHTS,0520009A,135,123,N,759,TOTAL,118,53,50
AVOCADO HEIGHTS,0520010A,136,123,N,757,POLLING PLACE,50,34,8
AVOCADO HEIGHTS,0520010A,136,123,N,0,VBM PORTION,44,25,11
AVOCADO HEIGHTS,0520010A,136,123,N,757,TOTAL,94,59,19
AVOCADO HEIGHTS,0520012A,137,123,N,484,POLLING PLACE,48,24,18
AVOCADO HEIGHTS,0520012A,137,123,N,0,VBM PORTION,30,15,11
AVOCADO HEIGHTS,0520012A,137,123,N,484,TOTAL,78,39,29
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,POLLING PLACE,0,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,VBM PORTION,0,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,TOTAL,0,0,0
AVOCADO HEIGHTS,0520017A,138,123,N,582,POLLING PLACE,21,14,5
AVOCADO HEIGHTS,0520017A,138,123,N,0,VBM PORTION,19,6,11
AVOCADO HEIGHTS,0520017A,138,123,N,582,TOTAL,40,20,16
EAST WHITTIER,2050048A,790,133,N,470,POLLING PLACE,70,18,47
EAST WHITTIER,2050048A,790,133,N,0,VBM PORTION,69,17,46
EAST WHITTIER,2050048A,790,133,N,470,TOTAL,139,35,93
HACIENDA HEIGHTS,2630016A,1011,133,N,1284,POLLING PLACE,112,54,46
HACIENDA HEIGHTS,2630016A,1011,133,N,0,VBM PORTION,125,47,66
HACIENDA HEIGHTS,2630016A,1011,133,N,1284,TOTAL,237,101,112
HACIENDA HEIGHTS,2630018A,1012,133,N,1413,POLLING PLACE,122,63,45
HACIENDA HEIGHTS,2630018A,1012,133,N,0,VBM PORTION,146,66,58
HACIENDA HEIGHTS,2630018A,1012,133,N,1413,TOTAL,268,129,103
HACIENDA HEIGHTS,2630023A,1013,133,N,923,POLLING PLACE,41,20,18
HACIENDA HEIGHTS,2630023A,1013,133,N,0,VBM PORTION,49,27,17
HACIENDA HEIGHTS,2630023A,1013,133,N,923,TOTAL,90,47,35
HACIENDA HEIGHTS,2630026A,1014,133,N,545,POLLING PLACE,28,19,9
HACIENDA HEIGHTS,2630026A,1014,133,N,0,VBM PORTION,16,10,5
HACIENDA HEIGHTS,2630026A,1014,133,N,545,TOTAL,44,29,14
HACIENDA HEIGHTS,2630036A,1015,133,N,785,POLLING PLACE,61,30,26
HACIENDA HEIGHTS,2630036A,1015,133,N,0,VBM PORTION,59,26,27
HACIENDA HEIGHTS,2630036A,1015,133,N,785,TOTAL,120,56,53
HACIENDA HEIGHTS,2630049A,1016,133,N,1119,POLLING PLACE,100,31,59
HACIENDA HEIGHTS,2630049A,1016,133,N,0,VBM PORTION,104,24,63
HACIENDA HEIGHTS,2630049A,1016,133,N,1119,TOTAL,204,55,122
HACIENDA HEIGHTS,2630062A,1017,133,N,1130,POLLING PLACE,48,29,17
HACIENDA HEIGHTS,2630062A,1017,133,N,0,VBM PORTION,72,29,37
HACIENDA HEIGHTS,2630062A,1017,133,N,1130,TOTAL,120,58,54
HACIENDA HEIGHTS,2630064A,1018,133,N,1009,POLLING PLACE,79,45,25
HACIENDA HEIGHTS,2630064A,1018,133,N,0,VBM PORTION,69,38,27
HACIENDA HEIGHTS,2630064A,1018,133,N,1009,TOTAL,148,83,52
HACIENDA HEIGHTS,2630066A,1019,133,N,1125,POLLING PLACE,93,44,42
HACIENDA HEIGHTS,2630066A,1019,133,N,0,VBM PORTION,98,43,41
HACIENDA HEIGHTS,2630066A,1019,133,N,1125,TOTAL,191,87,83
HACIENDA HEIGHTS,2630066B,1020,133,N,1028,POLLING PLACE,67,31,27
HACIENDA HEIGHTS,2630066B,1020,133,N,0,VBM PORTION,60,30,23
HACIENDA HEIGHTS,2630066B,1020,133,N,1028,TOTAL,127,61,50
HACIENDA HEIGHTS,2630081A,1021,133,N,790,POLLING PLACE,71,24,42
HACIENDA HEIGHTS,2630081A,1021,133,N,0,VBM PORTION,86,32,36
HACIENDA HEIGHTS,2630081A,1021,133,N,790,TOTAL,157,56,78
HACIENDA HEIGHTS,2630083A,1022,133,N,1138,POLLING PLACE,93,44,43
HACIENDA HEIGHTS,2630083A,1022,133,N,0,VBM PORTION,154,50,86
HACIENDA HEIGHTS,2630083A,1022,133,N,1138,TOTAL,247,94,129
HACIENDA HEIGHTS,2630093A,1023,133,N,939,POLLING PLACE,94,32,58
HACIENDA HEIGHTS,2630093A,1023,133,N,0,VBM PORTION,88,17,47
HACIENDA HEIGHTS,2630093A,1023,133,N,939,TOTAL,182,49,105
HACIENDA HEIGHTS,2630097A,1024,133,N,906,POLLING PLACE,54,31,18
HACIENDA HEIGHTS,2630097A,1024,133,N,0,VBM PORTION,42,18,21
HACIENDA HEIGHTS,2630097A,1024,133,N,906,TOTAL,96,49,39
HACIENDA HEIGHTS,2630142A,1025,133,N,1075,POLLING PLACE,92,41,43
HACIENDA HEIGHTS,2630142A,1025,133,N,0,VBM PORTION,152,48,78
HACIENDA HEIGHTS,2630142A,1025,133,N,1075,TOTAL,244,89,121
HACIENDA HEIGHTS,2630158C,1026,133,N,1154,POLLING PLACE,98,42,50
HACIENDA HEIGHTS,2630158C,1026,133,N,0,VBM PORTION,141,35,79
HACIENDA HEIGHTS,2630158C,1026,133,N,1154,TOTAL,239,77,129
HACIENDA HEIGHTS,2630172A,1027,133,N,1399,POLLING PLACE,101,29,54
HACIENDA HEIGHTS,2630172A,1027,133,N,0,VBM PORTION,145,49,68
HACIENDA HEIGHTS,2630172A,1027,133,N,1399,TOTAL,246,78,122
HACIENDA HEIGHTS,2630177A,1028,133,N,944,POLLING PLACE,77,32,34
HACIENDA HEIGHTS,2630177A,1028,133,N,0,VBM PORTION,120,36,62
HACIENDA HEIGHTS,2630177A,1028,133,N,944,TOTAL,197,68,96
HACIENDA HEIGHTS,2630179A,1029,133,N,1200,POLLING PLACE,61,24,31
HACIENDA HEIGHTS,2630179A,1029,133,N,0,VBM PORTION,125,54,41
HACIENDA HEIGHTS,2630179A,1029,133,N,1200,TOTAL,186,78,72
HACIENDA HEIGHTS,2630190A,1030,133,N,1044,POLLING PLACE,107,43,57
HACIENDA HEIGHTS,2630190A,1030,133,N,0,VBM PORTION,97,36,49
HACIENDA HEIGHTS,2630190A,1030,133,N,1044,TOTAL,204,79,106
HACIENDA HEIGHTS,2630191B,1031,133,N,790,POLLING PLACE,49,22,20
HACIENDA HEIGHTS,2630191B,1031,133,N,0,VBM PORTION,57,25,20
HACIENDA HEIGHTS,2630191B,1031,133,N,790,TOTAL,106,47,40
