LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DOROTHY F PINEDA,FREDDIE RODRIGUEZ
FOOTHILL,2350028A,6052,93,Y,149,POLLING PLACE,0,0,0
FOOTHILL,2350028A,6052,93,Y,0,VBM PORTION,25,7,14
FOOTHILL,2350028A,6052,93,Y,149,TOTAL,25,7,14
FOOTHILL,2350029A,6053,93,Y,105,POLLING PLACE,0,0,0
FOOTHILL,2350029A,6053,93,Y,0,VBM PORTION,32,18,12
FOOTHILL,2350029A,6053,93,Y,105,TOTAL,32,18,12
POMONA,5250001A,2089,94,N,949,POLLING PLACE,79,29,33
POMONA,5250001A,2089,94,N,0,VBM PORTION,62,20,36
POMONA,5250001A,2089,94,N,949,TOTAL,141,49,69
POMONA,5250003A,2090,94,N,1531,POLLING PLACE,116,36,72
POMONA,5250003A,2090,94,N,0,VBM PORTION,221,84,111
POMONA,5250003A,2090,94,N,1531,TOTAL,337,120,183
POMONA,5250004A,2091,94,N,1116,POLLING PLACE,56,6,49
POMONA,5250004A,2091,94,N,0,VBM PORTION,34,8,25
POMONA,5250004A,2091,94,N,1116,TOTAL,90,14,74
POMONA,5250005B,2092,94,N,1009,POLLING PLACE,83,23,51
POMONA,5250005B,2092,94,N,0,VBM PORTION,80,32,39
POMONA,5250005B,2092,94,N,1009,TOTAL,163,55,90
POMONA,5250006A,2093,94,N,483,POLLING PLACE,19,8,10
POMONA,5250006A,2093,94,N,0,VBM PORTION,21,6,14
POMONA,5250006A,2093,94,N,483,TOTAL,40,14,24
POMONA,5250008A,2094,94,N,679,POLLING PLACE,31,6,25
POMONA,5250008A,2094,94,N,0,VBM PORTION,27,0,23
POMONA,5250008A,2094,94,N,679,TOTAL,58,6,48
POMONA,5250008B,2095,94,N,1205,POLLING PLACE,74,24,47
POMONA,5250008B,2095,94,N,0,VBM PORTION,61,18,36
POMONA,5250008B,2095,94,N,1205,TOTAL,135,42,83
POMONA,5250009B,2096,94,N,615,POLLING PLACE,48,5,38
POMONA,5250009B,2096,94,N,0,VBM PORTION,9,1,7
POMONA,5250009B,2096,94,N,615,TOTAL,57,6,45
POMONA,5250011B,2097,94,N,1206,POLLING PLACE,91,26,61
POMONA,5250011B,2097,94,N,0,VBM PORTION,53,17,30
POMONA,5250011B,2097,94,N,1206,TOTAL,144,43,91
POMONA,5250012A,2098,94,N,898,POLLING PLACE,40,11,28
POMONA,5250012A,2098,94,N,0,VBM PORTION,51,10,34
POMONA,5250012A,2098,94,N,898,TOTAL,91,21,62
POMONA,5250013A,2099,94,N,1215,POLLING PLACE,97,55,38
POMONA,5250013A,2099,94,N,0,VBM PORTION,121,67,48
POMONA,5250013A,2099,94,N,1215,TOTAL,218,122,86
POMONA,5250014A,2100,94,N,1249,POLLING PLACE,103,42,50
POMONA,5250014A,2100,94,N,0,VBM PORTION,98,48,42
POMONA,5250014A,2100,94,N,1249,TOTAL,201,90,92
POMONA,5250016B,2101,94,N,1138,POLLING PLACE,117,47,66
POMONA,5250016B,2101,94,N,0,VBM PORTION,121,40,68
POMONA,5250016B,2101,94,N,1138,TOTAL,238,87,134
POMONA,5250017A,2102,94,N,709,POLLING PLACE,37,4,25
POMONA,5250017A,2102,94,N,0,VBM PORTION,20,6,13
POMONA,5250017A,2102,94,N,709,TOTAL,57,10,38
POMONA,5250018A,2103,94,N,836,POLLING PLACE,31,14,16
POMONA,5250018A,2103,94,N,0,VBM PORTION,46,15,25
POMONA,5250018A,2103,94,N,836,TOTAL,77,29,41
POMONA,5250021A,2104,94,N,1284,POLLING PLACE,68,24,41
POMONA,5250021A,2104,94,N,0,VBM PORTION,46,17,26
POMONA,5250021A,2104,94,N,1284,TOTAL,114,41,67
POMONA,5250022A,2105,94,N,815,POLLING PLACE,47,7,31
POMONA,5250022A,2105,94,N,0,VBM PORTION,41,7,32
POMONA,5250022A,2105,94,N,815,TOTAL,88,14,63
POMONA,5250023A,2106,94,N,1219,POLLING PLACE,60,10,41
POMONA,5250023A,2106,94,N,0,VBM PORTION,60,17,41
POMONA,5250023A,2106,94,N,1219,TOTAL,120,27,82
POMONA,5250024A,2107,94,N,864,POLLING PLACE,40,5,28
POMONA,5250024A,2107,94,N,0,VBM PORTION,47,14,26
POMONA,5250024A,2107,94,N,864,TOTAL,87,19,54
POMONA,5250025A,2108,94,N,1013,POLLING PLACE,63,18,42
POMONA,5250025A,2108,94,N,0,VBM PORTION,42,11,27
POMONA,5250025A,2108,94,N,1013,TOTAL,105,29,69
POMONA,5250028A,2109,94,N,1124,POLLING PLACE,46,17,26
POMONA,5250028A,2109,94,N,0,VBM PORTION,24,9,14
POMONA,5250028A,2109,94,N,1124,TOTAL,70,26,40
POMONA,5250029A,2110,94,N,1217,POLLING PLACE,75,21,49
POMONA,5250029A,2110,94,N,0,VBM PORTION,68,21,41
POMONA,5250029A,2110,94,N,1217,TOTAL,143,42,90
POMONA,5250030A,2111,94,N,1095,POLLING PLACE,52,22,28
POMONA,5250030A,2111,94,N,0,VBM PORTION,56,19,35
POMONA,5250030A,2111,94,N,1095,TOTAL,108,41,63
POMONA,5250034B,2112,94,N,1280,POLLING PLACE,103,27,68
POMONA,5250034B,2112,94,N,0,VBM PORTION,137,65,50
POMONA,5250034B,2112,94,N,1280,TOTAL,240,92,118
POMONA,5250038A,2113,94,N,1088,POLLING PLACE,97,33,55
POMONA,5250038A,2113,94,N,0,VBM PORTION,76,26,43
POMONA,5250038A,2113,94,N,1088,TOTAL,173,59,98
POMONA,5250041A,2114,94,N,1212,POLLING PLACE,67,28,36
POMONA,5250041A,2114,94,N,0,VBM PORTION,44,12,28
POMONA,5250041A,2114,94,N,1212,TOTAL,111,40,64
POMONA,5250042A,2115,94,N,1045,POLLING PLACE,79,29,43
POMONA,5250042A,2115,94,N,0,VBM PORTION,66,14,48
POMONA,5250042A,2115,94,N,1045,TOTAL,145,43,91
POMONA,5250044D,2116,94,N,533,POLLING PLACE,30,7,22
POMONA,5250044D,2116,94,N,0,VBM PORTION,9,2,5
POMONA,5250044D,2116,94,N,533,TOTAL,39,9,27
POMONA,5250046D,2117,94,N,938,POLLING PLACE,39,16,20
POMONA,5250046D,2117,94,N,0,VBM PORTION,51,11,35
POMONA,5250046D,2117,94,N,938,TOTAL,90,27,55
POMONA,5250049A,2118,94,N,1238,POLLING PLACE,47,12,34
POMONA,5250049A,2118,94,N,0,VBM PORTION,37,18,17
POMONA,5250049A,2118,94,N,1238,TOTAL,84,30,51
POMONA,5250050A,2119,94,N,857,POLLING PLACE,69,17,48
POMONA,5250050A,2119,94,N,0,VBM PORTION,47,20,25
POMONA,5250050A,2119,94,N,857,TOTAL,116,37,73
POMONA,5250053A,2120,94,N,1315,POLLING PLACE,65,17,44
POMONA,5250053A,2120,94,N,0,VBM PORTION,36,8,25
POMONA,5250053A,2120,94,N,1315,TOTAL,101,25,69
POMONA,5250055A,2121,94,N,1059,POLLING PLACE,70,23,41
POMONA,5250055A,2121,94,N,0,VBM PORTION,49,20,21
POMONA,5250055A,2121,94,N,1059,TOTAL,119,43,62
POMONA,5250057A,2122,94,N,862,POLLING PLACE,38,6,31
POMONA,5250057A,2122,94,N,0,VBM PORTION,49,14,32
POMONA,5250057A,2122,94,N,862,TOTAL,87,20,63
POMONA,5250061B,2123,94,N,1189,POLLING PLACE,60,7,45
POMONA,5250061B,2123,94,N,0,VBM PORTION,57,12,42
POMONA,5250061B,2123,94,N,1189,TOTAL,117,19,87
POMONA,5250062A,2124,94,N,1278,POLLING PLACE,69,15,50
POMONA,5250062A,2124,94,N,0,VBM PORTION,72,21,45
POMONA,5250062A,2124,94,N,1278,TOTAL,141,36,95
POMONA,5250063A,2125,94,N,1164,POLLING PLACE,85,13,65
POMONA,5250063A,2125,94,N,0,VBM PORTION,51,8,40
POMONA,5250063A,2125,94,N,1164,TOTAL,136,21,105
POMONA,5250065A,2126,94,N,606,POLLING PLACE,34,11,23
POMONA,5250065A,2126,94,N,0,VBM PORTION,36,5,28
POMONA,5250065A,2126,94,N,606,TOTAL,70,16,51
POMONA,5250066A,2127,94,N,619,POLLING PLACE,17,4,11
POMONA,5250066A,2127,94,N,0,VBM PORTION,16,1,13
POMONA,5250066A,2127,94,N,619,TOTAL,33,5,24
POMONA,5250069A,2128,94,N,1168,POLLING PLACE,49,9,37
POMONA,5250069A,2128,94,N,0,VBM PORTION,53,17,30
POMONA,5250069A,2128,94,N,1168,TOTAL,102,26,67
POMONA,5250070A,2129,94,N,1238,POLLING PLACE,51,16,33
POMONA,5250070A,2129,94,N,0,VBM PORTION,52,13,38
POMONA,5250070A,2129,94,N,1238,TOTAL,103,29,71
POMONA,5250073A,2130,94,N,764,POLLING PLACE,40,8,32
POMONA,5250073A,2130,94,N,0,VBM PORTION,31,7,22
