LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
LOS ANGELES,9000118A,3046,51,N,1378,TOTAL,229,91,85,18
LOS ANGELES,9000119A,3047,19,N,1163,POLLING PLACE,59,15,33,9
LOS ANGELES,9000119A,3047,19,N,0,VBM PORTION,59,14,31,6
LOS ANGELES,9000119A,3047,19,N,1163,TOTAL,118,29,64,15
LOS ANGELES,9000123A,3048,19,N,842,POLLING PLACE,59,15,33,2
LOS ANGELES,9000123A,3048,19,N,0,VBM PORTION,36,5,23,1
LOS ANGELES,9000123A,3048,19,N,842,TOTAL,95,20,56,3
LOS ANGELES,9000125B,3049,19,N,1251,POLLING PLACE,50,8,30,12
LOS ANGELES,9000125B,3049,19,N,0,VBM PORTION,49,10,29,7
LOS ANGELES,9000125B,3049,19,N,1251,TOTAL,99,18,59,19
LOS ANGELES,9000126A,3050,19,N,1292,POLLING PLACE,89,17,50,14
LOS ANGELES,9000126A,3050,19,N,0,VBM PORTION,39,12,18,7
LOS ANGELES,9000126A,3050,19,N,1292,TOTAL,128,29,68,21
LOS ANGELES,9000127A,3051,62,N,1286,POLLING PLACE,100,22,65,7
LOS ANGELES,9000127A,3051,62,N,0,VBM PORTION,125,40,68,7
LOS ANGELES,9000127A,3051,62,N,1286,TOTAL,225,62,133,14
LOS ANGELES,9000134A,3056,15,N,758,POLLING PLACE,33,13,16,1
LOS ANGELES,9000134A,3056,15,N,0,VBM PORTION,22,7,6,4
LOS ANGELES,9000134A,3056,15,N,758,TOTAL,55,20,22,5
LOS ANGELES,9000135B,3057,62,N,1318,POLLING PLACE,89,25,54,5
LOS ANGELES,9000135B,3057,62,N,0,VBM PORTION,75,12,46,8
LOS ANGELES,9000135B,3057,62,N,1318,TOTAL,164,37,100,13
LOS ANGELES,9000136A,3058,59,N,1252,POLLING PLACE,90,20,54,11
LOS ANGELES,9000136A,3058,59,N,0,VBM PORTION,92,22,54,7
LOS ANGELES,9000136A,3058,59,N,1252,TOTAL,182,42,108,18
LOS ANGELES,9000137A,3059,59,N,1305,POLLING PLACE,63,12,45,2
LOS ANGELES,9000137A,3059,59,N,0,VBM PORTION,96,30,45,9
LOS ANGELES,9000137A,3059,59,N,1305,TOTAL,159,42,90,11
LOS ANGELES,9000139B,3060,15,N,1082,POLLING PLACE,58,20,32,4
LOS ANGELES,9000139B,3060,15,N,0,VBM PORTION,94,31,50,7
LOS ANGELES,9000139B,3060,15,N,1082,TOTAL,152,51,82,11
LOS ANGELES,9000140A,3061,59,N,1023,POLLING PLACE,78,27,36,10
LOS ANGELES,9000140A,3061,59,N,0,VBM PORTION,40,6,29,3
LOS ANGELES,9000140A,3061,59,N,1023,TOTAL,118,33,65,13
LOS ANGELES,9000141A,3062,15,N,1042,POLLING PLACE,65,34,22,5
LOS ANGELES,9000141A,3062,15,N,0,VBM PORTION,77,26,45,2
LOS ANGELES,9000141A,3062,15,N,1042,TOTAL,142,60,67,7
LOS ANGELES,9000142A,3063,62,N,1346,POLLING PLACE,94,21,60,6
LOS ANGELES,9000142A,3063,62,N,0,VBM PORTION,103,28,57,12
LOS ANGELES,9000142A,3063,62,N,1346,TOTAL,197,49,117,18
LOS ANGELES,9000144A,3064,15,N,1211,POLLING PLACE,78,26,37,8
LOS ANGELES,9000144A,3064,15,N,0,VBM PORTION,76,28,36,7
LOS ANGELES,9000144A,3064,15,N,1211,TOTAL,154,54,73,15
LOS ANGELES,9000148A,3065,59,N,1214,POLLING PLACE,68,20,44,2
LOS ANGELES,9000148A,3065,59,N,0,VBM PORTION,88,36,39,3
LOS ANGELES,9000148A,3065,59,N,1214,TOTAL,156,56,83,5
LOS ANGELES,9000149A,3066,59,N,767,POLLING PLACE,46,10,34,2
LOS ANGELES,9000149A,3066,59,N,0,VBM PORTION,40,8,24,3
LOS ANGELES,9000149A,3066,59,N,767,TOTAL,86,18,58,5
LOS ANGELES,9000151A,3067,59,N,1210,POLLING PLACE,110,31,69,7
LOS ANGELES,9000151A,3067,59,N,0,VBM PORTION,104,26,56,8
LOS ANGELES,9000151A,3067,59,N,1210,TOTAL,214,57,125,15
LOS ANGELES,9000153A,3068,59,N,1270,POLLING PLACE,113,30,65,8
LOS ANGELES,9000153A,3068,59,N,0,VBM PORTION,85,11,50,7
LOS ANGELES,9000153A,3068,59,N,1270,TOTAL,198,41,115,15
LOS ANGELES,9000154B,3069,63,N,1282,POLLING PLACE,154,37,103,6
LOS ANGELES,9000154B,3069,63,N,0,VBM PORTION,143,34,96,2
LOS ANGELES,9000154B,3069,63,N,1282,TOTAL,297,71,199,8
LOS ANGELES,9000157B,3072,59,N,1031,POLLING PLACE,37,9,23,3
LOS ANGELES,9000157B,3072,59,N,0,VBM PORTION,57,11,38,5
LOS ANGELES,9000157B,3072,59,N,1031,TOTAL,94,20,61,8
LOS ANGELES,9000163A,3075,15,N,1025,POLLING PLACE,131,49,67,6
LOS ANGELES,9000163A,3075,15,N,0,VBM PORTION,90,26,50,7
LOS ANGELES,9000163A,3075,15,N,1025,TOTAL,221,75,117,13
LOS ANGELES,9000165A,3076,19,N,1259,POLLING PLACE,80,11,53,12
LOS ANGELES,9000165A,3076,19,N,0,VBM PORTION,76,10,43,11
LOS ANGELES,9000165A,3076,19,N,1259,TOTAL,156,21,96,23
LOS ANGELES,9000167A,3077,15,N,1115,POLLING PLACE,90,31,49,5
LOS ANGELES,9000167A,3077,15,N,0,VBM PORTION,48,15,23,6
LOS ANGELES,9000167A,3077,15,N,1115,TOTAL,138,46,72,11
LOS ANGELES,9000177A,3082,59,N,909,POLLING PLACE,70,20,44,3
LOS ANGELES,9000177A,3082,59,N,0,VBM PORTION,38,9,24,1
LOS ANGELES,9000177A,3082,59,N,909,TOTAL,108,29,68,4
LOS ANGELES,9000178A,3083,59,N,1144,POLLING PLACE,84,38,32,5
LOS ANGELES,9000178A,3083,59,N,0,VBM PORTION,75,22,43,7
LOS ANGELES,9000178A,3083,59,N,1144,TOTAL,159,60,75,12
LOS ANGELES,9000184B,3087,15,N,1155,POLLING PLACE,51,10,30,7
LOS ANGELES,9000184B,3087,15,N,0,VBM PORTION,66,21,36,7
LOS ANGELES,9000184B,3087,15,N,1155,TOTAL,117,31,66,14
LOS ANGELES,9000193A,3093,59,N,1420,POLLING PLACE,89,19,55,6
LOS ANGELES,9000193A,3093,59,N,0,VBM PORTION,84,11,54,8
LOS ANGELES,9000193A,3093,59,N,1420,TOTAL,173,30,109,14
LOS ANGELES,9000197B,3094,59,N,993,POLLING PLACE,84,24,47,8
LOS ANGELES,9000197B,3094,59,N,0,VBM PORTION,54,10,31,3
LOS ANGELES,9000197B,3094,59,N,993,TOTAL,138,34,78,11
LOS ANGELES,9000201B,3095,59,N,1089,POLLING PLACE,55,11,33,5
LOS ANGELES,9000201B,3095,59,N,0,VBM PORTION,73,15,50,2
LOS ANGELES,9000201B,3095,59,N,1089,TOTAL,128,26,83,7
LOS ANGELES,9000205A,3098,59,N,1154,POLLING PLACE,49,12,32,4
LOS ANGELES,9000205A,3098,59,N,0,VBM PORTION,48,17,25,3
LOS ANGELES,9000205A,3098,59,N,1154,TOTAL,97,29,57,7
LOS ANGELES,9000214A,3103,62,N,471,POLLING PLACE,27,5,13,6
LOS ANGELES,9000214A,3103,62,N,0,VBM PORTION,27,7,20,0
LOS ANGELES,9000214A,3103,62,N,471,TOTAL,54,12,33,6
LOS ANGELES,9000214D,3104,62,N,1245,POLLING PLACE,80,12,47,16
LOS ANGELES,9000214D,3104,62,N,0,VBM PORTION,71,10,50,7
LOS ANGELES,9000214D,3104,62,N,1245,TOTAL,151,22,97,23
LOS ANGELES,9000215B,3105,63,N,1415,POLLING PLACE,125,19,87,7
LOS ANGELES,9000215B,3105,63,N,0,VBM PORTION,161,33,106,7
LOS ANGELES,9000215B,3105,63,N,1415,TOTAL,286,52,193,14
LOS ANGELES,9000222A,3107,15,N,1252,POLLING PLACE,108,38,53,4
LOS ANGELES,9000222A,3107,15,N,0,VBM PORTION,105,37,50,11
LOS ANGELES,9000222A,3107,15,N,1252,TOTAL,213,75,103,15
LOS ANGELES,9000223A,3108,15,N,1045,POLLING PLACE,99,40,43,7
LOS ANGELES,9000223A,3108,15,N,0,VBM PORTION,72,24,40,3
LOS ANGELES,9000223A,3108,15,N,1045,TOTAL,171,64,83,10
LOS ANGELES,9000224A,3109,9,N,1535,POLLING PLACE,105,32,43,18
LOS ANGELES,9000224A,3109,9,N,0,VBM PORTION,102,17,64,9
LOS ANGELES,9000224A,3109,9,N,1535,TOTAL,207,49,107,27
LOS ANGELES,9000231A,3114,63,N,1294,POLLING PLACE,162,25,114,14
LOS ANGELES,9000231A,3114,63,N,0,VBM PORTION,134,27,89,9
LOS ANGELES,9000231A,3114,63,N,1294,TOTAL,296,52,203,23
LOS ANGELES,9000232A,3115,19,N,1258,POLLING PLACE,70,17,40,1
LOS ANGELES,9000232A,3115,19,N,0,VBM PORTION,47,12,28,4
LOS ANGELES,9000232A,3115,19,N,1258,TOTAL,117,29,68,5
LOS ANGELES,9000251A,3124,63,N,824,POLLING PLACE,129,38,78,4
LOS ANGELES,9000251A,3124,63,N,0,VBM PORTION,73,22,38,5
LOS ANGELES,9000251A,3124,63,N,824,TOTAL,202,60,116,9
LOS ANGELES,9000252A,3125,19,N,1297,POLLING PLACE,145,28,94,13
LOS ANGELES,9000252A,3125,19,N,0,VBM PORTION,98,18,67,7
LOS ANGELES,9000252A,3125,19,N,1297,TOTAL,243,46,161,20
LOS ANGELES,9000260A,3130,63,N,966,POLLING PLACE,89,25,52,6
LOS ANGELES,9000260A,3130,63,N,0,VBM PORTION,176,33,115,9
LOS ANGELES,9000260A,3130,63,N,966,TOTAL,265,58,167,15
LOS ANGELES,9000261C,3131,63,N,935,POLLING PLACE,65,10,39,13
LOS ANGELES,9000261C,3131,63,N,0,VBM PORTION,65,19,35,6
LOS ANGELES,9000261C,3131,63,N,935,TOTAL,130,29,74,19
LOS ANGELES,9000268A,3136,63,N,1383,POLLING PLACE,146,26,96,14
LOS ANGELES,9000268A,3136,63,N,0,VBM PORTION,163,24,111,3
LOS ANGELES,9000268A,3136,63,N,1383,TOTAL,309,50,207,17
LOS ANGELES,9000300A,3156,15,N,1111,POLLING PLACE,47,11,29,3
LOS ANGELES,9000300A,3156,15,N,0,VBM PORTION,33,8,19,3
LOS ANGELES,9000300A,3156,15,N,1111,TOTAL,80,19,48,6
LOS ANGELES,9000301A,3157,15,N,1242,POLLING PLACE,91,32,48,9
LOS ANGELES,9000301A,3157,15,N,0,VBM PORTION,64,13,45,4
LOS ANGELES,9000301A,3157,15,N,1242,TOTAL,155,45,93,13
LOS ANGELES,9000305A,3160,15,N,1023,POLLING PLACE,93,42,41,4
LOS ANGELES,9000305A,3160,15,N,0,VBM PORTION,116,34,64,6
LOS ANGELES,9000305A,3160,15,N,1023,TOTAL,209,76,105,10
LOS ANGELES,9000307A,3161,63,N,1085,POLLING PLACE,99,23,61,10
LOS ANGELES,9000307A,3161,63,N,0,VBM PORTION,86,11,53,11
LOS ANGELES,9000307A,3161,63,N,1085,TOTAL,185,34,114,21
LOS ANGELES,9000308B,3162,15,N,1228,POLLING PLACE,84,33,41,6
LOS ANGELES,9000308B,3162,15,N,0,VBM PORTION,121,49,55,10
LOS ANGELES,9000308B,3162,15,N,1228,TOTAL,205,82,96,16
LOS ANGELES,9000312A,3164,15,N,885,POLLING PLACE,99,44,44,7
LOS ANGELES,9000312A,3164,15,N,0,VBM PORTION,66,19,42,5
LOS ANGELES,9000312A,3164,15,N,885,TOTAL,165,63,86,12
LOS ANGELES,9000313B,3165,15,N,888,POLLING PLACE,38,8,24,1
LOS ANGELES,9000313B,3165,15,N,0,VBM PORTION,25,1,18,3
LOS ANGELES,9000313B,3165,15,N,888,TOTAL,63,9,42,4
LOS ANGELES,9000314A,3166,15,N,1208,POLLING PLACE,80,14,46,7
LOS ANGELES,9000314A,3166,15,N,0,VBM PORTION,53,12,34,0
LOS ANGELES,9000314A,3166,15,N,1208,TOTAL,133,26,80,7
LOS ANGELES,9000316A,3168,15,N,981,POLLING PLACE,72,32,32,3
LOS ANGELES,9000316A,3168,15,N,0,VBM PORTION,72,17,47,3
LOS ANGELES,9000316A,3168,15,N,981,TOTAL,144,49,79,6
LOS ANGELES,9000321A,3172,15,N,1143,POLLING PLACE,45,8,32,1
LOS ANGELES,9000321A,3172,15,N,0,VBM PORTION,50,2,37,7
LOS ANGELES,9000321A,3172,15,N,1143,TOTAL,95,10,69,8
LOS ANGELES,9000324A,3174,15,N,1028,POLLING PLACE,67,19,41,1
LOS ANGELES,9000324A,3174,15,N,0,VBM PORTION,32,4,23,2
LOS ANGELES,9000324A,3174,15,N,1028,TOTAL,99,23,64,3
LOS ANGELES,9000325A,3175,15,N,914,POLLING PLACE,95,37,43,7
LOS ANGELES,9000325A,3175,15,N,0,VBM PORTION,60,23,29,5
LOS ANGELES,9000325A,3175,15,N,914,TOTAL,155,60,72,12
LOS ANGELES,9000327A,3177,15,N,1190,POLLING PLACE,77,18,52,3
LOS ANGELES,9000327A,3177,15,N,0,VBM PORTION,54,19,31,2
LOS ANGELES,9000327A,3177,15,N,1190,TOTAL,131,37,83,5
LOS ANGELES,9000330A,3178,15,N,960,POLLING PLACE,67,16,43,4
LOS ANGELES,9000330A,3178,15,N,0,VBM PORTION,46,9,32,1
LOS ANGELES,9000330A,3178,15,N,960,TOTAL,113,25,75,5
LOS ANGELES,9000331A,3179,15,N,1093,POLLING PLACE,80,23,47,6
LOS ANGELES,9000331A,3179,15,N,0,VBM PORTION,73,8,54,3
LOS ANGELES,9000331A,3179,15,N,1093,TOTAL,153,31,101,9
LOS ANGELES,9000333A,3180,9,N,911,POLLING PLACE,90,39,41,3
LOS ANGELES,9000333A,3180,9,N,0,VBM PORTION,59,21,32,3
LOS ANGELES,9000333A,3180,9,N,911,TOTAL,149,60,73,6
LOS ANGELES,9000334A,3181,18,N,890,POLLING PLACE,57,21,32,3
LOS ANGELES,9000334A,3181,18,N,0,VBM PORTION,81,20,51,6
LOS ANGELES,9000334A,3181,18,N,890,TOTAL,138,41,83,9
LOS ANGELES,9000343A,3184,9,N,654,POLLING PLACE,71,28,33,6
LOS ANGELES,9000343A,3184,9,N,0,VBM PORTION,36,13,20,1
LOS ANGELES,9000343A,3184,9,N,654,TOTAL,107,41,53,7
LOS ANGELES,9000344A,3185,15,N,896,POLLING PLACE,59,16,36,2
LOS ANGELES,9000344A,3185,15,N,0,VBM PORTION,29,9,17,3
LOS ANGELES,9000344A,3185,15,N,896,TOTAL,88,25,53,5
LOS ANGELES,9000345A,3186,15,N,1119,POLLING PLACE,119,47,48,16
LOS ANGELES,9000345A,3186,15,N,0,VBM PORTION,103,46,39,10
LOS ANGELES,9000345A,3186,15,N,1119,TOTAL,222,93,87,26
LOS ANGELES,9000347A,3188,63,N,1206,POLLING PLACE,80,19,50,8
LOS ANGELES,9000347A,3188,63,N,0,VBM PORTION,84,18,51,6
LOS ANGELES,9000347A,3188,63,N,1206,TOTAL,164,37,101,14
LOS ANGELES,9000348C,3189,63,N,1002,POLLING PLACE,77,9,53,10
LOS ANGELES,9000348C,3189,63,N,0,VBM PORTION,86,13,63,4
LOS ANGELES,9000348C,3189,63,N,1002,TOTAL,163,22,116,14
LOS ANGELES,9000349D,6180,17,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9000352A,3191,7,N,1232,POLLING PLACE,110,32,63,7
LOS ANGELES,9000352A,3191,7,N,0,VBM PORTION,96,31,54,4
LOS ANGELES,9000352A,3191,7,N,1232,TOTAL,206,63,117,11
LOS ANGELES,9000356A,3192,59,N,1218,POLLING PLACE,110,43,53,9
LOS ANGELES,9000356A,3192,59,N,0,VBM PORTION,104,40,51,4
LOS ANGELES,9000356A,3192,59,N,1218,TOTAL,214,83,104,13
