LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,49
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,22
ARTESIA,0400001A,115,137,N,819,TOTAL,113,71
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,31
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,75
ARTESIA,0400002A,116,137,N,1182,TOTAL,215,106
ARTESIA,0400004A,117,137,N,1004,POLLING PLACE,89,49
ARTESIA,0400004A,117,137,N,0,VBM PORTION,66,39
ARTESIA,0400004A,117,137,N,1004,TOTAL,155,88
ARTESIA,0400006A,118,137,N,1042,POLLING PLACE,77,46
ARTESIA,0400006A,118,137,N,0,VBM PORTION,66,41
ARTESIA,0400006A,118,137,N,1042,TOTAL,143,87
ARTESIA,0400007A,119,137,N,1049,POLLING PLACE,85,45
ARTESIA,0400007A,119,137,N,0,VBM PORTION,95,57
ARTESIA,0400007A,119,137,N,1049,TOTAL,180,102
ARTESIA,0400008A,120,137,N,1154,POLLING PLACE,81,40
ARTESIA,0400008A,120,137,N,0,VBM PORTION,102,68
ARTESIA,0400008A,120,137,N,1154,TOTAL,183,108
ARTESIA,0400010C,121,137,N,1140,POLLING PLACE,59,28
ARTESIA,0400010C,121,137,N,0,VBM PORTION,99,61
ARTESIA,0400010C,121,137,N,1140,TOTAL,158,89
BELLFLOWER,0750006A,205,139,N,881,POLLING PLACE,32,15
BELLFLOWER,0750006A,205,139,N,0,VBM PORTION,66,43
BELLFLOWER,0750006A,205,139,N,881,TOTAL,98,58
BELLFLOWER,0750009A,206,139,N,1116,POLLING PLACE,62,32
BELLFLOWER,0750009A,206,139,N,0,VBM PORTION,66,30
BELLFLOWER,0750009A,206,139,N,1116,TOTAL,128,62
BELLFLOWER,0750010A,207,139,N,1076,POLLING PLACE,55,39
BELLFLOWER,0750010A,207,139,N,0,VBM PORTION,36,24
BELLFLOWER,0750010A,207,139,N,1076,TOTAL,91,63
BELLFLOWER,0750011A,208,139,N,1082,POLLING PLACE,97,51
BELLFLOWER,0750011A,208,139,N,0,VBM PORTION,63,28
BELLFLOWER,0750011A,208,139,N,1082,TOTAL,160,79
BELLFLOWER,0750012A,209,137,N,603,POLLING PLACE,25,13
BELLFLOWER,0750012A,209,137,N,0,VBM PORTION,27,21
BELLFLOWER,0750012A,209,137,N,603,TOTAL,52,34
BELLFLOWER,0750012D,210,137,N,942,POLLING PLACE,26,12
BELLFLOWER,0750012D,210,137,N,0,VBM PORTION,20,12
BELLFLOWER,0750012D,210,137,N,942,TOTAL,46,24
BELLFLOWER,0750014A,211,139,N,1050,POLLING PLACE,61,40
BELLFLOWER,0750014A,211,139,N,0,VBM PORTION,51,32
BELLFLOWER,0750014A,211,139,N,1050,TOTAL,112,72
BELLFLOWER,0750016A,212,139,N,1224,POLLING PLACE,63,41
BELLFLOWER,0750016A,212,139,N,0,VBM PORTION,77,43
BELLFLOWER,0750016A,212,139,N,1224,TOTAL,140,84
BELLFLOWER,0750017B,213,139,N,1266,POLLING PLACE,41,34
BELLFLOWER,0750017B,213,139,N,0,VBM PORTION,43,30
BELLFLOWER,0750017B,213,139,N,1266,TOTAL,84,64
BELLFLOWER,0750019A,214,139,N,1161,POLLING PLACE,65,39
BELLFLOWER,0750019A,214,139,N,0,VBM PORTION,65,39
BELLFLOWER,0750019A,214,139,N,1161,TOTAL,130,78
BELLFLOWER,0750021A,215,139,N,856,POLLING PLACE,59,35
BELLFLOWER,0750021A,215,139,N,0,VBM PORTION,59,35
BELLFLOWER,0750021A,215,139,N,856,TOTAL,118,70
BELLFLOWER,0750022A,216,137,N,1054,POLLING PLACE,103,54
BELLFLOWER,0750022A,216,137,N,0,VBM PORTION,84,47
BELLFLOWER,0750022A,216,137,N,1054,TOTAL,187,101
BELLFLOWER,0750024A,217,139,N,1096,POLLING PLACE,64,44
BELLFLOWER,0750024A,217,139,N,0,VBM PORTION,59,38
BELLFLOWER,0750024A,217,139,N,1096,TOTAL,123,82
BELLFLOWER,0750025A,218,139,N,607,POLLING PLACE,37,21
BELLFLOWER,0750025A,218,139,N,0,VBM PORTION,60,41
BELLFLOWER,0750025A,218,139,N,607,TOTAL,97,62
BELLFLOWER,0750027A,219,137,N,1088,POLLING PLACE,70,44
BELLFLOWER,0750027A,219,137,N,0,VBM PORTION,72,44
BELLFLOWER,0750027A,219,137,N,1088,TOTAL,142,88
BELLFLOWER,0750028A,220,139,N,1236,POLLING PLACE,81,51
BELLFLOWER,0750028A,220,139,N,0,VBM PORTION,70,44
BELLFLOWER,0750028A,220,139,N,1236,TOTAL,151,95
BELLFLOWER,0750029C,221,137,N,857,POLLING PLACE,46,28
BELLFLOWER,0750029C,221,137,N,0,VBM PORTION,44,28
BELLFLOWER,0750029C,221,137,N,857,TOTAL,90,56
BELLFLOWER,0750030A,222,137,N,1124,POLLING PLACE,84,52
BELLFLOWER,0750030A,222,137,N,0,VBM PORTION,66,37
BELLFLOWER,0750030A,222,137,N,1124,TOTAL,150,89
BELLFLOWER,0750031C,223,137,N,958,POLLING PLACE,53,32
BELLFLOWER,0750031C,223,137,N,0,VBM PORTION,56,35
BELLFLOWER,0750031C,223,137,N,958,TOTAL,109,67
BELLFLOWER,0750032A,224,137,N,873,POLLING PLACE,48,36
BELLFLOWER,0750032A,224,137,N,0,VBM PORTION,28,22
BELLFLOWER,0750032A,224,137,N,873,TOTAL,76,58
BELLFLOWER,0750032C,225,137,N,742,POLLING PLACE,33,20
BELLFLOWER,0750032C,225,137,N,0,VBM PORTION,36,26
BELLFLOWER,0750032C,225,137,N,742,TOTAL,69,46
BELLFLOWER,0750033A,226,137,N,997,POLLING PLACE,76,31
BELLFLOWER,0750033A,226,137,N,0,VBM PORTION,54,28
BELLFLOWER,0750033A,226,137,N,997,TOTAL,130,59
BELLFLOWER,0750034A,227,137,N,934,POLLING PLACE,71,36
BELLFLOWER,0750034A,227,137,N,0,VBM PORTION,75,44
