LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,105,26
ACTON,0050003A,1,3,N,0,VBM PORTION,133,75,29
ACTON,0050003A,1,3,N,1086,TOTAL,288,180,55
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,54,26
ACTON,0050004A,2,3,N,0,VBM PORTION,132,84,19
ACTON,0050004A,2,3,N,820,TOTAL,242,138,45
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,69,26
ACTON,0050005A,3,3,N,0,VBM PORTION,83,50,8
ACTON,0050005A,3,3,N,748,TOTAL,205,119,34
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,38,10
ACTON,0050014A,4,3,N,0,VBM PORTION,57,37,9
ACTON,0050014A,4,3,N,488,TOTAL,114,75,19
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,18,2
ACTON,0050022A,6001,4,Y,61,TOTAL,22,18,2
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,1
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,1
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,85,28
ACTON,0050059A,5,3,N,0,VBM PORTION,122,85,19
ACTON,0050059A,5,3,N,1211,TOTAL,272,170,47
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,96,25
ACTON,0050061A,6,3,N,0,VBM PORTION,155,80,37
ACTON,0050061A,6,3,N,1159,TOTAL,308,176,62
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2,1
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2,1
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,4,7
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,4,7
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,54,66
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,62,40
AGOURA,0070004A,7,88,N,1212,TOTAL,312,116,106
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,50,75
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,50,53
AGOURA,0070006A,8,88,N,1201,TOTAL,337,100,128
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,21,13
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,50,17
AGOURA,0070008B,9,56,N,846,TOTAL,143,71,30
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,41,42
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,19,27
AGOURA,0070041A,10,88,N,716,TOTAL,193,60,69
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,43,43
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,65,24
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,108,67
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,61,48
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,62,37
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,123,85
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,44,42
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,38,27
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,82,69
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,48,40
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,59,25
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,107,65
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,47,45
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,42,28
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,89,73
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,60,40
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,58,43
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,118,83
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,51,59
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,54,37
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,105,96
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,35,35
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,31,29
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,66,64
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,68,56
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,71,45
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,139,101
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,47,35
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,65,38
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,112,73
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,41,36
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,48,48
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,89,84
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,50,50
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,55,37
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,105,87
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,57,34
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,64,29
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,121,63
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,55,21
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,36,20
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,91,41
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,34,11
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,33,18
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,67,29
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,13,11
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,13,11
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,3,1
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,3,1
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,4,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,4,0
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,32,39
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,28,26
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,60,65
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,14,22
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,20,24
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,34,46
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,56,49
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,50,41
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,106,90
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,18,28
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,19,29
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,37,57
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,23,35
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,18,28
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,41,63
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,41,56
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,37,52
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,78,108
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,12,46
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,22,31
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,34,77
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,42,27
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,27,22
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,69,49
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,48,43
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,32,31
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,80,74
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,32,38
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,36,17
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,68,55
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,29,41
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,20,31
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,49,72
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,28,22
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,49,38
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,77,60
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,35,41
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,17,27
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,52,68
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,19,38
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,38,19
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,57,57
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,11,13
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,12,16
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,23,29
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,10,33
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,22,27
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,32,60
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,26,35
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,27,29
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,53,64
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,32,31
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,28,23
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,60,54
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,17,21
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,11,17
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,28,38
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,30,48
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,29,25
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,59,73
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,19,19
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,28,25
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,47,44
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,38,38
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,27,37
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,65,75
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,14,20
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,16,40
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,30,60
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,20,19
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,17,16
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,37,35
