LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,0,0,1,0,0,2,0
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,0,0,1,0,0,2,0
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,0,0,3,3,2,0,0,10
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,0,0,3,3,2,0,0,10
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,3,6,5,43,7,5,30,43
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,2,7,3,28,4,2,28,39
AGOURA,0070004A,7,88,N,1212,TOTAL,312,5,13,8,71,11,7,58,82
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,2,6,0,45,2,0,29,85
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,1,10,4,32,2,0,21,48
AGOURA,0070006A,8,88,N,1201,TOTAL,337,3,16,4,77,4,0,50,133
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,1,1,1,12,0,0,9,16
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,0,2,9,29,0,0,18,17
AGOURA,0070008B,9,56,N,846,TOTAL,143,1,3,10,41,0,0,27,33
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,4,10,7,40,3,2,9,27
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,1,3,7,25,4,0,6,12
AGOURA,0070041A,10,88,N,716,TOTAL,193,5,13,14,65,7,2,15,39
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,0,5,5,33,6,2,15,32
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,0,12,3,39,1,2,12,29
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,0,17,8,72,7,4,27,61
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,4,9,0,43,2,0,23,24
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,0,4,5,54,4,0,18,25
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,4,13,5,97,6,0,41,49
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,4,3,9,38,2,0,15,30
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,6,15,3,20,3,1,10,22
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,10,18,12,58,5,1,25,52
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,3,7,4,39,5,2,12,29
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,5,14,4,27,8,0,19,15
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,8,21,8,66,13,2,31,44
