"district_attorney_file_number",year,"date","time","suspect_gender","suspect_race",suspect_age,"mental_health_concerns","parole_status","probation_status","felony_convictions","wounded","deceased","notes"
"#10-0031",2010,"2010-01-14","15:41:00","M ","HISPANIC ",42,"NO ","Y ","Y ","Y ","1","",""
"#10-0142",2010,"2010-02-26","4:29:00","M ","BLACK ",34,"NO ","N ","Y ","N ","1","",""
"#10-0171",2010,"2010-03-06","3:30:00","M ","HISPANIC ",29,"NO ","NO ","YES ","NO ","2","",""
"#10-0171",2010,"2010-03-06","3:30:00","M ","HISPANIC ",18,"NO ","YES ","NO ","NO ","","",""
"#10-0188",2010,"2010-03-09","11:32:00","M ","HISPANIC ",55,"YES ","NO ","YES ","NO ","1","",""
"#10-0235",2010,"2010-03-24","0:14:00","M ","HISPANIC ",31,"YES ","NO ","YES ","NO ","1","",""
"#10-0292",2010,"2010-04-13","21:10:00","M ","HISPANIC ",28,"NO ","YES ","YES ","YES ","1","",""
"#10-0301",2010,"2010-04-18","0:42:00","M ","HISPANIC ",17,"NO ","UNK ","UNK ","UNK ","2","",""
"#10-0301",2010,"2010-04-18","0:42:00","M ","HISPANIC ",24,"NO ","NO ","NO ","NO","","",""
"#10-0355",2010,"2010-05-06","4:00:00","M ","HISPANIC ",26,"NO ","NO ","NO ","YES ","1","",""
"#10-0445",2010,"2010-06-09","1:59:00","M ","HISPANIC ",24,"NO ","NO ","YES ","YES ","","1",""
"#10-0457",2010,"2010-06-15","10:41:00","M ","HISPANIC ",29,"NO ","NO ","YES ","NO ","1","",""
"#10-0459",2010,"2010-06-16","21:43:00","M ","BLACK ",23,"NO ","NO ","YES ","NO ","","1",""
"#10-0466",2010,"2010-06-19","17:31:00","M ","BLACK ",40,"NO ","YES ","YES ","YES ","1","",""
"#10-0488",2010,"2010-06-24","21:35:00","M ","WHITE ",18,"NO ","NO ","NO ","NO ","","1",""
"#10-0531",2010,"2010-07-09","2:50:00","M ","HISPANIC ",41,"YES ","NO ","NO ","NO ","1","",""
