INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,# OF PERSONS,PERSON RACE,DECEASED,WOUNDED,DEPUTY GENDER,DEPUTY RACE,DEPUTY AGE,YEARS OF SERVICE,DEPUTY ASSIGNED UNIT,DEPUTY ASSIGNED UNIT NAME,INVOLVED IN PREVIOUS SHOOTINGS,# OF PREVIOUS SHOOTINGS,DISTRICT ATTORNEY ACTION,TRAINING,WEAPON INVOLVED CATEGORY,WEAPON INVOLVED CATEGORY DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000493,HIT SHOOTING INCIDENT,08/01/2014 04:49:00 AM,9000 ROSEHEDGE DRIVE,PICO RIVERA,CA,90660,1514,"9000 ROSEHEDGE DRIVE
PICO RIVERA, CA 90660
(33.993633, -118.087458)",2,"HISPANIC,HISPANIC",Y,,M,HISPANIC,39,14,PRV,PICO RIVERA STN,Y,1,LEGALLY JUSTIFIED,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.993633,-118.087458
1000490,HIT SHOOTING INCIDENT,06/25/2014 05:05:00 PM,BEAR VALLEY ROAD AND  CENTRAL ROAD,APPLE VALLEY,CA,92308,3199,"BEAR VALLEY ROAD AND CENTRAL ROAD
APPLE VALLEY, CA 92308
(34.471554, -117.172646)",1,HISPANIC,Y,,M,HISPANIC,53,32,MCB,MAJOR CRIMES BUREAU,N,,LEGALLY JUSTIFIED,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.471554,-117.172646
1000409,NON-HIT SHOOTING INCIDENT,07/22/2012 09:54:00 PM,BARING CROSS STREET AND CENTURY BLVD,LOS ANGELES,CA,90047,0370,"BARING CROSS STREET AND CENTURY BLVD
LOS ANGELES, CA 90047
(33.94550098277081505594, -118.2893480040335591002)",1,BLACK,,,M,HISPANIC,39,13,IND,INDUSTRY STN,N,,,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.945500982770815,-118.289348004033559
1000499,HIT SHOOTING INCIDENT,10/04/2014 06:51:00 PM,1100 E. 57TH STREET,LOS ANGELES,CA,90011,2172,"1100 E. 57TH STREET
LOS ANGELES, CA 90011
(33.991116, -118.256328)",1,HISPANIC,Y,,M,HISPANIC,39,9,CEN,CENTURY STN,N,,PENDING,,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.991116,-118.256328
1000350,NON-HIT SHOOTING INCIDENT,04/11/2011 11:20:00 PM,1100 DOHENY DRIVE,WEST HOLLYWOOD,CA,90069,0978,"1100 DOHENY DRIVE
WEST HOLLYWOOD, CA 90069
(34.090586, -118.38975)",1,HISPANIC,,,M,HISPANIC,31,11,WHD,WEST HOLLYWOOD STN,N,,,N,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.090586,-118.38975
1000504,HIT SHOOTING INCIDENT,11/16/2014 02:39:00 AM,5300 EAST VERONA STREET,EAST LOS ANGELES,CA,90022,0286,"5300 EAST VERONA STREET
EAST LOS ANGELES, CA 90022
(34.018034, -118.156987)",2,"HISPANIC,HISPANIC",Y,,M,HISPANIC,27,7,ELA,EAST LA STN,Y,1,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.018034,-118.156987
1000500,HIT SHOOTING INCIDENT,10/08/2014 12:58:00 AM,OLYMPIC BLVD AND  FRASER AVENUE,EAST LOS ANGELES,CA,90022,0284,"OLYMPIC BLVD AND FRASER AVENUE
EAST LOS ANGELES, CA 90022
(34.01721798307304797605, -118.16292001415274344634)",1,HISPANIC,,Y,M,HISPANIC,33,10,ELA,EAST LA STN,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.017217983073048,-118.162920014152743
1000684,HIT SHOOTING INCIDENT,02/14/2016 03:50:00 AM,4800 WHITTIER BOULEVARD,LOS ANGELES,CA,90022,0294,"4800 WHITTIER BOULEVARD
LOS ANGELES, CA 90022
(34.02154, -118.1636)",1,HISPANIC,Y,,M,HISPANIC,29,9,ELA,EAST LA STN,Y,1,,,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.02154,-118.1636
1000396,HIT SHOOTING INCIDENT,03/08/2012 03:30:00 PM,215TH STREET AND ELAINE AVENUE,HAWAIIAN GARDENS,CA,90716,3674,"215TH STREET AND ELAINE AVENUE
HAWAIIAN GARDENS, CA 90716
(33.83404302223222658427, -118.07651800736792045932)",2,"HISPANIC,HISPANIC",,Y,M,WHITE,49,26,NAR,NARCOTICS BUREAU,N,,LEGALLY JUSTIFIED,Y,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.834043022232227,-118.07651800736792
1000473,HIT SHOOTING INCIDENT,12/29/2013 01:20:00 AM,2500 EL TORO ROAD,MONROVIA,CA,91010,0583,"2500 EL TORO ROAD
MONROVIA, CA 91010
(34.119987, -117.992453)",2,"HISPANIC,HISPANIC",,Y,M,HISPANIC,31,8,TEM,TEMPLE CITY STN,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.119987,-117.992453
1000452,HIT SHOOTING INCIDENT,08/04/2013 12:30:00 PM,ROSEMEAD BLVD AND SHENANDOAH AVE,PICO RIVERA,CA,90660,1513,"ROSEMEAD BLVD AND SHENANDOAH AVE
PICO RIVERA, CA 90660
(33.99861397860065710048, -118.08419000582316701903)",1,HISPANIC,,Y,M,HISPANIC,38,12,PRV,PICO RIVERA STN,Y,1,LEGALLY JUSTIFIED,N,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.998613978600657,-118.084190005823167
1000335,HIT SHOOTING INCIDENT,01/11/2011 07:17:00 PM,600 N. BRANNICK AVENUE,LOS ANGELES,CA,90063,0275,"600 N. BRANNICK AVENUE
LOS ANGELES, CA 90063
(34.04343, -118.177967)",1,HISPANIC,Y,,M,HISPANIC,44,21,ELA,EAST LA STN,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.04343,-118.177967
1000651,HIT SHOOTING INCIDENT,10/02/2015 11:30:00 PM,13400 CROSSROADS PARKWAY NORTH,CITY OF INDUSTRY,CA,91746,1410,"13400 CROSSROADS PARKWAY NORTH
CITY OF INDUSTRY, CA 91746
(34.030814, -118.006742)",1,HISPANIC,,Y,M,WHITE,31,9,IND,INDUSTRY STN,N,,,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.030814,-118.006742
1000439,HIT SHOOTING INCIDENT,04/29/2013 10:20:00 AM,500 FAIR VIEW AVENUE,LOS ANGELES,CA,90022,0286,"500 FAIR VIEW AVENUE
LOS ANGELES, CA 90022
(34.053313, -118.220551)",1,HISPANIC,Y,,M,HISPANIC,35,14,SEB,SPECIAL ENFORCEMENT BUR,Y,4,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.053313,-118.220551
1000458,HIT SHOOTING INCIDENT,09/17/2013 04:27:00 PM,3RD STREET AND  HUMPHREYS AVENUE,EAST LOS ANGELES,CA,90063,0283,"3RD STREET AND HUMPHREYS AVENUE
EAST LOS ANGELES, CA 90063
(34.033221, -118.171927)",2,"HISPANIC,HISPANIC",,Y,M,HISPANIC,45,22,OSS,OPERATION SAFE STREETS BUREAU,Y,1,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.033221,-118.171927
1000312,NON-HIT SHOOTING INCIDENT,08/25/2010 08:40:00 PM,800 E. 88TH STREET,LOS ANGELES,CA,90002,2199,"800 E. 88TH STREET
LOS ANGELES, CA 90002
(33.957423, -118.260254)",1,BLACK,,,M,HISPANIC,35,13,CEN,CENTURY STN,Y,2,,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.957423,-118.260254
1000353,HIT SHOOTING INCIDENT,05/25/2011 08:33:00 PM,11600 SOUTH CENTRAL AVENUE,LOS ANGELES,CA,90059,2131,"11600 SOUTH CENTRAL AVENUE
LOS ANGELES, CA 90059
(33.929468, -118.25428)",1,HISPANIC,Y,,M,HISPANIC,29,7,CEN,CENTURY STN,N,,LEGALLY JUSTIFIED,Y,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.929468,-118.25428
1000689,HIT SHOOTING INCIDENT,03/05/2016 11:01:00 PM,800 120TH STREET,LOS ANGELES,CA,90044,0378,"800 120TH STREET
LOS ANGELES, CA 90044
(33.923549, -118.290076)",1,BLACK,,Y,M,WHITE,31,9,SLA,SOUTH LOS ANGELES STATION,N,,,,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.923549,-118.290076
1000442,HIT SHOOTING INCIDENT,05/22/2013 11:40:00 AM,5800 ALOTT AVENUE,VAN NUYS,CA,91401,3199,"5800 ALOTT AVENUE
VAN NUYS, CA 91401
(34.175726, -118.427941)",1,WHITE,,Y,M,HISPANIC,48,23,MCB,MAJOR CRIMES BUREAU,N,,LEGALLY JUSTIFIED,N,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.175726,-118.427941
1000424,HIT SHOOTING INCIDENT,11/16/2012 09:30:00 PM,81ST AND PARMALEE AVENUE,LOS ANGELES,CA,90001,2174,"81ST AND PARMALEE AVENUE
LOS ANGELES, CA 90001
(33.96580897884491831496, -118.24990302594981168384)",1,BLACK,,Y,M,WHITE,30,8,OSS,OPERATION SAFE STREETS BUREAU,Y,2,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.965808978844918,-118.249903025949812
1000527,HIT SHOOTING INCIDENT,02/13/2014 04:57:00 PM,19100 ELBERLAND STREET,West Covina,CA,91792,2910,"19100 ELBERLAND STREET
West Covina, CA 91792
(34.009463, -117.88471)",1,HISPANIC,Y,,M,HISPANIC,37,13,WAL,WALNUT/SAN DIMAS STN,Y,1,LEGALLY JUSTIFIED,N,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.009463,-117.88471
1000518,HIT SHOOTING INCIDENT,03/13/2015 05:25:00 PM,900 WEST 43RD STREET,LOS ANGELES,CA,90037,0371,"900 WEST 43RD STREET
LOS ANGELES, CA 90037
(34.00549, -118.289087)",1,HISPANIC,,Y,M,HISPANIC,33,9,SLA,SOUTH LOS ANGELES STATION,N,,PENDING,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.00549,-118.289087
1000410,NON-HIT SHOOTING INCIDENT,08/16/2012 01:40:00 AM,W. 127TH STREET AND NORMANDIE AVENUE,LOS ANGELES,CA,90047,0377,"W. 127TH STREET AND NORMANDIE AVENUE
LOS ANGELES, CA 90047
(33.917363, -118.300408)",1,BLACK,,,M,HISPANIC,30,8,SLA,SOUTH LOS ANGELES STATION,N,,,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.917363,-118.300408
1000396,HIT SHOOTING INCIDENT,03/08/2012 03:30:00 PM,215TH STREET AND ELAINE AVENUE,HAWAIIAN GARDENS,CA,90716,3674,"215TH STREET AND ELAINE AVENUE
HAWAIIAN GARDENS, CA 90716
(33.83404302223222658427, -118.07651800736792045932)",2,"HISPANIC,HISPANIC",,Y,M,HISPANIC,59,36,NAR,NARCOTICS BUREAU,N,0,LEGALLY JUSTIFIED,Y,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.834043022232227,-118.07651800736792
1000486,HIT SHOOTING INCIDENT,05/26/2014 09:45:00 AM,6900 LONG BEACH BLVD,LONG BEACH,CA,90805,2899,"6900 LONG BEACH BLVD
LONG BEACH, CA 90805
(33.879473, -118.204286)",1,HISPANIC,Y,,M,WHITE,30,7,COM,COMPTON STN,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.879473,-118.204286
1000344,HIT SHOOTING INCIDENT,03/01/2011 03:29:00 PM,500 EAST AVENUE P-14,PALMDALE,CA,93550,2614,"500 EAST AVENUE P-14
PALMDALE, CA 93550
(34.601786, -118.120609)",1,BLACK,Y,,M,WHITE,51,24,PLM,PALMDALE STN,N,,LEGALLY JUSTIFIED,Y,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.601786,-118.120609
1000295,HIT SHOOTING INCIDENT,04/13/2010 09:10:00 PM,900 S. KERN AVENUE,EAST LOS ANGELES,CA,90022,0284,"900 S. KERN AVENUE
EAST LOS ANGELES, CA 90022
(34.021752, -118.165857)",1,HISPANIC,,Y,M,HISPANIC,32,11,ELA,EAST LA STN,N,,LEGALLY JUSTIFIED,N,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.021752,-118.165857
1000400,HIT SHOOTING INCIDENT,05/12/2012 01:25:00 PM,HUDSON AVENUE AND STAFFORD AVENUE,CITY OF INDUSTRY,CA,91744,1462,"HUDSON AVENUE AND STAFFORD AVENUE
CITY OF INDUSTRY, CA 91744
(34.02503598860171436153, -117.95933102562561901379)",1,HISPANIC,Y,,M,BLACK,55,28,IND,INDUSTRY STN,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.025035988601714,-117.959331025625619
1000507,HIT SHOOTING INCIDENT,11/30/2014 01:00:00 AM,23900 MARBELLA AVE.,CARSON,CA,90745,1624,"23900 MARBELLA AVE.
CARSON, CA 90745
(33.808013, -118.270683)",1,HISPANIC,Y,,M,HISPANIC,50,8,CSN,CARSON STN,N,0,LEGALLY JUSTIFIED,,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.808013,-118.270683
1000508,HIT SHOOTING INCIDENT,05/14/2013 09:15:00 PM,7200 RICHFIELD AVENUE,PARAMOUNT,CA,90723,1364,"7200 RICHFIELD AVENUE
PARAMOUNT, CA 90723
(33.901823, -118.173125)",1,HISPANIC,Y,,M,WHITE,28,7,LKD,LAKEWOOD STN,Y,1,LEGALLY JUSTIFIED,N,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.901823,-118.173125
1000425,HIT SHOOTING INCIDENT,11/09/2012 10:12:00 AM,45900 DESERT SPRINGS ROAD,LANCASTER,CA,93534,0641,"45900 DESERT SPRINGS ROAD
LANCASTER, CA 93534
(34.716759, -118.147769)",1,WHITE,Y,,M,WHITE,52,21,SCV,SANTA CLARITA VALLEY STN,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.716759,-118.147769
1000497,HIT SHOOTING INCIDENT,08/26/2014 01:04:00 PM,12200 SANTA FE AVENUE,COMPTON,CA,90222,2116,"12200 SANTA FE AVENUE
COMPTON, CA 90222
(33.916817, -118.217536)",1,BLACK,Y,,M,HISPANIC,40,16,SEB,SPECIAL ENFORCEMENT BUR,N,,PENDING,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.916817,-118.217536
1000648,HIT SHOOTING INCIDENT,09/10/2015 08:52:00 PM,9200 LAKEWOOD BLVD.,DOWNEY,CA,90240,3199,"9200 LAKEWOOD BLVD.
DOWNEY, CA 90240
(33.954779, -118.113381)",1,HISPANIC,Y,,M,HISPANIC,38,16,SEB,SPECIAL ENFORCEMENT BUR,Y,5,,,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.954779,-118.113381
1000493,HIT SHOOTING INCIDENT,08/01/2014 04:49:00 AM,9000 ROSEHEDGE DRIVE,PICO RIVERA,CA,90660,1514,"9000 ROSEHEDGE DRIVE
PICO RIVERA, CA 90660
(33.993633, -118.087458)",2,"HISPANIC,HISPANIC",Y,,M,HISPANIC,39,16,OSS,OPERATION SAFE STREETS BUREAU,Y,1,LEGALLY JUSTIFIED,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.993633,-118.087458
1000439,HIT SHOOTING INCIDENT,04/29/2013 10:20:00 AM,500 FAIR VIEW AVENUE,LOS ANGELES,CA,90022,0286,"500 FAIR VIEW AVENUE
LOS ANGELES, CA 90022
(34.053313, -118.220551)",1,HISPANIC,Y,,M,HISPANIC,49,21,SEB,SPECIAL ENFORCEMENT BUR,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.053313,-118.220551
1000498,HIT SHOOTING INCIDENT,09/17/2014 10:49:00 PM,COMPTON BOULEVARD AND PAULSON AVENUE,COMPTON,CA,90220,2814,"COMPTON BOULEVARD AND PAULSON AVENUE
COMPTON, CA 90220
(33.89590898200339473538, -118.23563101878301881298)",1,HISPANIC,,Y,F,HISPANIC,39,13,OSS,OPERATION SAFE STREETS BUREAU,N,,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.895908982003395,-118.235631018783019
1000462,HIT SHOOTING INCIDENT,10/06/2013 03:30:00 PM,6000 BLOCK OF WEST VENICE BLVD,LOS ANGELES,CA,90034,6893,"6000 BLOCK OF WEST VENICE BLVD
LOS ANGELES, CA 90034
(34.006282, -118.428977)",1,BLACK,Y,,M,HISPANIC,47,23,TSB,TRANSIT SERVICES BUREAU,N,,LEGALLY JUSTIFIED,Y,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.006282,-118.428977
1000294,NON-HIT SHOOTING INCIDENT,04/02/2010 09:50:00 PM,800 S. MAYO STREET,COMPTON,CA,90221,2843,"800 S. MAYO STREET
COMPTON, CA 90221
(33.889609, -118.212193)",1,HISPANIC,,,M,HISPANIC,39,13,OSS,OPERATION SAFE STREETS BUREAU,N,,,N,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.889609,-118.212193
1000431,HIT SHOOTING INCIDENT,01/10/2013 04:08:00 PM,HOLBROOK STREET AND  MORRILL AVENUE,WHITTIER,CA,90606,1575,"HOLBROOK STREET AND MORRILL AVENUE
WHITTIER, CA 90606
(33.98877699757225988157, -118.0665290074180462064)",1,HISPANIC,Y,,M,HISPANIC,38,14,PRV,PICO RIVERA STN,N,,LEGALLY JUSTIFIED,Y,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.98877699757226,-118.066529007418046
1000342,HIT SHOOTING INCIDENT,02/26/2011 03:53:00 AM,4500 EAST THIRD STREET,LOS ANGELES,CA,90063,0283,"4500 EAST THIRD STREET
LOS ANGELES, CA 90063
(34.03324, -118.169147)",1,HISPANIC,,Y,M,HISPANIC,43,22,PRV,PICO RIVERA STN,N,,LEGALLY JUSTIFIED,N,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.03324,-118.169147
1000425,HIT SHOOTING INCIDENT,11/09/2012 10:12:00 AM,45900 DESERT SPRINGS ROAD,LANCASTER,CA,93534,0641,"45900 DESERT SPRINGS ROAD
LANCASTER, CA 93534
(34.716759, -118.147769)",1,WHITE,Y,,M,WHITE,58,27,SCV,SANTA CLARITA VALLEY STN,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.716759,-118.147769
1000336,HIT SHOOTING INCIDENT,01/08/2011 12:47:00 AM,8000 WADSWORTH AVENUE,LOS ANGELES,CA,90001,2199,"8000 WADSWORTH AVENUE
LOS ANGELES, CA 90001
(33.966244, -118.25858)",1,BLACK,Y,,M,HISPANIC,42,22,CEN,CENTURY STN,Y,4,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.966244,-118.25858
1000433,NON-HIT SHOOTING INCIDENT,03/14/2013 12:10:00 PM,1100 ORANGE GROVE BLVD,PASADENA,CA,91105,3199,"1100 ORANGE GROVE BLVD
PASADENA, CA 91105
(34.126946, -118.158199)",2,"BLACK,BLACK",,,M,WHITE,40,18,OSS,OPERATION SAFE STREETS BUREAU,N,,PENDING,,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.126946,-118.158199
1000292,HIT SHOOTING INCIDENT,03/09/2010 11:32:00 AM,6300 BEAR AVENUE,BELL GARDENS,CA,90201,3199,"6300 BEAR AVENUE
BELL GARDENS, CA 90201
(33.980614, -118.197058)",1,HISPANIC,,Y,M,HISPANIC,38,15,SEB,SPECIAL ENFORCEMENT BUR,Y,2,LEGALLY JUSTIFIED,N,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.980614,-118.197058
1000425,HIT SHOOTING INCIDENT,11/09/2012 10:12:00 AM,45900 DESERT SPRINGS ROAD,LANCASTER,CA,93534,0641,"45900 DESERT SPRINGS ROAD
LANCASTER, CA 93534
(34.716759, -118.147769)",1,WHITE,Y,,M,WHITE,45,24,SCV,SANTA CLARITA VALLEY STN,N,,LEGALLY JUSTIFIED,N,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.716759,-118.147769
1000652,HIT SHOOTING INCIDENT,09/28/2015 03:53:00 PM,1100 S. ATLANTIC DRIVE,COMPTON,CA,90220,2847,"1100 S. ATLANTIC DRIVE
COMPTON, CA 90220
(33.886496, -118.19772)",1,HISPANIC,,Y,M,WHITE,31,9,COM,COMPTON STN,N,,,,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.886496,-118.19772
