LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
36TH STATE ASSEMBLY,N,150080,POLLING PLACE,11842,2625,183,150,522,4258,1193,2369,102
36TH STATE ASSEMBLY,N,0,VBM PORTION,12731,2597,220,168,567,4608,1262,2428,107
36TH STATE ASSEMBLY,N,150080,TOTAL,24568,5222,403,318,1089,8866,2455,4797,209
38TH STATE ASSEMBLY,N,145230,POLLING PLACE,12730,2713,238,152,814,3053,1005,4031,160
38TH STATE ASSEMBLY,N,0,VBM PORTION,16040,3435,293,204,1034,3677,1363,4666,207
38TH STATE ASSEMBLY,N,145230,TOTAL,28768,6148,531,356,1848,6730,2368,8697,367
39TH STATE ASSEMBLY,N,6,POLLING PLACE,0,0,0,0,0,0,0,0,0
39TH STATE ASSEMBLY,N,0,VBM PORTION,4,0,0,0,0,0,0,4,0
39TH STATE ASSEMBLY,N,6,TOTAL,4,0,0,0,0,0,0,4,0
45TH STATE ASSEMBLY,N,2,POLLING PLACE,0,0,0,0,0,0,0,0,0
45TH STATE ASSEMBLY,N,0,VBM PORTION,2,0,0,0,0,1,0,1,0
45TH STATE ASSEMBLY,N,2,TOTAL,2,0,0,0,0,1,0,1,0
