LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN PAUL DRAYER,DAWN DUNTON,
BELLFLOWER,0750011A,211,292,N,1111,POLLING PLACE,219,105,83,
BELLFLOWER,0750011A,211,292,N,,VBM PORTION,57,30,17,
BELLFLOWER,0750011A,211,292,N,1111,TOTAL,276,135,100,
BELLFLOWER,0750012A,212,284,N,571,POLLING PLACE,62,38,16,
BELLFLOWER,0750012A,212,284,N,,VBM PORTION,23,12,6,
BELLFLOWER,0750012A,212,284,N,571,TOTAL,85,50,22,
BELLFLOWER,0750014A,215,292,N,955,POLLING PLACE,134,77,43,
BELLFLOWER,0750014A,215,292,N,,VBM PORTION,46,28,14,
BELLFLOWER,0750014A,215,292,N,955,TOTAL,180,105,57,
BELLFLOWER,0750016A,216,292,N,1146,POLLING PLACE,141,73,56,
BELLFLOWER,0750016A,216,292,N,,VBM PORTION,70,33,31,
BELLFLOWER,0750016A,216,292,N,1146,TOTAL,211,106,87,
BELLFLOWER,0750017B,217,292,N,1153,POLLING PLACE,100,56,31,
BELLFLOWER,0750017B,217,292,N,,VBM PORTION,42,20,11,
BELLFLOWER,0750017B,217,292,N,1153,TOTAL,142,76,42,
BELLFLOWER,0750019A,218,292,N,1077,POLLING PLACE,137,74,45,
BELLFLOWER,0750019A,218,292,N,,VBM PORTION,51,28,18,
BELLFLOWER,0750019A,218,292,N,1077,TOTAL,188,102,63,
BELLFLOWER,0750022A,220,284,N,1011,POLLING PLACE,204,69,111,
BELLFLOWER,0750022A,220,284,N,,VBM PORTION,66,26,31,
BELLFLOWER,0750022A,220,284,N,1011,TOTAL,270,95,142,
BELLFLOWER,0750024A,221,293,N,1039,POLLING PLACE,167,96,52,
BELLFLOWER,0750024A,221,293,N,,VBM PORTION,54,35,16,
BELLFLOWER,0750024A,221,293,N,1039,TOTAL,221,131,68,
BELLFLOWER,0750027A,223,284,N,1026,POLLING PLACE,121,66,37,
BELLFLOWER,0750027A,223,284,N,,VBM PORTION,58,27,19,
BELLFLOWER,0750027A,223,284,N,1026,TOTAL,179,93,56,
BELLFLOWER,0750028A,224,292,N,1021,POLLING PLACE,165,94,50,
BELLFLOWER,0750028A,224,292,N,,VBM PORTION,60,33,23,
BELLFLOWER,0750028A,224,292,N,1021,TOTAL,225,127,73,
BELLFLOWER,0750030A,226,284,N,1060,POLLING PLACE,192,96,61,
BELLFLOWER,0750030A,226,284,N,,VBM PORTION,72,37,28,
BELLFLOWER,0750030A,226,284,N,1060,TOTAL,264,133,89,
BELLFLOWER,0750032A,228,284,N,827,POLLING PLACE,112,67,34,
BELLFLOWER,0750032A,228,284,N,,VBM PORTION,30,14,14,
BELLFLOWER,0750032A,228,284,N,827,TOTAL,142,81,48,
BELLFLOWER,0750032C,229,284,N,693,POLLING PLACE,100,55,34,
BELLFLOWER,0750032C,229,284,N,,VBM PORTION,37,23,6,
BELLFLOWER,0750032C,229,284,N,693,TOTAL,137,78,40,
BELLFLOWER,0750033A,230,284,N,935,POLLING PLACE,192,80,84,
BELLFLOWER,0750033A,230,284,N,,VBM PORTION,42,18,22,
BELLFLOWER,0750033A,230,284,N,935,TOTAL,234,98,106,
BELLFLOWER,0750037B,234,292,N,548,POLLING PLACE,105,58,32,
BELLFLOWER,0750037B,234,292,N,,VBM PORTION,31,14,12,
BELLFLOWER,0750037B,234,292,N,548,TOTAL,136,72,44,
BELLFLOWER,0750042A,238,293,N,1058,POLLING PLACE,217,132,60,
BELLFLOWER,0750042A,238,293,N,,VBM PORTION,36,13,14,
BELLFLOWER,0750042A,238,293,N,1058,TOTAL,253,145,74,
BELLFLOWER,0750044A,240,292,N,942,POLLING PLACE,172,77,72,
BELLFLOWER,0750044A,240,292,N,,VBM PORTION,42,19,19,
BELLFLOWER,0750044A,240,292,N,942,TOTAL,214,96,91,
BELLFLOWER,0750045A,241,292,N,702,POLLING PLACE,122,61,51,
BELLFLOWER,0750045A,241,292,N,,VBM PORTION,31,25,5,
BELLFLOWER,0750045A,241,292,N,702,TOTAL,153,86,56,
BELLFLOWER,0750048A,242,284,N,999,POLLING PLACE,149,71,57,
BELLFLOWER,0750048A,242,284,N,,VBM PORTION,77,34,21,
BELLFLOWER,0750048A,242,284,N,999,TOTAL,226,105,78,
BELLFLOWER,0750054B,243,284,N,1085,POLLING PLACE,105,53,40,
