LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS,
BALLOT GROUP 333,9990333A,8333,333,N,,POLLING PLACE,,,,
BALLOT GROUP 333,9990333A,8333,333,N,,VBM PORTION,,,,
BALLOT GROUP 333,9990333A,8333,333,N,,TOTAL,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,POLLING PLACE,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,VBM PORTION,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,TOTAL,,,,
BALLOT GROUP 335,9990335A,8335,335,N,,POLLING PLACE,,,,
BALLOT GROUP 335,9990335A,8335,335,N,,VBM PORTION,,,,
BALLOT GROUP 335,9990335A,8335,335,N,,TOTAL,,,,
BALLOT GROUP 336,9990336A,8336,336,N,,POLLING PLACE,,,,
BALLOT GROUP 336,9990336A,8336,336,N,,VBM PORTION,,,,
BALLOT GROUP 336,9990336A,8336,336,N,,TOTAL,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,POLLING PLACE,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,VBM PORTION,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,TOTAL,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,POLLING PLACE,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,VBM PORTION,,,,
BALLOT GROUP 338,9990338A,8338,338,N,,TOTAL,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,POLLING PLACE,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,VBM PORTION,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,TOTAL,,,,
BALLOT GROUP 358,9990358A,8358,358,N,,POLLING PLACE,,,,
BALLOT GROUP 358,9990358A,8358,358,N,,VBM PORTION,,,,
BALLOT GROUP 358,9990358A,8358,358,N,,TOTAL,,,,
BALLOT GROUP 360,9990360A,8360,360,N,,POLLING PLACE,,,,
BALLOT GROUP 360,9990360A,8360,360,N,,VBM PORTION,,,,
BALLOT GROUP 360,9990360A,8360,360,N,,TOTAL,,,,
BALLOT GROUP 361,9990361A,8361,361,N,,POLLING PLACE,,,,
BALLOT GROUP 361,9990361A,8361,361,N,,VBM PORTION,,,,
BALLOT GROUP 361,9990361A,8361,361,N,,TOTAL,,,,
BALLOT GROUP 362,9990362A,8362,362,N,,POLLING PLACE,,,,
BALLOT GROUP 362,9990362A,8362,362,N,,VBM PORTION,,,,
BALLOT GROUP 362,9990362A,8362,362,N,,TOTAL,,,,
BALLOT GROUP 381,9990381A,8381,381,N,,POLLING PLACE,,,,
BALLOT GROUP 381,9990381A,8381,381,N,,VBM PORTION,,,,
BALLOT GROUP 381,9990381A,8381,381,N,,TOTAL,,,,
BALLOT GROUP 382,9990382A,8382,382,N,,POLLING PLACE,,,,
BALLOT GROUP 382,9990382A,8382,382,N,,VBM PORTION,,,,
BALLOT GROUP 382,9990382A,8382,382,N,,TOTAL,,,,
BALLOT GROUP 383,9990383A,8383,383,N,,POLLING PLACE,,,,
BALLOT GROUP 383,9990383A,8383,383,N,,VBM PORTION,,,,
BALLOT GROUP 383,9990383A,8383,383,N,,TOTAL,,,,
BALLOT GROUP 385,9990385A,8385,385,N,,POLLING PLACE,,,,
BALLOT GROUP 385,9990385A,8385,385,N,,VBM PORTION,,,,
BALLOT GROUP 385,9990385A,8385,385,N,,TOTAL,,,,
BALLOT GROUP 386,9990386A,8386,386,N,,POLLING PLACE,,,,
BALLOT GROUP 386,9990386A,8386,386,N,,VBM PORTION,,,,
BALLOT GROUP 386,9990386A,8386,386,N,,TOTAL,,,,
BALLOT GROUP 387,9990387A,8387,387,N,,POLLING PLACE,,,,
BALLOT GROUP 387,9990387A,8387,387,N,,VBM PORTION,,,,
BALLOT GROUP 387,9990387A,8387,387,N,,TOTAL,,,,
