LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHANIEL TSAI,CHRIS HOLDEN,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,23,124,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,6,32,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,29,156,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,49,112,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,42,51,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,91,163,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,36,205,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,5,51,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,41,256,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,110,211,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,63,85,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,173,296,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,76,132,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,45,67,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,121,199,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,12,174,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,10,50,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,22,224,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,23,164,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,10,57,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,33,221,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,22,168,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,15,66,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,37,234,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,54,126,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,25,60,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,79,186,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,22,138,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,10,46,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,32,184,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,40,207,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,21,76,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,61,283,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,16,154,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,7,34,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,23,188,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,13,121,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,7,30,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,20,151,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,30,143,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,5,26,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,35,169,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,77,175,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,50,67,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,127,242,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,33,192,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,6,45,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,39,237,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,82,299,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,50,122,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,132,421,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,68,144,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,31,76,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,99,220,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,105,273,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,45,72,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,150,345,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,117,226,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,44,86,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,161,312,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,96,177,
