LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PETER CHOI,KEVIN DE LEON,
LOS ANGELES,9005124B,4414,98,N,,VBM PORTION,46,14,22,
LOS ANGELES,9005124B,4414,98,N,1074,TOTAL,285,109,148,
LOS ANGELES,9005400A,4450,214,N,1218,POLLING PLACE,194,56,116,
LOS ANGELES,9005400A,4450,214,N,,VBM PORTION,64,23,29,
LOS ANGELES,9005400A,4450,214,N,1218,TOTAL,258,79,145,
LOS ANGELES,9005401A,4451,214,N,1025,POLLING PLACE,136,43,78,
LOS ANGELES,9005401A,4451,214,N,,VBM PORTION,42,20,15,
LOS ANGELES,9005401A,4451,214,N,1025,TOTAL,178,63,93,
LOS ANGELES,9005405A,4452,214,N,507,POLLING PLACE,94,40,44,
LOS ANGELES,9005405A,4452,214,N,,VBM PORTION,22,4,16,
LOS ANGELES,9005405A,4452,214,N,507,TOTAL,116,44,60,
LOS ANGELES,9005537A,4461,200,N,1173,POLLING PLACE,250,64,177,
LOS ANGELES,9005537A,4461,200,N,,VBM PORTION,55,7,40,
LOS ANGELES,9005537A,4461,200,N,1173,TOTAL,305,71,217,
LOS ANGELES,9005538A,4462,200,N,966,POLLING PLACE,194,29,150,
LOS ANGELES,9005538A,4462,200,N,,VBM PORTION,15,1,13,
LOS ANGELES,9005538A,4462,200,N,966,TOTAL,209,30,163,
LOS ANGELES,9005541A,4463,198,N,1158,POLLING PLACE,267,79,159,
LOS ANGELES,9005541A,4463,198,N,,VBM PORTION,55,17,27,
LOS ANGELES,9005541A,4463,198,N,1158,TOTAL,322,96,186,
LOS ANGELES,9005543C,4464,200,N,1081,POLLING PLACE,138,53,72,
LOS ANGELES,9005543C,4464,200,N,,VBM PORTION,64,21,35,
LOS ANGELES,9005543C,4464,200,N,1081,TOTAL,202,74,107,
LOS ANGELES,9005769B,4476,214,N,1131,POLLING PLACE,138,40,82,
LOS ANGELES,9005769B,4476,214,N,,VBM PORTION,69,34,27,
LOS ANGELES,9005769B,4476,214,N,1131,TOTAL,207,74,109,
LOS ANGELES,9006098C,4496,198,N,1187,POLLING PLACE,248,64,159,
LOS ANGELES,9006098C,4496,198,N,,VBM PORTION,46,9,33,
LOS ANGELES,9006098C,4496,198,N,1187,TOTAL,294,73,192,
LOS ANGELES,9006302A,4532,198,N,835,POLLING PLACE,200,54,128,
LOS ANGELES,9006302A,4532,198,N,,VBM PORTION,51,22,27,
LOS ANGELES,9006302A,4532,198,N,835,TOTAL,251,76,155,
LOS ANGELES,9006305A,4533,99,N,799,POLLING PLACE,156,59,77,
LOS ANGELES,9006305A,4533,99,N,,VBM PORTION,46,12,24,
LOS ANGELES,9006305A,4533,99,N,799,TOTAL,202,71,101,
LOS ANGELES,9006306C,4534,99,N,771,POLLING PLACE,132,48,66,
LOS ANGELES,9006306C,4534,99,N,,VBM PORTION,61,20,37,
LOS ANGELES,9006306C,4534,99,N,771,TOTAL,193,68,103,
LOS ANGELES,9006307A,6339,198,Y,18,POLLING PLACE,,,,
LOS ANGELES,9006307A,6339,198,Y,,VBM PORTION,,,,
LOS ANGELES,9006307A,6339,198,Y,18,TOTAL,,,,
LOS ANGELES,9006313A,4535,200,N,966,POLLING PLACE,240,86,126,
LOS ANGELES,9006313A,4535,200,N,,VBM PORTION,85,18,48,
LOS ANGELES,9006313A,4535,200,N,966,TOTAL,325,104,174,
LOS ANGELES,9006315A,4536,200,N,1192,POLLING PLACE,300,87,178,
LOS ANGELES,9006315A,4536,200,N,,VBM PORTION,92,32,41,
LOS ANGELES,9006315A,4536,200,N,1192,TOTAL,392,119,219,
LOS ANGELES,9006317A,4537,200,N,925,POLLING PLACE,171,63,97,
LOS ANGELES,9006317A,4537,200,N,,VBM PORTION,73,28,34,
LOS ANGELES,9006317A,4537,200,N,925,TOTAL,244,91,131,
LOS ANGELES,9006319A,4538,200,N,950,POLLING PLACE,163,57,83,
LOS ANGELES,9006319A,4538,200,N,,VBM PORTION,55,23,27,
LOS ANGELES,9006319A,4538,200,N,950,TOTAL,218,80,110,
LOS ANGELES,9006320D,4539,200,N,1115,POLLING PLACE,203,55,122,
LOS ANGELES,9006320D,4539,200,N,,VBM PORTION,68,25,32,
LOS ANGELES,9006320D,4539,200,N,1115,TOTAL,271,80,154,
LOS ANGELES,9006324A,4540,200,N,1165,POLLING PLACE,208,64,105,
LOS ANGELES,9006324A,4540,200,N,,VBM PORTION,90,22,52,
LOS ANGELES,9006324A,4540,200,N,1165,TOTAL,298,86,157,
LOS ANGELES,9006334A,4541,200,N,982,POLLING PLACE,275,95,147,
LOS ANGELES,9006334A,4541,200,N,,VBM PORTION,57,14,34,
LOS ANGELES,9006334A,4541,200,N,982,TOTAL,332,109,181,
LOS ANGELES,9006335A,4542,200,N,942,POLLING PLACE,264,85,136,
LOS ANGELES,9006335A,4542,200,N,,VBM PORTION,63,18,27,
LOS ANGELES,9006335A,4542,200,N,942,TOTAL,327,103,163,
LOS ANGELES,9006337A,4543,200,N,888,POLLING PLACE,275,91,147,
LOS ANGELES,9006337A,4543,200,N,,VBM PORTION,77,29,32,
LOS ANGELES,9006337A,4543,200,N,888,TOTAL,352,120,179,
LOS ANGELES,9007016A,4611,214,N,1388,POLLING PLACE,189,73,87,
LOS ANGELES,9007016A,4611,214,N,,VBM PORTION,140,66,46,
LOS ANGELES,9007016A,4611,214,N,1388,TOTAL,329,139,133,
LOS ANGELES,9007107A,4613,214,N,929,POLLING PLACE,119,31,75,
LOS ANGELES,9007107A,4613,214,N,,VBM PORTION,50,11,34,
LOS ANGELES,9007107A,4613,214,N,929,TOTAL,169,42,109,
LOS ANGELES,9007114A,4614,214,N,977,POLLING PLACE,190,42,136,
LOS ANGELES,9007114A,4614,214,N,,VBM PORTION,23,5,13,
LOS ANGELES,9007114A,4614,214,N,977,TOTAL,213,47,149,
LOS ANGELES,9007434A,4640,198,N,1025,POLLING PLACE,203,62,116,
LOS ANGELES,9007434A,4640,198,N,,VBM PORTION,24,5,17,
LOS ANGELES,9007434A,4640,198,N,1025,TOTAL,227,67,133,
BALLOT GROUP 98,9990098A,8098,98,N,,POLLING PLACE,,,,
BALLOT GROUP 98,9990098A,8098,98,N,,VBM PORTION,,,,
BALLOT GROUP 98,9990098A,8098,98,N,,TOTAL,,,,
BALLOT GROUP 99,9990099A,8099,99,N,,POLLING PLACE,,,,
BALLOT GROUP 99,9990099A,8099,99,N,,VBM PORTION,,,,
BALLOT GROUP 99,9990099A,8099,99,N,,TOTAL,,,,
BALLOT GROUP 177,9990177A,8177,177,N,,POLLING PLACE,,,,
BALLOT GROUP 177,9990177A,8177,177,N,,VBM PORTION,,,,
BALLOT GROUP 177,9990177A,8177,177,N,,TOTAL,,,,
BALLOT GROUP 178,9990178A,8178,178,N,,POLLING PLACE,,,,
BALLOT GROUP 178,9990178A,8178,178,N,,VBM PORTION,,,,
BALLOT GROUP 178,9990178A,8178,178,N,,TOTAL,,,,
BALLOT GROUP 197,9990197A,8197,197,N,,POLLING PLACE,,,,
BALLOT GROUP 197,9990197A,8197,197,N,,VBM PORTION,,,,
BALLOT GROUP 197,9990197A,8197,197,N,,TOTAL,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,POLLING PLACE,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,VBM PORTION,,,,
BALLOT GROUP 198,9990198A,8198,198,N,,TOTAL,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,POLLING PLACE,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,VBM PORTION,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,TOTAL,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,POLLING PLACE,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,VBM PORTION,,,,
BALLOT GROUP 200,9990200A,8200,200,N,,TOTAL,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,POLLING PLACE,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,VBM PORTION,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,TOTAL,,,,
BALLOT GROUP 210,9990210A,8210,210,N,,POLLING PLACE,,,,
BALLOT GROUP 210,9990210A,8210,210,N,,VBM PORTION,,,,
BALLOT GROUP 210,9990210A,8210,210,N,,TOTAL,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,POLLING PLACE,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,VBM PORTION,,,,
BALLOT GROUP 211,9990211A,8211,211,N,,TOTAL,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,POLLING PLACE,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,VBM PORTION,,,,
BALLOT GROUP 212,9990212A,8212,212,N,,TOTAL,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,POLLING PLACE,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,VBM PORTION,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,TOTAL,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,POLLING PLACE,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,VBM PORTION,,,,
BALLOT GROUP 214,9990214A,8214,214,N,,TOTAL,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,POLLING PLACE,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,VBM PORTION,,,,
BALLOT GROUP 215,9990215A,8215,215,N,,TOTAL,,,,
