LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN CHIANG,GREG CONLON,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,73,57,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,217,210,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,102,87,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,47,36,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,149,123,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,143,117,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,60,71,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,203,188,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,159,109,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,52,56,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,211,165,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,162,142,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,67,91,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,229,233,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,141,132,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,61,71,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,202,203,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,80,189,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,29,81,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,109,270,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,43,131,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,25,47,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,68,178,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,25,100,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,19,40,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,44,140,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,6,14,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,6,14,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,2,4,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,2,4,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,2,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,2,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,152,48,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,46,21,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,198,69,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,99,24,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,34,12,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,133,36,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,164,70,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,61,36,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,225,106,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,128,48,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,50,10,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,178,58,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,125,48,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,49,6,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,174,54,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,186,67,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,83,27,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,269,94,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,127,32,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,48,20,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,175,52,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,97,40,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,41,9,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,138,49,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,119,74,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,49,22,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,168,96,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,97,66,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,33,31,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,130,97,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,136,36,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,38,8,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,174,44,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,107,45,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,84,23,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,191,68,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,138,49,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,33,23,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,171,72,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,163,49,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,49,25,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,212,74,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,63,16,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,20,13,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,83,29,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,91,23,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,57,10,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,148,33,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,126,28,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,54,16,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,180,44,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,146,55,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,63,20,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,209,75,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,3,,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,3,,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,93,39,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,14,7,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,107,46,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,151,44,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,55,16,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,206,60,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,90,25,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,65,12,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,155,37,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,82,30,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,24,10,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,106,40,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,84,30,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,43,10,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,127,40,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,89,35,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,45,15,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,134,50,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,58,11,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,16,11,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,74,22,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,59,35,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,41,7,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,100,42,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,134,41,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,78,17,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,212,58,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,124,26,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,62,20,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,186,46,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,148,33,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,27,24,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,175,57,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,123,46,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,30,10,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,153,56,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,103,28,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,33,10,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,136,38,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,44,13,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,27,6,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,71,19,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,191,42,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,32,11,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,223,53,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,127,42,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,42,31,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,169,73,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,153,76,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,52,28,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,205,104,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,85,23,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,64,72,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,149,95,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,89,59,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,44,32,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,133,91,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,56,22,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,31,12,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,87,34,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,123,21,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,32,8,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,155,29,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,114,51,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,52,42,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,166,93,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,197,44,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,47,5,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,244,49,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,204,114,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,82,66,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,286,180,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,130,60,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,70,45,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,200,105,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,178,17,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,52,7,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,230,24,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,163,20,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,54,10,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,217,30,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,159,23,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,70,16,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,229,39,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,123,57,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,60,24,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,183,81,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,145,21,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,43,11,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,188,32,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,210,37,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,78,20,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,288,57,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,150,18,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,38,4,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,188,22,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,117,16,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,31,6,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,148,22,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,142,35,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,25,5,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,167,40,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,172,82,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,69,47,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,241,129,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,186,36,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,45,6,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,231,42,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,278,93,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,125,51,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,403,144,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,151,64,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,75,40,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,226,104,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,283,106,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,81,38,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,364,144,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,219,124,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,83,51,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,302,175,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,162,97,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,50,44,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,212,141,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,93,55,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,28,18,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,121,73,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,246,67,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,89,34,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,335,101,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,268,44,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,106,27,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,374,71,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,149,28,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,47,12,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,196,40,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,255,51,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,111,28,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,366,79,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,254,54,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,73,19,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,327,73,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,301,48,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,94,18,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,395,66,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,52,116,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,26,77,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,78,193,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,101,104,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,55,72,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,156,176,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,82,89,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,68,92,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,150,181,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,73,93,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,45,86,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,118,179,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,142,155,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,63,75,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,205,230,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,116,83,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,98,86,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,214,169,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,110,114,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,52,72,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,162,186,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,78,130,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,67,133,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,145,263,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,89,87,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,78,56,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,167,143,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,94,77,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,71,64,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,165,141,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,94,103,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,52,84,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,146,187,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,99,74,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,51,54,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,150,128,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,96,92,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,62,48,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,158,140,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,82,82,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,70,34,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,152,116,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,97,98,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,52,54,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,149,152,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,78,84,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,32,24,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,110,108,
