LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,C J SALGADO,ELBA ROMO,MARIO GOMEZ,J GARDEA-STINNETT,ARTURO CHACON,ANTHONY FELIX JR,
LOS ANGELES,9001910C,6288,213,Y,,TOTAL,,,,,,,,
LOS ANGELES,9002843C,6331,199,Y,,POLLING PLACE,,,,,,,,
LOS ANGELES,9002843C,6331,199,Y,,VBM PORTION,,,,,,,,
LOS ANGELES,9002843C,6331,199,Y,,TOTAL,,,,,,,,
LOS ANGELES,9002880A,6335,218,Y,,POLLING PLACE,,,,,,,,
LOS ANGELES,9002880A,6335,218,Y,,VBM PORTION,,,,,,,,
LOS ANGELES,9002880A,6335,218,Y,,TOTAL,,,,,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 148,9990148A,8148,148,N,,TOTAL,,,,,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 152,9990152A,8152,152,N,,TOTAL,,,,,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 199,9990199A,8199,199,N,,TOTAL,,,,,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 201,9990201A,8201,201,N,,TOTAL,,,,,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 213,9990213A,8213,213,N,,TOTAL,,,,,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 218,9990218A,8218,218,N,,TOTAL,,,,,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 282,9990282A,8282,282,N,,TOTAL,,,,,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 289,9990289A,8289,289,N,,TOTAL,,,,,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 314,9990314A,8314,314,N,,TOTAL,,,,,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 318,9990318A,8318,318,N,,TOTAL,,,,,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,TOTAL,,,,,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,TOTAL,,,,,,,,
