LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DIANE L LAWSON,CRISTINA CARRIZOSA,NANCY MATARRITA,
POMONA,5250017A,2105,204,N,458,POLLING PLACE,60,10,27,18,
POMONA,5250017A,2105,204,N,,VBM PORTION,10,1,5,2,
POMONA,5250017A,2105,204,N,458,TOTAL,70,11,32,20,
POMONA,5250049A,2122,204,N,1026,POLLING PLACE,136,25,52,50,
POMONA,5250049A,2122,204,N,,VBM PORTION,35,11,19,3,
POMONA,5250049A,2122,204,N,1026,TOTAL,171,36,71,53,
POMONA,5250069A,2132,204,N,1094,POLLING PLACE,139,12,72,46,
POMONA,5250069A,2132,204,N,,VBM PORTION,45,4,16,14,
POMONA,5250069A,2132,204,N,1094,TOTAL,184,16,88,60,
POMONA,5250070A,2133,204,N,1160,POLLING PLACE,178,18,77,64,
POMONA,5250070A,2133,204,N,,VBM PORTION,39,3,20,14,
POMONA,5250070A,2133,204,N,1160,TOTAL,217,21,97,78,
POMONA,5250076A,2135,204,N,946,POLLING PLACE,136,27,51,48,
POMONA,5250076A,2135,204,N,,VBM PORTION,56,7,30,16,
POMONA,5250076A,2135,204,N,946,TOTAL,192,34,81,64,
POMONA,5250077A,2136,204,N,1068,POLLING PLACE,180,41,83,45,
POMONA,5250077A,2136,204,N,,VBM PORTION,38,9,15,10,
POMONA,5250077A,2136,204,N,1068,TOTAL,218,50,98,55,
POMONA,5250096A,2139,204,N,1126,POLLING PLACE,136,22,67,40,
POMONA,5250096A,2139,204,N,,VBM PORTION,44,7,23,11,
POMONA,5250096A,2139,204,N,1126,TOTAL,180,29,90,51,
BALLOT GROUP 204,9990204A,8204,204,N,,POLLING PLACE,,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,VBM PORTION,,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,TOTAL,,,,,
