LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,TOM LACKEY,
SAUGUS,6300099A,6236,20,Y,,VBM PORTION,5,2,3,
SAUGUS,6300099A,6236,20,Y,57,TOTAL,5,2,3,
SAUGUS,6300457A,6237,14,Y,51,POLLING PLACE,,,,
SAUGUS,6300457A,6237,14,Y,,VBM PORTION,9,5,4,
SAUGUS,6300457A,6237,14,Y,51,TOTAL,9,5,4,
WILSONA,7900002A,6269,3,Y,,POLLING PLACE,,,,
WILSONA,7900002A,6269,3,Y,,VBM PORTION,,,,
WILSONA,7900002A,6269,3,Y,,TOTAL,,,,
WILSONA,7900005A,2980,13,N,999,POLLING PLACE,163,75,83,
WILSONA,7900005A,2980,13,N,,VBM PORTION,64,28,35,
WILSONA,7900005A,2980,13,N,999,TOTAL,227,103,118,
WILSONA,7900006A,2981,13,N,875,POLLING PLACE,141,58,79,
WILSONA,7900006A,2981,13,N,,VBM PORTION,47,25,20,
WILSONA,7900006A,2981,13,N,875,TOTAL,188,83,99,
WILSONA,7900008A,2982,13,N,1125,POLLING PLACE,140,59,76,
WILSONA,7900008A,2982,13,N,,VBM PORTION,89,42,40,
WILSONA,7900008A,2982,13,N,1125,TOTAL,229,101,116,
WILSONA,7900009A,2983,13,N,681,POLLING PLACE,90,44,42,
WILSONA,7900009A,2983,13,N,,VBM PORTION,35,12,21,
WILSONA,7900009A,2983,13,N,681,TOTAL,125,56,63,
WILSONA,7900010A,2984,13,N,896,POLLING PLACE,122,57,63,
WILSONA,7900010A,2984,13,N,,VBM PORTION,45,17,26,
WILSONA,7900010A,2984,13,N,896,TOTAL,167,74,89,
WILSONA,7900011A,2985,13,N,884,POLLING PLACE,177,75,98,
WILSONA,7900011A,2985,13,N,,VBM PORTION,41,32,9,
WILSONA,7900011A,2985,13,N,884,TOTAL,218,107,107,
BALLOT GROUP 1,9990001A,8001,1,N,,POLLING PLACE,,,,
BALLOT GROUP 1,9990001A,8001,1,N,,VBM PORTION,,,,
BALLOT GROUP 1,9990001A,8001,1,N,,TOTAL,,,,
BALLOT GROUP 2,9990002A,8002,2,N,,POLLING PLACE,,,,
BALLOT GROUP 2,9990002A,8002,2,N,,VBM PORTION,,,,
BALLOT GROUP 2,9990002A,8002,2,N,,TOTAL,,,,
BALLOT GROUP 3,9990003A,8003,3,N,,POLLING PLACE,,,,
BALLOT GROUP 3,9990003A,8003,3,N,,VBM PORTION,,,,
BALLOT GROUP 3,9990003A,8003,3,N,,TOTAL,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,POLLING PLACE,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,VBM PORTION,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,TOTAL,,,,
BALLOT GROUP 5,9990005A,8005,5,N,,POLLING PLACE,,,,
BALLOT GROUP 5,9990005A,8005,5,N,,VBM PORTION,,,,
BALLOT GROUP 5,9990005A,8005,5,N,,TOTAL,,,,
BALLOT GROUP 6,9990006A,8006,6,N,,POLLING PLACE,,,,
BALLOT GROUP 6,9990006A,8006,6,N,,VBM PORTION,,,,
BALLOT GROUP 6,9990006A,8006,6,N,,TOTAL,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,POLLING PLACE,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,VBM PORTION,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,TOTAL,,,,
BALLOT GROUP 8,9990008A,8008,8,N,,POLLING PLACE,,,,
BALLOT GROUP 8,9990008A,8008,8,N,,VBM PORTION,,,,
BALLOT GROUP 8,9990008A,8008,8,N,,TOTAL,,,,
BALLOT GROUP 9,9990009A,8009,9,N,,POLLING PLACE,,,,
BALLOT GROUP 9,9990009A,8009,9,N,,VBM PORTION,,,,
BALLOT GROUP 9,9990009A,8009,9,N,,TOTAL,,,,
BALLOT GROUP 10,9990010A,8010,10,N,,POLLING PLACE,,,,
BALLOT GROUP 10,9990010A,8010,10,N,,VBM PORTION,,,,
BALLOT GROUP 10,9990010A,8010,10,N,,TOTAL,,,,
BALLOT GROUP 11,9990011A,8011,11,N,,POLLING PLACE,,,,
BALLOT GROUP 11,9990011A,8011,11,N,,VBM PORTION,,,,
BALLOT GROUP 11,9990011A,8011,11,N,,TOTAL,,,,
BALLOT GROUP 12,9990012A,8012,12,N,,POLLING PLACE,,,,
BALLOT GROUP 12,9990012A,8012,12,N,,VBM PORTION,,,,
BALLOT GROUP 12,9990012A,8012,12,N,,TOTAL,,,,
BALLOT GROUP 13,9990013A,8013,13,N,,POLLING PLACE,,,,
BALLOT GROUP 13,9990013A,8013,13,N,,VBM PORTION,,,,
BALLOT GROUP 13,9990013A,8013,13,N,,TOTAL,,,,
BALLOT GROUP 14,9990014A,8014,14,N,,POLLING PLACE,,,,
BALLOT GROUP 14,9990014A,8014,14,N,,VBM PORTION,,,,
BALLOT GROUP 14,9990014A,8014,14,N,,TOTAL,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,POLLING PLACE,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,VBM PORTION,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,TOTAL,,,,
BALLOT GROUP 16,9990016A,8016,16,N,,POLLING PLACE,,,,
BALLOT GROUP 16,9990016A,8016,16,N,,VBM PORTION,,,,
BALLOT GROUP 16,9990016A,8016,16,N,,TOTAL,,,,
BALLOT GROUP 17,9990017A,8017,17,N,,POLLING PLACE,,,,
BALLOT GROUP 17,9990017A,8017,17,N,,VBM PORTION,,,,
BALLOT GROUP 17,9990017A,8017,17,N,,TOTAL,,,,
BALLOT GROUP 18,9990018A,8018,18,N,,POLLING PLACE,,,,
BALLOT GROUP 18,9990018A,8018,18,N,,VBM PORTION,,,,
BALLOT GROUP 18,9990018A,8018,18,N,,TOTAL,,,,
BALLOT GROUP 19,9990019A,8019,19,N,,POLLING PLACE,,,,
BALLOT GROUP 19,9990019A,8019,19,N,,VBM PORTION,,,,
BALLOT GROUP 19,9990019A,8019,19,N,,TOTAL,,,,
BALLOT GROUP 20,9990020A,8020,20,N,,POLLING PLACE,,,,
BALLOT GROUP 20,9990020A,8020,20,N,,VBM PORTION,,,,
BALLOT GROUP 20,9990020A,8020,20,N,,TOTAL,,,,
BALLOT GROUP 21,9990021A,8021,21,N,,POLLING PLACE,,,,
BALLOT GROUP 21,9990021A,8021,21,N,,VBM PORTION,,,,
BALLOT GROUP 21,9990021A,8021,21,N,,TOTAL,,,,
BALLOT GROUP 22,9990022A,8022,22,N,,POLLING PLACE,,,,
BALLOT GROUP 22,9990022A,8022,22,N,,VBM PORTION,,,,
BALLOT GROUP 22,9990022A,8022,22,N,,TOTAL,,,,
BALLOT GROUP 23,9990023A,8023,23,N,,POLLING PLACE,,,,
BALLOT GROUP 23,9990023A,8023,23,N,,VBM PORTION,,,,
BALLOT GROUP 23,9990023A,8023,23,N,,TOTAL,,,,
BALLOT GROUP 24,9990024A,8024,24,N,,POLLING PLACE,,,,
BALLOT GROUP 24,9990024A,8024,24,N,,VBM PORTION,,,,
BALLOT GROUP 24,9990024A,8024,24,N,,TOTAL,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,POLLING PLACE,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,VBM PORTION,,,,
BALLOT GROUP 25,9990025A,8025,25,N,,TOTAL,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,POLLING PLACE,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,VBM PORTION,,,,
BALLOT GROUP 26,9990026A,8026,26,N,,TOTAL,,,,
BALLOT GROUP 27,9990027A,8027,27,N,,POLLING PLACE,,,,
BALLOT GROUP 27,9990027A,8027,27,N,,VBM PORTION,,,,
BALLOT GROUP 27,9990027A,8027,27,N,,TOTAL,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,POLLING PLACE,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,VBM PORTION,,,,
BALLOT GROUP 28,9990028A,8028,28,N,,TOTAL,,,,
BALLOT GROUP 29,9990029A,8029,29,N,,POLLING PLACE,,,,
BALLOT GROUP 29,9990029A,8029,29,N,,VBM PORTION,,,,
BALLOT GROUP 29,9990029A,8029,29,N,,TOTAL,,,,
