LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER,
MAYWOOD,4200013A,1750,347,N,974,TOTAL,142,116,19,
MAYWOOD,4200014A,1751,347,N,592,POLLING PLACE,87,67,17,
MAYWOOD,4200014A,1751,347,N,,VBM PORTION,22,14,4,
MAYWOOD,4200014A,1751,347,N,592,TOTAL,109,81,21,
MAYWOOD,4200015B,1752,347,N,705,POLLING PLACE,129,107,13,
MAYWOOD,4200015B,1752,347,N,,VBM PORTION,25,14,5,
MAYWOOD,4200015B,1752,347,N,705,TOTAL,154,121,18,
MAYWOOD,4200030D,1753,347,N,507,POLLING PLACE,70,47,15,
MAYWOOD,4200030D,1753,347,N,,VBM PORTION,14,11,3,
MAYWOOD,4200030D,1753,347,N,507,TOTAL,84,58,18,
PARAMOUNT,5100001A,1965,348,N,525,POLLING PLACE,81,59,19,
PARAMOUNT,5100001A,1965,348,N,,VBM PORTION,21,10,9,
PARAMOUNT,5100001A,1965,348,N,525,TOTAL,102,69,28,
PARAMOUNT,5100002A,1966,348,N,1153,POLLING PLACE,116,93,12,
PARAMOUNT,5100002A,1966,348,N,,VBM PORTION,23,20,3,
PARAMOUNT,5100002A,1966,348,N,1153,TOTAL,139,113,15,
PARAMOUNT,5100005A,1967,348,N,1006,POLLING PLACE,113,90,16,
PARAMOUNT,5100005A,1967,348,N,,VBM PORTION,13,8,3,
PARAMOUNT,5100005A,1967,348,N,1006,TOTAL,126,98,19,
PARAMOUNT,5100006A,1968,348,N,1100,POLLING PLACE,176,141,23,
PARAMOUNT,5100006A,1968,348,N,,VBM PORTION,58,42,8,
PARAMOUNT,5100006A,1968,348,N,1100,TOTAL,234,183,31,
PARAMOUNT,5100007A,1969,348,N,1047,POLLING PLACE,139,105,18,
PARAMOUNT,5100007A,1969,348,N,,VBM PORTION,34,27,6,
PARAMOUNT,5100007A,1969,348,N,1047,TOTAL,173,132,24,
PARAMOUNT,5100008A,1970,348,N,678,POLLING PLACE,83,52,25,
PARAMOUNT,5100008A,1970,348,N,,VBM PORTION,23,15,4,
PARAMOUNT,5100008A,1970,348,N,678,TOTAL,106,67,29,
PARAMOUNT,5100009A,1971,348,N,768,POLLING PLACE,93,61,24,
PARAMOUNT,5100009A,1971,348,N,,VBM PORTION,15,9,3,
PARAMOUNT,5100009A,1971,348,N,768,TOTAL,108,70,27,
PARAMOUNT,5100010A,1972,348,N,1010,POLLING PLACE,126,97,23,
PARAMOUNT,5100010A,1972,348,N,,VBM PORTION,14,7,2,
PARAMOUNT,5100010A,1972,348,N,1010,TOTAL,140,104,25,
PARAMOUNT,5100011A,1973,348,N,1088,POLLING PLACE,136,120,8,
PARAMOUNT,5100011A,1973,348,N,,VBM PORTION,26,18,4,
PARAMOUNT,5100011A,1973,348,N,1088,TOTAL,162,138,12,
PARAMOUNT,5100013A,1974,348,N,1057,POLLING PLACE,120,107,9,
PARAMOUNT,5100013A,1974,348,N,,VBM PORTION,22,14,7,
PARAMOUNT,5100013A,1974,348,N,1057,TOTAL,142,121,16,
PARAMOUNT,5100014A,1975,348,N,1094,POLLING PLACE,182,133,43,
PARAMOUNT,5100014A,1975,348,N,,VBM PORTION,59,39,17,
PARAMOUNT,5100014A,1975,348,N,1094,TOTAL,241,172,60,
PARAMOUNT,5100016A,1976,348,N,909,POLLING PLACE,122,81,31,
PARAMOUNT,5100016A,1976,348,N,,VBM PORTION,16,12,4,
PARAMOUNT,5100016A,1976,348,N,909,TOTAL,138,93,35,
PARAMOUNT,5100017A,1977,348,N,1124,POLLING PLACE,175,125,37,
PARAMOUNT,5100017A,1977,348,N,,VBM PORTION,36,23,10,
PARAMOUNT,5100017A,1977,348,N,1124,TOTAL,211,148,47,
PARAMOUNT,5100020A,1978,348,N,625,POLLING PLACE,112,79,23,
PARAMOUNT,5100020A,1978,348,N,,VBM PORTION,19,13,3,
PARAMOUNT,5100020A,1978,348,N,625,TOTAL,131,92,26,
PARAMOUNT,5100020F,1979,348,N,627,POLLING PLACE,68,49,14,
PARAMOUNT,5100020F,1979,348,N,,VBM PORTION,20,14,6,
PARAMOUNT,5100020F,1979,348,N,627,TOTAL,88,63,20,
PARAMOUNT,5100021A,1980,348,N,1121,POLLING PLACE,121,97,20,
PARAMOUNT,5100021A,1980,348,N,,VBM PORTION,34,27,3,
PARAMOUNT,5100021A,1980,348,N,1121,TOTAL,155,124,23,
PARAMOUNT,5100024B,1981,348,N,1133,POLLING PLACE,150,105,39,
PARAMOUNT,5100024B,1981,348,N,,VBM PORTION,39,24,11,
PARAMOUNT,5100024B,1981,348,N,1133,TOTAL,189,129,50,
PARAMOUNT,5100027A,1982,348,N,584,POLLING PLACE,41,31,9,
PARAMOUNT,5100027A,1982,348,N,,VBM PORTION,9,7,1,
PARAMOUNT,5100027A,1982,348,N,584,TOTAL,50,38,10,
PARAMOUNT,5100036A,1983,348,N,1133,POLLING PLACE,209,143,50,
PARAMOUNT,5100036A,1983,348,N,,VBM PORTION,45,17,28,
PARAMOUNT,5100036A,1983,348,N,1133,TOTAL,254,160,78,
PARAMOUNT,5100054A,1984,348,N,1078,POLLING PLACE,142,119,16,
PARAMOUNT,5100054A,1984,348,N,,VBM PORTION,34,27,6,
PARAMOUNT,5100054A,1984,348,N,1078,TOTAL,176,146,22,
SOUTH GATE,6550001A,2538,351,N,315,POLLING PLACE,52,22,23,
SOUTH GATE,6550001A,2538,351,N,,VBM PORTION,18,8,10,
SOUTH GATE,6550001A,2538,351,N,315,TOTAL,70,30,33,
SOUTH GATE,6550003A,2539,356,N,929,POLLING PLACE,120,95,17,
SOUTH GATE,6550003A,2539,356,N,,VBM PORTION,17,12,2,
SOUTH GATE,6550003A,2539,356,N,929,TOTAL,137,107,19,
SOUTH GATE,6550004A,2540,356,N,914,POLLING PLACE,128,100,20,
SOUTH GATE,6550004A,2540,356,N,,VBM PORTION,17,14,2,
SOUTH GATE,6550004A,2540,356,N,914,TOTAL,145,114,22,
SOUTH GATE,6550006A,2541,356,N,978,POLLING PLACE,137,103,19,
SOUTH GATE,6550006A,2541,356,N,,VBM PORTION,27,21,4,
SOUTH GATE,6550006A,2541,356,N,978,TOTAL,164,124,23,
SOUTH GATE,6550009A,2542,356,N,971,POLLING PLACE,107,87,16,
SOUTH GATE,6550009A,2542,356,N,,VBM PORTION,21,18,3,
SOUTH GATE,6550009A,2542,356,N,971,TOTAL,128,105,19,
SOUTH GATE,6550010A,2543,356,N,1073,POLLING PLACE,165,140,15,
SOUTH GATE,6550010A,2543,356,N,,VBM PORTION,15,13,2,
SOUTH GATE,6550010A,2543,356,N,1073,TOTAL,180,153,17,
SOUTH GATE,6550011A,2544,356,N,1178,POLLING PLACE,129,93,22,
SOUTH GATE,6550011A,2544,356,N,,VBM PORTION,39,38,,
SOUTH GATE,6550011A,2544,356,N,1178,TOTAL,168,131,22,
SOUTH GATE,6550012B,2545,356,N,1065,POLLING PLACE,140,114,21,
SOUTH GATE,6550012B,2545,356,N,,VBM PORTION,23,17,5,
SOUTH GATE,6550012B,2545,356,N,1065,TOTAL,163,131,26,
SOUTH GATE,6550015A,2546,356,N,1116,POLLING PLACE,172,116,39,
SOUTH GATE,6550015A,2546,356,N,,VBM PORTION,43,28,13,
SOUTH GATE,6550015A,2546,356,N,1116,TOTAL,215,144,52,
SOUTH GATE,6550016A,2547,356,N,957,POLLING PLACE,112,85,16,
SOUTH GATE,6550016A,2547,356,N,,VBM PORTION,19,12,6,
SOUTH GATE,6550016A,2547,356,N,957,TOTAL,131,97,22,
SOUTH GATE,6550017A,2548,356,N,1079,POLLING PLACE,145,112,24,
SOUTH GATE,6550017A,2548,356,N,,VBM PORTION,27,19,6,
SOUTH GATE,6550017A,2548,356,N,1079,TOTAL,172,131,30,
SOUTH GATE,6550018A,2549,356,N,991,POLLING PLACE,115,91,16,
SOUTH GATE,6550018A,2549,356,N,,VBM PORTION,27,22,4,
SOUTH GATE,6550018A,2549,356,N,991,TOTAL,142,113,20,
SOUTH GATE,6550019B,2550,356,N,1094,POLLING PLACE,178,128,31,
SOUTH GATE,6550019B,2550,356,N,,VBM PORTION,14,9,4,
SOUTH GATE,6550019B,2550,356,N,1094,TOTAL,192,137,35,
SOUTH GATE,6550019D,6239,350,Y,,POLLING PLACE,,,,
SOUTH GATE,6550019D,6239,350,Y,,VBM PORTION,,,,
SOUTH GATE,6550019D,6239,350,Y,,TOTAL,,,,
SOUTH GATE,6550020A,2551,356,N,1022,POLLING PLACE,148,106,28,
SOUTH GATE,6550020A,2551,356,N,,VBM PORTION,23,19,3,
SOUTH GATE,6550020A,2551,356,N,1022,TOTAL,171,125,31,
SOUTH GATE,6550021A,2552,356,N,745,POLLING PLACE,58,48,8,
SOUTH GATE,6550021A,2552,356,N,,VBM PORTION,8,7,1,
SOUTH GATE,6550021A,2552,356,N,745,TOTAL,66,55,9,
SOUTH GATE,6550022A,2553,356,N,870,POLLING PLACE,123,101,12,
SOUTH GATE,6550022A,2553,356,N,,VBM PORTION,25,21,2,
SOUTH GATE,6550022A,2553,356,N,870,TOTAL,148,122,14,
SOUTH GATE,6550022B,2554,356,N,749,POLLING PLACE,72,68,2,
SOUTH GATE,6550022B,2554,356,N,,VBM PORTION,14,11,2,
SOUTH GATE,6550022B,2554,356,N,749,TOTAL,86,79,4,
SOUTH GATE,6550028A,2555,356,N,1002,POLLING PLACE,147,100,43,
SOUTH GATE,6550028A,2555,356,N,,VBM PORTION,27,20,5,
SOUTH GATE,6550028A,2555,356,N,1002,TOTAL,174,120,48,
SOUTH GATE,6550029A,2556,356,N,1077,POLLING PLACE,133,112,13,
SOUTH GATE,6550029A,2556,356,N,,VBM PORTION,27,22,4,
SOUTH GATE,6550029A,2556,356,N,1077,TOTAL,160,134,17,
SOUTH GATE,6550030C,2557,356,N,765,POLLING PLACE,129,114,9,
SOUTH GATE,6550030C,2557,356,N,,VBM PORTION,25,16,7,
SOUTH GATE,6550030C,2557,356,N,765,TOTAL,154,130,16,
SOUTH GATE,6550031A,2558,356,N,1130,POLLING PLACE,179,150,25,
SOUTH GATE,6550031A,2558,356,N,,VBM PORTION,30,22,5,
SOUTH GATE,6550031A,2558,356,N,1130,TOTAL,209,172,30,
SOUTH GATE,6550035A,2559,356,N,1228,POLLING PLACE,166,122,30,
SOUTH GATE,6550035A,2559,356,N,,VBM PORTION,37,27,5,
SOUTH GATE,6550035A,2559,356,N,1228,TOTAL,203,149,35,
SOUTH GATE,6550036A,2560,356,N,1068,POLLING PLACE,121,99,17,
SOUTH GATE,6550036A,2560,356,N,,VBM PORTION,20,13,4,
SOUTH GATE,6550036A,2560,356,N,1068,TOTAL,141,112,21,
SOUTH GATE,6550039A,2561,356,N,884,POLLING PLACE,154,120,22,
SOUTH GATE,6550039A,2561,356,N,,VBM PORTION,11,10,1,
SOUTH GATE,6550039A,2561,356,N,884,TOTAL,165,130,23,
SOUTH GATE,6550047B,2562,356,N,1055,POLLING PLACE,162,128,25,
SOUTH GATE,6550047B,2562,356,N,,VBM PORTION,34,23,11,
SOUTH GATE,6550047B,2562,356,N,1055,TOTAL,196,151,36,
SOUTH GATE,6550048A,2563,356,N,1251,POLLING PLACE,178,136,35,
SOUTH GATE,6550048A,2563,356,N,,VBM PORTION,30,25,3,
SOUTH GATE,6550048A,2563,356,N,1251,TOTAL,208,161,38,
SOUTH GATE,6550050A,2564,356,N,1029,POLLING PLACE,131,89,30,
SOUTH GATE,6550050A,2564,356,N,,VBM PORTION,30,22,5,
SOUTH GATE,6550050A,2564,356,N,1029,TOTAL,161,111,35,
SOUTH GATE,6550052A,2565,356,N,1000,POLLING PLACE,129,94,31,
SOUTH GATE,6550052A,2565,356,N,,VBM PORTION,33,25,7,
SOUTH GATE,6550052A,2565,356,N,1000,TOTAL,162,119,38,
SOUTH GATE,6550053A,2566,356,N,1227,POLLING PLACE,179,125,48,
SOUTH GATE,6550053A,2566,356,N,,VBM PORTION,41,32,7,
SOUTH GATE,6550053A,2566,356,N,1227,TOTAL,220,157,55,
SOUTH GATE,6550055A,2567,356,N,542,POLLING PLACE,94,67,18,
SOUTH GATE,6550055A,2567,356,N,,VBM PORTION,15,13,1,
SOUTH GATE,6550055A,2567,356,N,542,TOTAL,109,80,19,
SOUTH GATE,6550055B,2568,353,N,214,POLLING PLACE,15,9,5,
SOUTH GATE,6550055B,2568,353,N,,VBM PORTION,12,10,2,
SOUTH GATE,6550055B,2568,353,N,214,TOTAL,27,19,7,
SOUTH GATE,6550056A,2569,354,N,417,POLLING PLACE,62,36,22,
SOUTH GATE,6550056A,2569,354,N,,VBM PORTION,45,25,18,
SOUTH GATE,6550056A,2569,354,N,417,TOTAL,107,61,40,
SOUTH GATE,6550057A,2570,354,N,769,POLLING PLACE,122,82,32,
SOUTH GATE,6550057A,2570,354,N,,VBM PORTION,23,15,7,
SOUTH GATE,6550057A,2570,354,N,769,TOTAL,145,97,39,
SOUTH GATE,6550060A,2571,353,N,1073,POLLING PLACE,155,103,41,
SOUTH GATE,6550060A,2571,353,N,,VBM PORTION,41,29,8,
SOUTH GATE,6550060A,2571,353,N,1073,TOTAL,196,132,49,
SOUTH GATE,6550061A,2572,353,N,606,POLLING PLACE,90,61,23,
SOUTH GATE,6550061A,2572,353,N,,VBM PORTION,13,7,6,
SOUTH GATE,6550061A,2572,353,N,606,TOTAL,103,68,29,
SOUTH GATE,6550062A,2573,353,N,1127,POLLING PLACE,186,131,47,
SOUTH GATE,6550062A,2573,353,N,,VBM PORTION,39,19,15,
SOUTH GATE,6550062A,2573,353,N,1127,TOTAL,225,150,62,
SOUTH GATE,6550066C,2574,354,N,547,POLLING PLACE,82,43,35,
SOUTH GATE,6550066C,2574,354,N,,VBM PORTION,43,18,20,
SOUTH GATE,6550066C,2574,354,N,547,TOTAL,125,61,55,
VERNON,7450002A,6255,347,Y,,POLLING PLACE,,,,
VERNON,7450002A,6255,347,Y,,VBM PORTION,,,,
VERNON,7450002A,6255,347,Y,,TOTAL,,,,
VERNON,7450003A,6256,347,Y,,POLLING PLACE,,,,
VERNON,7450003A,6256,347,Y,,VBM PORTION,,,,
VERNON,7450003A,6256,347,Y,,TOTAL,,,,
WILLOWBROOK,7850002A,2967,356,N,823,POLLING PLACE,92,76,5,
WILLOWBROOK,7850002A,2967,356,N,,VBM PORTION,2,2,,
WILLOWBROOK,7850002A,2967,356,N,823,TOTAL,94,78,5,
BALLOT GROUP 340,9990340A,8340,340,N,,POLLING PLACE,,,,
BALLOT GROUP 340,9990340A,8340,340,N,,VBM PORTION,,,,
BALLOT GROUP 340,9990340A,8340,340,N,,TOTAL,,,,
BALLOT GROUP 341,9990341A,8341,341,N,,POLLING PLACE,,,,
BALLOT GROUP 341,9990341A,8341,341,N,,VBM PORTION,,,,
BALLOT GROUP 341,9990341A,8341,341,N,,TOTAL,,,,
BALLOT GROUP 342,9990342A,8342,342,N,,POLLING PLACE,,,,
BALLOT GROUP 342,9990342A,8342,342,N,,VBM PORTION,,,,
BALLOT GROUP 342,9990342A,8342,342,N,,TOTAL,,,,
BALLOT GROUP 343,9990343A,8343,343,N,,POLLING PLACE,,,,
BALLOT GROUP 343,9990343A,8343,343,N,,VBM PORTION,,,,
BALLOT GROUP 343,9990343A,8343,343,N,,TOTAL,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,POLLING PLACE,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,VBM PORTION,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,TOTAL,,,,
BALLOT GROUP 345,9990345A,8345,345,N,,POLLING PLACE,,,,
BALLOT GROUP 345,9990345A,8345,345,N,,VBM PORTION,,,,
BALLOT GROUP 345,9990345A,8345,345,N,,TOTAL,,,,
BALLOT GROUP 346,9990346A,8346,346,N,,POLLING PLACE,,,,
BALLOT GROUP 346,9990346A,8346,346,N,,VBM PORTION,,,,
BALLOT GROUP 346,9990346A,8346,346,N,,TOTAL,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,POLLING PLACE,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,VBM PORTION,,,,
BALLOT GROUP 347,9990347A,8347,347,N,,TOTAL,,,,
BALLOT GROUP 348,9990348A,8348,348,N,,POLLING PLACE,,,,
BALLOT GROUP 348,9990348A,8348,348,N,,VBM PORTION,,,,
BALLOT GROUP 348,9990348A,8348,348,N,,TOTAL,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,POLLING PLACE,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,VBM PORTION,,,,
BALLOT GROUP 349,9990349A,8349,349,N,,TOTAL,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,POLLING PLACE,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,VBM PORTION,,,,
BALLOT GROUP 350,9990350A,8350,350,N,,TOTAL,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,POLLING PLACE,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,VBM PORTION,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,TOTAL,,,,
BALLOT GROUP 352,9990352A,8352,352,N,,POLLING PLACE,,,,
BALLOT GROUP 352,9990352A,8352,352,N,,VBM PORTION,,,,
BALLOT GROUP 352,9990352A,8352,352,N,,TOTAL,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,POLLING PLACE,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,VBM PORTION,,,,
BALLOT GROUP 353,9990353A,8353,353,N,,TOTAL,,,,
BALLOT GROUP 354,9990354A,8354,354,N,,POLLING PLACE,,,,
BALLOT GROUP 354,9990354A,8354,354,N,,VBM PORTION,,,,
BALLOT GROUP 354,9990354A,8354,354,N,,TOTAL,,,,
BALLOT GROUP 355,9990355A,8355,355,N,,POLLING PLACE,,,,
BALLOT GROUP 355,9990355A,8355,355,N,,VBM PORTION,,,,
BALLOT GROUP 355,9990355A,8355,355,N,,TOTAL,,,,
BALLOT GROUP 356,9990356A,8356,356,N,,POLLING PLACE,,,,
BALLOT GROUP 356,9990356A,8356,356,N,,VBM PORTION,,,,
BALLOT GROUP 356,9990356A,8356,356,N,,TOTAL,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,POLLING PLACE,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,VBM PORTION,,,,
BALLOT GROUP 357,9990357A,8357,357,N,,TOTAL,,,,
