LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,
LOS ANGELES,9002465A,4171,309,N,1119,POLLING PLACE,137,125,6,
LOS ANGELES,9002465A,4171,309,N,,VBM PORTION,41,36,4,
LOS ANGELES,9002465A,4171,309,N,1119,TOTAL,178,161,10,
LOS ANGELES,9002466A,4172,309,N,822,POLLING PLACE,78,70,4,
LOS ANGELES,9002466A,4172,309,N,,VBM PORTION,30,28,1,
LOS ANGELES,9002466A,4172,309,N,822,TOTAL,108,98,5,
LOS ANGELES,9002471A,4173,309,N,1025,POLLING PLACE,79,67,8,
LOS ANGELES,9002471A,4173,309,N,,VBM PORTION,32,30,1,
LOS ANGELES,9002471A,4173,309,N,1025,TOTAL,111,97,9,
LOS ANGELES,9002472B,4174,309,N,636,POLLING PLACE,63,55,4,
LOS ANGELES,9002472B,4174,309,N,,VBM PORTION,22,21,1,
LOS ANGELES,9002472B,4174,309,N,636,TOTAL,85,76,5,
LOS ANGELES,9002477A,4178,309,N,1106,POLLING PLACE,219,182,17,
LOS ANGELES,9002477A,4178,309,N,,VBM PORTION,34,30,1,
LOS ANGELES,9002477A,4178,309,N,1106,TOTAL,253,212,18,
LOS ANGELES,9002481A,4179,309,N,1004,POLLING PLACE,180,159,11,
LOS ANGELES,9002481A,4179,309,N,,VBM PORTION,15,12,3,
LOS ANGELES,9002481A,4179,309,N,1004,TOTAL,195,171,14,
LOS ANGELES,9002482A,4180,309,N,829,POLLING PLACE,135,112,16,
LOS ANGELES,9002482A,4180,309,N,,VBM PORTION,30,24,4,
LOS ANGELES,9002482A,4180,309,N,829,TOTAL,165,136,20,
LOS ANGELES,9002484B,4181,309,N,819,POLLING PLACE,152,140,10,
LOS ANGELES,9002484B,4181,309,N,,VBM PORTION,27,19,7,
LOS ANGELES,9002484B,4181,309,N,819,TOTAL,179,159,17,
LOS ANGELES,9002485A,4182,309,N,751,POLLING PLACE,118,103,9,
LOS ANGELES,9002485A,4182,309,N,,VBM PORTION,14,13,1,
LOS ANGELES,9002485A,4182,309,N,751,TOTAL,132,116,10,
LOS ANGELES,9002489A,4183,309,N,863,POLLING PLACE,163,147,6,
LOS ANGELES,9002489A,4183,309,N,,VBM PORTION,34,29,3,
LOS ANGELES,9002489A,4183,309,N,863,TOTAL,197,176,9,
LOS ANGELES,9002492A,4185,309,N,1064,POLLING PLACE,225,198,20,
LOS ANGELES,9002492A,4185,309,N,,VBM PORTION,35,32,,
LOS ANGELES,9002492A,4185,309,N,1064,TOTAL,260,230,20,
LOS ANGELES,9002543A,6305,217,Y,,POLLING PLACE,,,,
LOS ANGELES,9002543A,6305,217,Y,,VBM PORTION,,,,
LOS ANGELES,9002543A,6305,217,Y,,TOTAL,,,,
LOS ANGELES,9002556A,4218,229,N,1163,POLLING PLACE,248,222,12,
LOS ANGELES,9002556A,4218,229,N,,VBM PORTION,92,78,7,
LOS ANGELES,9002556A,4218,229,N,1163,TOTAL,340,300,19,
LOS ANGELES,9002557A,6306,217,Y,8,POLLING PLACE,,,,
LOS ANGELES,9002557A,6306,217,Y,,VBM PORTION,1,,1,
LOS ANGELES,9002557A,6306,217,Y,8,TOTAL,1,,1,
LOS ANGELES,9002559A,6307,228,Y,,POLLING PLACE,,,,
LOS ANGELES,9002559A,6307,228,Y,,VBM PORTION,,,,
LOS ANGELES,9002559A,6307,228,Y,,TOTAL,,,,
LOS ANGELES,9002580A,4226,325,N,491,POLLING PLACE,106,74,20,
LOS ANGELES,9002580A,4226,325,N,,VBM PORTION,39,31,5,
LOS ANGELES,9002580A,4226,325,N,491,TOTAL,145,105,25,
LOS ANGELES,9002602A,6311,178,Y,80,POLLING PLACE,,,,
LOS ANGELES,9002602A,6311,178,Y,,VBM PORTION,3,2,,
LOS ANGELES,9002602A,6311,178,Y,80,TOTAL,3,2,,
LOS ANGELES,9002625A,6316,217,Y,,POLLING PLACE,,,,
LOS ANGELES,9002625A,6316,217,Y,,VBM PORTION,,,,
LOS ANGELES,9002625A,6316,217,Y,,TOTAL,,,,
LOS ANGELES,9002706A,4259,309,N,639,POLLING PLACE,61,55,3,
LOS ANGELES,9002706A,4259,309,N,,VBM PORTION,11,8,1,
LOS ANGELES,9002706A,4259,309,N,639,TOTAL,72,63,4,
LOS ANGELES,9002768A,4268,308,N,108,POLLING PLACE,12,10,1,
LOS ANGELES,9002768A,4268,308,N,,VBM PORTION,,,,
LOS ANGELES,9002768A,4268,308,N,108,TOTAL,12,10,1,
LOS ANGELES,9002787A,4272,308,N,321,POLLING PLACE,27,22,2,
LOS ANGELES,9002787A,4272,308,N,,VBM PORTION,16,11,2,
LOS ANGELES,9002787A,4272,308,N,321,TOTAL,43,33,4,
LOS ANGELES,9002788A,4273,309,N,734,POLLING PLACE,70,59,4,
LOS ANGELES,9002788A,4273,309,N,,VBM PORTION,20,17,1,
LOS ANGELES,9002788A,4273,309,N,734,TOTAL,90,76,5,
LOS ANGELES,9002789A,6326,308,Y,3,POLLING PLACE,,,,
LOS ANGELES,9002789A,6326,308,Y,,VBM PORTION,,,,
LOS ANGELES,9002789A,6326,308,Y,3,TOTAL,,,,
LOS ANGELES,9002840A,6330,186,Y,64,POLLING PLACE,,,,
LOS ANGELES,9002840A,6330,186,Y,,VBM PORTION,5,4,1,
LOS ANGELES,9002840A,6330,186,Y,64,TOTAL,5,4,1,
LOS ANGELES,9002865A,6332,186,Y,91,POLLING PLACE,,,,
LOS ANGELES,9002865A,6332,186,Y,,VBM PORTION,9,8,1,
LOS ANGELES,9002865A,6332,186,Y,91,TOTAL,9,8,1,
LOS ANGELES,9002889A,4290,228,N,745,POLLING PLACE,188,138,36,
LOS ANGELES,9002889A,4290,228,N,,VBM PORTION,40,33,5,
LOS ANGELES,9002889A,4290,228,N,745,TOTAL,228,171,41,
LOS ANGELES,9002890A,4291,228,N,1176,POLLING PLACE,194,144,42,
LOS ANGELES,9002890A,4291,228,N,,VBM PORTION,80,60,10,
LOS ANGELES,9002890A,4291,228,N,1176,TOTAL,274,204,52,
LOS ANGELES,9002893A,4293,228,N,1201,POLLING PLACE,222,169,46,
LOS ANGELES,9002893A,4293,228,N,,VBM PORTION,77,58,15,
LOS ANGELES,9002893A,4293,228,N,1201,TOTAL,299,227,61,
LOS ANGELES,9002900A,4295,226,N,1433,POLLING PLACE,186,108,58,
LOS ANGELES,9002900A,4295,226,N,,VBM PORTION,368,213,132,
LOS ANGELES,9002900A,4295,226,N,1433,TOTAL,554,321,190,
LOS ANGELES,9002908A,4298,309,N,1178,POLLING PLACE,155,142,5,
LOS ANGELES,9002908A,4298,309,N,,VBM PORTION,46,41,1,
LOS ANGELES,9002908A,4298,309,N,1178,TOTAL,201,183,6,
LOS ANGELES,9002913A,4300,228,N,1149,POLLING PLACE,235,175,52,
LOS ANGELES,9002913A,4300,228,N,,VBM PORTION,59,42,12,
LOS ANGELES,9002913A,4300,228,N,1149,TOTAL,294,217,64,
LOS ANGELES,9002917A,4301,228,N,695,POLLING PLACE,167,118,42,
LOS ANGELES,9002917A,4301,228,N,,VBM PORTION,67,32,30,
LOS ANGELES,9002917A,4301,228,N,695,TOTAL,234,150,72,
LOS ANGELES,9002917D,4302,228,N,725,POLLING PLACE,214,159,41,
LOS ANGELES,9002917D,4302,228,N,,VBM PORTION,65,46,15,
LOS ANGELES,9002917D,4302,228,N,725,TOTAL,279,205,56,
LOS ANGELES,9002927A,4304,309,N,918,POLLING PLACE,146,119,17,
LOS ANGELES,9002927A,4304,309,N,,VBM PORTION,29,23,3,
LOS ANGELES,9002927A,4304,309,N,918,TOTAL,175,142,20,
LOS ANGELES,9002954A,4307,228,N,1122,POLLING PLACE,193,144,42,
LOS ANGELES,9002954A,4307,228,N,,VBM PORTION,105,80,16,
LOS ANGELES,9002954A,4307,228,N,1122,TOTAL,298,224,58,
LOS ANGELES,9003036A,4311,228,N,827,POLLING PLACE,217,156,52,
LOS ANGELES,9003036A,4311,228,N,,VBM PORTION,57,36,16,
LOS ANGELES,9003036A,4311,228,N,827,TOTAL,274,192,68,
LOS ANGELES,9003050A,4312,228,N,750,POLLING PLACE,220,207,8,
LOS ANGELES,9003050A,4312,228,N,,VBM PORTION,41,31,7,
LOS ANGELES,9003050A,4312,228,N,750,TOTAL,261,238,15,
LOS ANGELES,9003210A,4330,308,N,505,POLLING PLACE,16,13,2,
LOS ANGELES,9003210A,4330,308,N,,VBM PORTION,3,3,,
LOS ANGELES,9003210A,4330,308,N,505,TOTAL,19,16,2,
LOS ANGELES,9003229A,4334,228,N,1083,POLLING PLACE,198,173,7,
LOS ANGELES,9003229A,4334,228,N,,VBM PORTION,70,62,6,
LOS ANGELES,9003229A,4334,228,N,1083,TOTAL,268,235,13,
LOS ANGELES,9003240A,4337,309,N,859,POLLING PLACE,169,143,14,
LOS ANGELES,9003240A,4337,309,N,,VBM PORTION,26,23,1,
LOS ANGELES,9003240A,4337,309,N,859,TOTAL,195,166,15,
LOS ANGELES,9003278A,4338,326,N,1255,POLLING PLACE,314,194,105,
LOS ANGELES,9003278A,4338,326,N,,VBM PORTION,246,134,100,
LOS ANGELES,9003278A,4338,326,N,1255,TOTAL,560,328,205,
LOS ANGELES,9003280A,4339,325,N,1040,POLLING PLACE,213,164,38,
LOS ANGELES,9003280A,4339,325,N,,VBM PORTION,68,52,8,
LOS ANGELES,9003280A,4339,325,N,1040,TOTAL,281,216,46,
LOS ANGELES,9003406A,4344,325,N,677,POLLING PLACE,147,108,30,
LOS ANGELES,9003406A,4344,325,N,,VBM PORTION,47,27,14,
LOS ANGELES,9003406A,4344,325,N,677,TOTAL,194,135,44,
LOS ANGELES,9003674E,4362,228,N,873,POLLING PLACE,114,97,13,
LOS ANGELES,9003674E,4362,228,N,,VBM PORTION,32,24,6,
LOS ANGELES,9003674E,4362,228,N,873,TOTAL,146,121,19,
LOS ANGELES,9003958A,4378,186,N,1136,POLLING PLACE,256,202,35,
LOS ANGELES,9003958A,4378,186,N,,VBM PORTION,88,67,18,
LOS ANGELES,9003958A,4378,186,N,1136,TOTAL,344,269,53,
LOS ANGELES,9003969C,4379,228,N,1109,POLLING PLACE,199,167,19,
LOS ANGELES,9003969C,4379,228,N,,VBM PORTION,33,30,2,
LOS ANGELES,9003969C,4379,228,N,1109,TOTAL,232,197,21,
LOS ANGELES,9004218A,4392,226,N,699,POLLING PLACE,104,71,23,
LOS ANGELES,9004218A,4392,226,N,,VBM PORTION,59,41,14,
LOS ANGELES,9004218A,4392,226,N,699,TOTAL,163,112,37,
LOS ANGELES,9005204A,4430,330,N,868,POLLING PLACE,148,138,3,
LOS ANGELES,9005204A,4430,330,N,,VBM PORTION,42,35,3,
LOS ANGELES,9005204A,4430,330,N,868,TOTAL,190,173,6,
LOS ANGELES,9005205B,4431,330,N,677,POLLING PLACE,80,69,5,
LOS ANGELES,9005205B,4431,330,N,,VBM PORTION,15,13,2,
LOS ANGELES,9005205B,4431,330,N,677,TOTAL,95,82,7,
LOS ANGELES,9005291B,4434,228,N,790,POLLING PLACE,145,106,34,
LOS ANGELES,9005291B,4434,228,N,,VBM PORTION,54,38,9,
LOS ANGELES,9005291B,4434,228,N,790,TOTAL,199,144,43,
LOS ANGELES,9005293A,4435,228,N,1176,POLLING PLACE,236,164,50,
LOS ANGELES,9005293A,4435,228,N,,VBM PORTION,62,40,18,
LOS ANGELES,9005293A,4435,228,N,1176,TOTAL,298,204,68,
LOS ANGELES,9005300A,4436,186,N,1051,POLLING PLACE,220,160,50,
LOS ANGELES,9005300A,4436,186,N,,VBM PORTION,70,52,13,
LOS ANGELES,9005300A,4436,186,N,1051,TOTAL,290,212,63,
LOS ANGELES,9005303A,4437,228,N,1032,POLLING PLACE,186,139,31,
LOS ANGELES,9005303A,4437,228,N,,VBM PORTION,55,40,12,
LOS ANGELES,9005303A,4437,228,N,1032,TOTAL,241,179,43,
LOS ANGELES,9005305A,4438,186,N,716,POLLING PLACE,170,127,31,
LOS ANGELES,9005305A,4438,186,N,,VBM PORTION,68,48,17,
LOS ANGELES,9005305A,4438,186,N,716,TOTAL,238,175,48,
LOS ANGELES,9005313A,4441,187,N,1115,POLLING PLACE,280,242,22,
LOS ANGELES,9005313A,4441,187,N,,VBM PORTION,53,44,5,
LOS ANGELES,9005313A,4441,187,N,1115,TOTAL,333,286,27,
LOS ANGELES,9005315A,4442,187,N,1038,POLLING PLACE,233,212,16,
LOS ANGELES,9005315A,4442,187,N,,VBM PORTION,94,76,13,
LOS ANGELES,9005315A,4442,187,N,1038,TOTAL,327,288,29,
LOS ANGELES,9005316A,4443,228,N,902,POLLING PLACE,141,118,15,
LOS ANGELES,9005316A,4443,228,N,,VBM PORTION,44,42,2,
LOS ANGELES,9005316A,4443,228,N,902,TOTAL,185,160,17,
LOS ANGELES,9005317A,4444,228,N,1148,POLLING PLACE,243,222,12,
LOS ANGELES,9005317A,4444,228,N,,VBM PORTION,80,67,11,
LOS ANGELES,9005317A,4444,228,N,1148,TOTAL,323,289,23,
LOS ANGELES,9005319A,4445,228,N,1239,POLLING PLACE,284,263,13,
LOS ANGELES,9005319A,4445,228,N,,VBM PORTION,86,79,7,
LOS ANGELES,9005319A,4445,228,N,1239,TOTAL,370,342,20,
LOS ANGELES,9005321A,4446,228,N,1145,POLLING PLACE,229,193,21,
LOS ANGELES,9005321A,4446,228,N,,VBM PORTION,57,49,4,
LOS ANGELES,9005321A,4446,228,N,1145,TOTAL,286,242,25,
LOS ANGELES,9005322A,4447,228,N,1005,POLLING PLACE,174,153,14,
LOS ANGELES,9005322A,4447,228,N,,VBM PORTION,40,32,8,
LOS ANGELES,9005322A,4447,228,N,1005,TOTAL,214,185,22,
LOS ANGELES,9005414A,4453,309,N,886,POLLING PLACE,182,169,5,
LOS ANGELES,9005414A,4453,309,N,,VBM PORTION,37,34,1,
LOS ANGELES,9005414A,4453,309,N,886,TOTAL,219,203,6,
LOS ANGELES,9005424A,4454,228,N,1145,POLLING PLACE,226,194,19,
LOS ANGELES,9005424A,4454,228,N,,VBM PORTION,60,41,13,
LOS ANGELES,9005424A,4454,228,N,1145,TOTAL,286,235,32,
LOS ANGELES,9005484A,4456,309,N,931,POLLING PLACE,85,68,12,
LOS ANGELES,9005484A,4456,309,N,,VBM PORTION,23,16,5,
LOS ANGELES,9005484A,4456,309,N,931,TOTAL,108,84,17,
LOS ANGELES,9005494B,4457,228,N,1028,POLLING PLACE,115,104,4,
LOS ANGELES,9005494B,4457,228,N,,VBM PORTION,25,24,1,
LOS ANGELES,9005494B,4457,228,N,1028,TOTAL,140,128,5,
LOS ANGELES,9005504C,4458,228,N,1220,POLLING PLACE,237,195,34,
LOS ANGELES,9005504C,4458,228,N,,VBM PORTION,97,62,29,
LOS ANGELES,9005504C,4458,228,N,1220,TOTAL,334,257,63,
LOS ANGELES,9005816A,4477,185,N,1194,POLLING PLACE,180,134,43,
LOS ANGELES,9005816A,4477,185,N,,VBM PORTION,83,52,29,
LOS ANGELES,9005816A,4477,185,N,1194,TOTAL,263,186,72,
LOS ANGELES,9005818A,4478,185,N,1083,POLLING PLACE,220,164,47,
LOS ANGELES,9005818A,4478,185,N,,VBM PORTION,70,51,13,
LOS ANGELES,9005818A,4478,185,N,1083,TOTAL,290,215,60,
LOS ANGELES,9005821A,4479,185,N,1244,POLLING PLACE,259,213,39,
LOS ANGELES,9005821A,4479,185,N,,VBM PORTION,80,51,23,
LOS ANGELES,9005821A,4479,185,N,1244,TOTAL,339,264,62,
LOS ANGELES,9005837A,4483,226,N,1360,POLLING PLACE,303,218,67,
LOS ANGELES,9005837A,4483,226,N,,VBM PORTION,111,79,27,
LOS ANGELES,9005837A,4483,226,N,1360,TOTAL,414,297,94,
LOS ANGELES,9005934A,4493,325,N,1031,POLLING PLACE,195,159,27,
LOS ANGELES,9005934A,4493,325,N,,VBM PORTION,69,50,17,
LOS ANGELES,9005934A,4493,325,N,1031,TOTAL,264,209,44,
LOS ANGELES,9007166B,4618,229,N,1041,POLLING PLACE,120,108,5,
LOS ANGELES,9007166B,4618,229,N,,VBM PORTION,39,36,1,
LOS ANGELES,9007166B,4618,229,N,1041,TOTAL,159,144,6,
LOS ANGELES,9007168B,4619,229,N,1130,POLLING PLACE,83,71,7,
LOS ANGELES,9007168B,4619,229,N,,VBM PORTION,47,43,3,
LOS ANGELES,9007168B,4619,229,N,1130,TOTAL,130,114,10,
LOS ANGELES,9007211A,4620,228,N,789,POLLING PLACE,135,111,16,
LOS ANGELES,9007211A,4620,228,N,,VBM PORTION,55,44,6,
LOS ANGELES,9007211A,4620,228,N,789,TOTAL,190,155,22,
LOS ANGELES,9007221A,4621,186,N,1065,POLLING PLACE,258,226,19,
LOS ANGELES,9007221A,4621,186,N,,VBM PORTION,56,47,8,
LOS ANGELES,9007221A,4621,186,N,1065,TOTAL,314,273,27,
LOS ANGELES,9007226A,4622,228,N,839,POLLING PLACE,121,105,9,
LOS ANGELES,9007226A,4622,228,N,,VBM PORTION,40,31,5,
LOS ANGELES,9007226A,4622,228,N,839,TOTAL,161,136,14,
LOS ANGELES,9007228B,4623,186,N,1376,POLLING PLACE,266,215,33,
LOS ANGELES,9007228B,4623,186,N,,VBM PORTION,85,72,10,
LOS ANGELES,9007228B,4623,186,N,1376,TOTAL,351,287,43,
LOS ANGELES,9007229B,4624,228,N,903,POLLING PLACE,163,155,7,
LOS ANGELES,9007229B,4624,228,N,,VBM PORTION,49,43,4,
LOS ANGELES,9007229B,4624,228,N,903,TOTAL,212,198,11,
LOS ANGELES,9007349A,4634,228,N,860,POLLING PLACE,186,165,10,
LOS ANGELES,9007349A,4634,228,N,,VBM PORTION,54,44,5,
LOS ANGELES,9007349A,4634,228,N,860,TOTAL,240,209,15,
LOS ANGELES,9007349C,6343,233,Y,,POLLING PLACE,,,,
LOS ANGELES,9007349C,6343,233,Y,,VBM PORTION,,,,
LOS ANGELES,9007349C,6343,233,Y,,TOTAL,,,,
LOS ANGELES,9007377A,4636,185,N,1181,POLLING PLACE,246,173,55,
LOS ANGELES,9007377A,4636,185,N,,VBM PORTION,76,45,25,
LOS ANGELES,9007377A,4636,185,N,1181,TOTAL,322,218,80,
LOS ANGELES,9007382A,4637,185,N,1168,POLLING PLACE,231,144,66,
LOS ANGELES,9007382A,4637,185,N,,VBM PORTION,85,51,23,
LOS ANGELES,9007382A,4637,185,N,1168,TOTAL,316,195,89,
LOS ANGELES,9007385A,4638,224,N,881,POLLING PLACE,169,122,36,
LOS ANGELES,9007385A,4638,224,N,,VBM PORTION,48,30,14,
LOS ANGELES,9007385A,4638,224,N,881,TOTAL,217,152,50,
LOS ANGELES,9007388A,4639,185,N,1117,POLLING PLACE,182,141,33,
LOS ANGELES,9007388A,4639,185,N,,VBM PORTION,69,45,18,
LOS ANGELES,9007388A,4639,185,N,1117,TOTAL,251,186,51,
BALLOT GROUP 178,9990178A,8178,178,N,,POLLING PLACE,,,,
BALLOT GROUP 178,9990178A,8178,178,N,,VBM PORTION,,,,
BALLOT GROUP 178,9990178A,8178,178,N,,TOTAL,,,,
BALLOT GROUP 185,9990185A,8185,185,N,,POLLING PLACE,,,,
BALLOT GROUP 185,9990185A,8185,185,N,,VBM PORTION,,,,
BALLOT GROUP 185,9990185A,8185,185,N,,TOTAL,,,,
BALLOT GROUP 186,9990186A,8186,186,N,,POLLING PLACE,,,,
BALLOT GROUP 186,9990186A,8186,186,N,,VBM PORTION,,,,
BALLOT GROUP 186,9990186A,8186,186,N,,TOTAL,,,,
BALLOT GROUP 187,9990187A,8187,187,N,,POLLING PLACE,,,,
BALLOT GROUP 187,9990187A,8187,187,N,,VBM PORTION,,,,
BALLOT GROUP 187,9990187A,8187,187,N,,TOTAL,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,POLLING PLACE,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,VBM PORTION,,,,
BALLOT GROUP 217,9990217A,8217,217,N,,TOTAL,,,,
BALLOT GROUP 222,9990222A,8222,222,N,,POLLING PLACE,,,,
BALLOT GROUP 222,9990222A,8222,222,N,,VBM PORTION,,,,
BALLOT GROUP 222,9990222A,8222,222,N,,TOTAL,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,POLLING PLACE,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,VBM PORTION,,,,
BALLOT GROUP 223,9990223A,8223,223,N,,TOTAL,,,,
BALLOT GROUP 224,9990224A,8224,224,N,,POLLING PLACE,,,,
BALLOT GROUP 224,9990224A,8224,224,N,,VBM PORTION,,,,
BALLOT GROUP 224,9990224A,8224,224,N,,TOTAL,,,,
BALLOT GROUP 226,9990226A,8226,226,N,,POLLING PLACE,,,,
BALLOT GROUP 226,9990226A,8226,226,N,,VBM PORTION,,,,
BALLOT GROUP 226,9990226A,8226,226,N,,TOTAL,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,POLLING PLACE,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,VBM PORTION,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,TOTAL,,,,
BALLOT GROUP 228,9990228A,8228,228,N,,POLLING PLACE,,,,
BALLOT GROUP 228,9990228A,8228,228,N,,VBM PORTION,,,,
BALLOT GROUP 228,9990228A,8228,228,N,,TOTAL,,,,
BALLOT GROUP 229,9990229A,8229,229,N,,POLLING PLACE,,,,
BALLOT GROUP 229,9990229A,8229,229,N,,VBM PORTION,,,,
BALLOT GROUP 229,9990229A,8229,229,N,,TOTAL,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,POLLING PLACE,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,VBM PORTION,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,TOTAL,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,POLLING PLACE,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,VBM PORTION,,,,
BALLOT GROUP 231,9990231A,8231,231,N,,TOTAL,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,POLLING PLACE,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,VBM PORTION,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,TOTAL,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,POLLING PLACE,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,VBM PORTION,,,,
BALLOT GROUP 233,9990233A,8233,233,N,,TOTAL,,,,
BALLOT GROUP 308,9990308A,8308,308,N,,POLLING PLACE,,,,
BALLOT GROUP 308,9990308A,8308,308,N,,VBM PORTION,,,,
BALLOT GROUP 308,9990308A,8308,308,N,,TOTAL,,,,
BALLOT GROUP 309,9990309A,8309,309,N,,POLLING PLACE,,,,
BALLOT GROUP 309,9990309A,8309,309,N,,VBM PORTION,,,,
BALLOT GROUP 309,9990309A,8309,309,N,,TOTAL,,,,
BALLOT GROUP 324,9990324A,8324,324,N,,POLLING PLACE,,,,
BALLOT GROUP 324,9990324A,8324,324,N,,VBM PORTION,,,,
BALLOT GROUP 324,9990324A,8324,324,N,,TOTAL,,,,
BALLOT GROUP 325,9990325A,8325,325,N,,POLLING PLACE,,,,
BALLOT GROUP 325,9990325A,8325,325,N,,VBM PORTION,,,,
BALLOT GROUP 325,9990325A,8325,325,N,,TOTAL,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,POLLING PLACE,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,VBM PORTION,,,,
BALLOT GROUP 326,9990326A,8326,326,N,,TOTAL,,,,
BALLOT GROUP 330,9990330A,8330,330,N,,POLLING PLACE,,,,
BALLOT GROUP 330,9990330A,8330,330,N,,VBM PORTION,,,,
BALLOT GROUP 330,9990330A,8330,330,N,,TOTAL,,,,
