LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,15,3,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,15,3,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,61,138,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,24,43,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,85,181,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,34,90,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,15,30,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,49,120,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,105,134,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,49,49,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,154,183,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,58,122,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,12,46,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,70,168,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,51,121,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,12,44,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,63,165,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,75,186,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,27,83,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,102,269,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,36,124,
