LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER,
FLORENCE,2300001A,851,319,N,727,POLLING PLACE,77,67,
FLORENCE,2300001A,851,319,N,,VBM PORTION,17,16,
FLORENCE,2300001A,851,319,N,727,TOTAL,94,83,
FLORENCE,2300002A,852,317,N,1083,POLLING PLACE,151,128,
FLORENCE,2300002A,852,317,N,,VBM PORTION,26,22,
FLORENCE,2300002A,852,317,N,1083,TOTAL,177,150,
FLORENCE,2300003A,853,317,N,992,POLLING PLACE,147,125,
FLORENCE,2300003A,853,317,N,,VBM PORTION,13,13,
FLORENCE,2300003A,853,317,N,992,TOTAL,160,138,
FLORENCE,2300004A,854,317,N,988,POLLING PLACE,144,119,
FLORENCE,2300004A,854,317,N,,VBM PORTION,25,23,
FLORENCE,2300004A,854,317,N,988,TOTAL,169,142,
FLORENCE,2300005A,855,317,N,638,POLLING PLACE,111,93,
FLORENCE,2300005A,855,317,N,,VBM PORTION,19,17,
FLORENCE,2300005A,855,317,N,638,TOTAL,130,110,
FLORENCE,2300006A,856,317,N,811,POLLING PLACE,98,82,
FLORENCE,2300006A,856,317,N,,VBM PORTION,17,16,
FLORENCE,2300006A,856,317,N,811,TOTAL,115,98,
FLORENCE,2300008A,857,317,N,916,POLLING PLACE,120,109,
FLORENCE,2300008A,857,317,N,,VBM PORTION,33,29,
FLORENCE,2300008A,857,317,N,916,TOTAL,153,138,
FLORENCE,2300009A,858,317,N,709,POLLING PLACE,70,61,
FLORENCE,2300009A,858,317,N,,VBM PORTION,25,21,
FLORENCE,2300009A,858,317,N,709,TOTAL,95,82,
FLORENCE,2300010A,859,317,N,717,POLLING PLACE,64,55,
FLORENCE,2300010A,859,317,N,,VBM PORTION,15,8,
FLORENCE,2300010A,859,317,N,717,TOTAL,79,63,
FLORENCE,2300011A,860,317,N,747,POLLING PLACE,105,93,
FLORENCE,2300011A,860,317,N,,VBM PORTION,20,15,
FLORENCE,2300011A,860,317,N,747,TOTAL,125,108,
FLORENCE,2300012A,861,317,N,997,POLLING PLACE,124,109,
FLORENCE,2300012A,861,317,N,,VBM PORTION,32,31,
FLORENCE,2300012A,861,317,N,997,TOTAL,156,140,
FLORENCE,2300013A,862,317,N,741,POLLING PLACE,110,102,
FLORENCE,2300013A,862,317,N,,VBM PORTION,19,17,
FLORENCE,2300013A,862,317,N,741,TOTAL,129,119,
FLORENCE,2300016A,863,319,N,1029,POLLING PLACE,141,131,
FLORENCE,2300016A,863,319,N,,VBM PORTION,28,28,
FLORENCE,2300016A,863,319,N,1029,TOTAL,169,159,
FLORENCE,2300019A,864,319,N,788,POLLING PLACE,91,82,
FLORENCE,2300019A,864,319,N,,VBM PORTION,18,17,
FLORENCE,2300019A,864,319,N,788,TOTAL,109,99,
FLORENCE,2300025A,865,317,N,743,POLLING PLACE,79,70,
FLORENCE,2300025A,865,317,N,,VBM PORTION,11,8,
FLORENCE,2300025A,865,317,N,743,TOTAL,90,78,
FLORENCE,2300030A,866,319,N,981,POLLING PLACE,127,106,
FLORENCE,2300030A,866,319,N,,VBM PORTION,28,25,
FLORENCE,2300030A,866,319,N,981,TOTAL,155,131,
FLORENCE,2300034A,867,319,N,918,POLLING PLACE,65,52,
FLORENCE,2300034A,867,319,N,,VBM PORTION,12,11,
FLORENCE,2300034A,867,319,N,918,TOTAL,77,63,
FLORENCE,2300040A,868,319,N,945,POLLING PLACE,132,106,
FLORENCE,2300040A,868,319,N,,VBM PORTION,21,17,
FLORENCE,2300040A,868,319,N,945,TOTAL,153,123,
FLORENCE,2300041B,869,317,N,690,POLLING PLACE,116,103,
FLORENCE,2300041B,869,317,N,,VBM PORTION,13,11,
FLORENCE,2300041B,869,317,N,690,TOTAL,129,114,
FLORENCE,2300042A,870,319,N,927,POLLING PLACE,101,85,
FLORENCE,2300042A,870,319,N,,VBM PORTION,9,9,
