LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED LIEU,ELAN CARR,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,8,4,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,8,4,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,54,103,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,24,54,
AGOURA,0070004A,8,190,N,710,TOTAL,252,78,157,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,79,60,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,15,25,
AGOURA,0070004C,9,191,N,369,TOTAL,185,94,85,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,6,5,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,6,5,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,178,120,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,69,57,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,247,177,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,10,7,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,10,7,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,98,85,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,28,34,
AGOURA,0070041A,11,189,N,675,TOTAL,260,126,119,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,4,5,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,4,5,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,126,136,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,59,57,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,185,193,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,109,78,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,44,46,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,153,124,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,146,142,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,71,96,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,217,238,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,105,97,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,32,44,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,137,141,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,126,114,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,40,62,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,166,176,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,151,126,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,45,75,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,196,201,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,138,158,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,70,57,
