LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT WILK,JORGE S FUENTES,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,213,60,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,90,20,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,303,80,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,142,35,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,55,17,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,197,52,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,102,20,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,43,15,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,145,35,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,6,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,6,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
CANYON COUNTRY,1020005A,6036,38,Y,4,POLLING PLACE,,,,
CANYON COUNTRY,1020005A,6036,38,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020005A,6036,38,Y,4,TOTAL,,,,
CANYON COUNTRY,1020014A,364,38,N,575,POLLING PLACE,87,45,38,
CANYON COUNTRY,1020014A,364,38,N,,VBM PORTION,62,45,14,
CANYON COUNTRY,1020014A,364,38,N,575,TOTAL,149,90,52,
CANYON COUNTRY,1020017B,6038,38,Y,209,POLLING PLACE,,,,
CANYON COUNTRY,1020017B,6038,38,Y,,VBM PORTION,57,46,9,
CANYON COUNTRY,1020017B,6038,38,Y,209,TOTAL,57,46,9,
CANYON COUNTRY,1020023A,6040,50,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,TOTAL,,,,
CASTAIC,1040001A,421,45,N,1109,POLLING PLACE,269,156,89,
CASTAIC,1040001A,421,45,N,,VBM PORTION,97,67,21,
CASTAIC,1040001A,421,45,N,1109,TOTAL,366,223,110,
CASTAIC,1040001F,422,45,N,537,POLLING PLACE,79,42,33,
CASTAIC,1040001F,422,45,N,,VBM PORTION,52,27,20,
CASTAIC,1040001F,422,45,N,537,TOTAL,131,69,53,
CASTAIC,1040002A,423,45,N,1052,POLLING PLACE,269,112,140,
CASTAIC,1040002A,423,45,N,,VBM PORTION,49,24,21,
CASTAIC,1040002A,423,45,N,1052,TOTAL,318,136,161,
CASTAIC,1040002C,6043,48,Y,12,POLLING PLACE,,,,
CASTAIC,1040002C,6043,48,Y,,VBM PORTION,,,,
CASTAIC,1040002C,6043,48,Y,12,TOTAL,,,,
CASTAIC,1040003A,424,45,N,1124,POLLING PLACE,224,142,67,
CASTAIC,1040003A,424,45,N,,VBM PORTION,93,66,21,
CASTAIC,1040003A,424,45,N,1124,TOTAL,317,208,88,
CASTAIC,1040004C,425,45,N,737,POLLING PLACE,126,88,29,
CASTAIC,1040004C,425,45,N,,VBM PORTION,71,52,16,
CASTAIC,1040004C,425,45,N,737,TOTAL,197,140,45,
CASTAIC,1040014A,426,45,N,1078,POLLING PLACE,168,99,57,
CASTAIC,1040014A,426,45,N,,VBM PORTION,123,85,30,
CASTAIC,1040014A,426,45,N,1078,TOTAL,291,184,87,
CASTAIC,1040015A,427,45,N,1202,POLLING PLACE,237,172,48,
CASTAIC,1040015A,427,45,N,,VBM PORTION,117,85,27,
CASTAIC,1040015A,427,45,N,1202,TOTAL,354,257,75,
CASTAIC,1040016A,428,45,N,1024,POLLING PLACE,187,126,48,
CASTAIC,1040016A,428,45,N,,VBM PORTION,97,72,20,
CASTAIC,1040016A,428,45,N,1024,TOTAL,284,198,68,
CASTAIC,1040017A,429,45,N,861,POLLING PLACE,159,102,50,
CASTAIC,1040017A,429,45,N,,VBM PORTION,75,48,17,
CASTAIC,1040017A,429,45,N,861,TOTAL,234,150,67,
CASTAIC,1040028A,430,45,N,1264,POLLING PLACE,253,171,78,
CASTAIC,1040028A,430,45,N,,VBM PORTION,102,82,13,
CASTAIC,1040028A,430,45,N,1264,TOTAL,355,253,91,
CASTAIC,1040052A,6044,48,Y,87,POLLING PLACE,,,,
CASTAIC,1040052A,6044,48,Y,,VBM PORTION,11,7,2,
CASTAIC,1040052A,6044,48,Y,87,TOTAL,11,7,2,
CASTAIC,1040052D,6045,45,Y,8,POLLING PLACE,,,,
CASTAIC,1040052D,6045,45,Y,,VBM PORTION,2,2,,
CASTAIC,1040052D,6045,45,Y,8,TOTAL,2,2,,
CASTAIC,1040072A,431,45,N,738,POLLING PLACE,187,118,56,
CASTAIC,1040072A,431,45,N,,VBM PORTION,78,60,11,
CASTAIC,1040072A,431,45,N,738,TOTAL,265,178,67,
CASTAIC,1040226A,6046,48,Y,7,POLLING PLACE,,,,
CASTAIC,1040226A,6046,48,Y,,VBM PORTION,2,1,1,
CASTAIC,1040226A,6046,48,Y,7,TOTAL,2,1,1,
CASTAIC,1040226C,432,45,N,733,POLLING PLACE,104,76,21,
CASTAIC,1040226C,432,45,N,,VBM PORTION,131,97,31,
CASTAIC,1040226C,432,45,N,733,TOTAL,235,173,52,
CASTAIC,1040251A,433,45,N,703,POLLING PLACE,106,69,24,
CASTAIC,1040251A,433,45,N,,VBM PORTION,82,49,28,
CASTAIC,1040251A,433,45,N,703,TOTAL,188,118,52,
CHATSWORTH,1150001A,481,48,N,754,POLLING PLACE,138,68,54,
CHATSWORTH,1150001A,481,48,N,,VBM PORTION,44,26,15,
CHATSWORTH,1150001A,481,48,N,754,TOTAL,182,94,69,
NEWHALL,4700001A,6163,41,Y,67,POLLING PLACE,,,,
NEWHALL,4700001A,6163,41,Y,,VBM PORTION,8,5,3,
NEWHALL,4700001A,6163,41,Y,67,TOTAL,8,5,3,
NEWHALL,4700003C,6164,45,Y,11,POLLING PLACE,,,,
NEWHALL,4700003C,6164,45,Y,,VBM PORTION,2,1,1,
NEWHALL,4700003C,6164,45,Y,11,TOTAL,2,1,1,
NEWHALL,4700005A,6166,38,Y,67,POLLING PLACE,,,,
NEWHALL,4700005A,6166,38,Y,,VBM PORTION,14,6,8,
NEWHALL,4700005A,6166,38,Y,67,TOTAL,14,6,8,
SANTA CLARITA,6220002B,2343,39,N,990,POLLING PLACE,179,102,64,
SANTA CLARITA,6220002B,2343,39,N,,VBM PORTION,77,56,17,
SANTA CLARITA,6220002B,2343,39,N,990,TOTAL,256,158,81,
SANTA CLARITA,6220003A,2344,44,N,1296,POLLING PLACE,291,205,66,
SANTA CLARITA,6220003A,2344,44,N,,VBM PORTION,123,81,37,
