LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIM MCDONNELL,PAUL TANAKA,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,206,58,
ACTON,0050003A,1,13,N,,VBM PORTION,110,71,21,
ACTON,0050003A,1,13,N,1044,TOTAL,418,277,79,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,91,21,
ACTON,0050004B,2,13,N,,VBM PORTION,93,55,18,
ACTON,0050004B,2,13,N,576,TOTAL,221,146,39,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,142,33,
ACTON,0050005A,3,13,N,,VBM PORTION,71,46,13,
ACTON,0050005A,3,13,N,713,TOTAL,269,188,46,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,114,24,
ACTON,0050014A,4,23,N,,VBM PORTION,87,60,9,
ACTON,0050014A,4,23,N,695,TOTAL,259,174,33,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,10,4,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,10,4,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050052A,6004,96,Y,,POLLING PLACE,,,,
ACTON,0050052A,6004,96,Y,,VBM PORTION,,,,
ACTON,0050052A,6004,96,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,173,65,
ACTON,0050059A,5,13,N,,VBM PORTION,113,71,17,
ACTON,0050059A,5,13,N,1169,TOTAL,412,244,82,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,177,54,
ACTON,0050061A,6,13,N,,VBM PORTION,132,92,18,
ACTON,0050061A,6,13,N,1105,TOTAL,409,269,72,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,72,19,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,64,27,
AGOURA,0070001A,7,115,N,862,TOTAL,262,136,46,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,9,2,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,9,2,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,115,22,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,65,7,
AGOURA,0070004A,8,190,N,710,TOTAL,252,180,29,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,92,26,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,24,4,
AGOURA,0070004C,9,191,N,369,TOTAL,185,116,30,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,7,2,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,7,2,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,189,47,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,86,18,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,275,65,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,12,,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,12,,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,125,29,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,40,6,
AGOURA,0070041A,11,189,N,675,TOTAL,260,165,35,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,5,,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,5,,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,182,40,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,71,22,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,253,62,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,115,38,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,55,15,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,170,53,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,189,43,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,116,23,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,305,66,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,142,36,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,52,12,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,194,48,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,167,42,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,59,17,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,226,59,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,163,44,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,71,26,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,234,70,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,206,57,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,77,30,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,283,87,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,124,29,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,46,20,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,170,49,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,178,58,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,82,26,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,260,84,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,170,34,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,73,19,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,243,53,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,187,52,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,111,18,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,298,70,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,183,45,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,90,14,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,273,59,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,185,51,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,70,20,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,255,71,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,118,37,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,38,16,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,156,53,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,77,22,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,48,10,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,125,32,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,14,7,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,14,7,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,2,,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,2,,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,2,,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,2,,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,125,50,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,48,15,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,173,65,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,65,38,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,26,10,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,91,48,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,153,56,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,61,19,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,214,75,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,104,59,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,36,16,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,140,75,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,103,51,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,29,11,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,132,62,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,165,72,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,66,30,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,231,102,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,87,50,
