LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
TOPANGA,7100006A,2658,196,N,650,TOTAL,260,209,32,
TOPANGA,7100007A,2659,191,N,195,POLLING PLACE,20,14,6,
TOPANGA,7100007A,2659,191,N,,VBM PORTION,36,18,15,
TOPANGA,7100007A,2659,191,N,195,TOTAL,56,32,21,
TOPANGA,7100030A,2660,196,N,777,POLLING PLACE,259,215,21,
TOPANGA,7100030A,2660,196,N,,VBM PORTION,48,32,14,
TOPANGA,7100030A,2660,196,N,777,TOTAL,307,247,35,
TOPANGA,7100032A,6249,195,Y,255,POLLING PLACE,,,,
TOPANGA,7100032A,6249,195,Y,,VBM PORTION,70,51,14,
TOPANGA,7100032A,6249,195,Y,255,TOTAL,70,51,14,
TOPANGA,7100033A,2661,195,N,1001,POLLING PLACE,295,161,109,
TOPANGA,7100033A,2661,195,N,,VBM PORTION,110,59,47,
TOPANGA,7100033A,2661,195,N,1001,TOTAL,405,220,156,
WEST HOLLYWOOD,7750001A,2889,180,N,982,POLLING PLACE,191,152,24,
WEST HOLLYWOOD,7750001A,2889,180,N,,VBM PORTION,54,42,10,
WEST HOLLYWOOD,7750001A,2889,180,N,982,TOTAL,245,194,34,
WEST HOLLYWOOD,7750002A,2890,180,N,1218,POLLING PLACE,201,154,31,
WEST HOLLYWOOD,7750002A,2890,180,N,,VBM PORTION,117,81,30,
WEST HOLLYWOOD,7750002A,2890,180,N,1218,TOTAL,318,235,61,
WEST HOLLYWOOD,7750003A,2891,180,N,977,POLLING PLACE,186,142,37,
WEST HOLLYWOOD,7750003A,2891,180,N,,VBM PORTION,57,42,14,
WEST HOLLYWOOD,7750003A,2891,180,N,977,TOTAL,243,184,51,
WEST HOLLYWOOD,7750004A,2892,180,N,1146,POLLING PLACE,237,193,28,
WEST HOLLYWOOD,7750004A,2892,180,N,,VBM PORTION,112,89,19,
WEST HOLLYWOOD,7750004A,2892,180,N,1146,TOTAL,349,282,47,
WEST HOLLYWOOD,7750005A,2893,180,N,1163,POLLING PLACE,238,198,26,
WEST HOLLYWOOD,7750005A,2893,180,N,,VBM PORTION,107,80,24,
WEST HOLLYWOOD,7750005A,2893,180,N,1163,TOTAL,345,278,50,
WEST HOLLYWOOD,7750006A,2894,180,N,767,POLLING PLACE,174,132,28,
WEST HOLLYWOOD,7750006A,2894,180,N,,VBM PORTION,61,51,6,
WEST HOLLYWOOD,7750006A,2894,180,N,767,TOTAL,235,183,34,
WEST HOLLYWOOD,7750007A,2895,180,N,1278,POLLING PLACE,250,207,30,
WEST HOLLYWOOD,7750007A,2895,180,N,,VBM PORTION,124,103,17,
WEST HOLLYWOOD,7750007A,2895,180,N,1278,TOTAL,374,310,47,
WEST HOLLYWOOD,7750008A,2896,180,N,911,POLLING PLACE,209,168,23,
WEST HOLLYWOOD,7750008A,2896,180,N,,VBM PORTION,88,56,24,
WEST HOLLYWOOD,7750008A,2896,180,N,911,TOTAL,297,224,47,
WEST HOLLYWOOD,7750016A,2897,180,N,1128,POLLING PLACE,223,191,20,
WEST HOLLYWOOD,7750016A,2897,180,N,,VBM PORTION,96,74,21,
WEST HOLLYWOOD,7750016A,2897,180,N,1128,TOTAL,319,265,41,
WEST HOLLYWOOD,7750017A,2898,180,N,1058,POLLING PLACE,273,221,37,
WEST HOLLYWOOD,7750017A,2898,180,N,,VBM PORTION,72,54,14,
WEST HOLLYWOOD,7750017A,2898,180,N,1058,TOTAL,345,275,51,
WEST HOLLYWOOD,7750021A,2899,180,N,1225,POLLING PLACE,282,240,25,
WEST HOLLYWOOD,7750021A,2899,180,N,,VBM PORTION,110,91,17,
WEST HOLLYWOOD,7750021A,2899,180,N,1225,TOTAL,392,331,42,
WEST HOLLYWOOD,7750023A,2900,180,N,1084,POLLING PLACE,253,213,29,
WEST HOLLYWOOD,7750023A,2900,180,N,,VBM PORTION,63,46,13,
WEST HOLLYWOOD,7750023A,2900,180,N,1084,TOTAL,316,259,42,
WEST HOLLYWOOD,7750024A,2901,180,N,1034,POLLING PLACE,167,135,23,
WEST HOLLYWOOD,7750024A,2901,180,N,,VBM PORTION,74,51,19,
WEST HOLLYWOOD,7750024A,2901,180,N,1034,TOTAL,241,186,42,
WEST HOLLYWOOD,7750026B,2902,180,N,929,POLLING PLACE,178,151,24,
WEST HOLLYWOOD,7750026B,2902,180,N,,VBM PORTION,61,44,13,
WEST HOLLYWOOD,7750026B,2902,180,N,929,TOTAL,239,195,37,
WEST HOLLYWOOD,7750030A,2903,180,N,873,POLLING PLACE,185,149,25,
WEST HOLLYWOOD,7750030A,2903,180,N,,VBM PORTION,53,42,7,
WEST HOLLYWOOD,7750030A,2903,180,N,873,TOTAL,238,191,32,
WEST HOLLYWOOD,7750036B,2904,180,N,817,POLLING PLACE,130,100,25,
WEST HOLLYWOOD,7750036B,2904,180,N,,VBM PORTION,39,29,7,
WEST HOLLYWOOD,7750036B,2904,180,N,817,TOTAL,169,129,32,
WEST HOLLYWOOD,7750043A,2905,180,N,1009,POLLING PLACE,173,131,31,
WEST HOLLYWOOD,7750043A,2905,180,N,,VBM PORTION,69,48,16,
WEST HOLLYWOOD,7750043A,2905,180,N,1009,TOTAL,242,179,47,
WEST HOLLYWOOD,7750051A,2906,180,N,860,POLLING PLACE,215,182,23,
WEST HOLLYWOOD,7750051A,2906,180,N,,VBM PORTION,85,68,11,
WEST HOLLYWOOD,7750051A,2906,180,N,860,TOTAL,300,250,34,
WEST HOLLYWOOD,7750070A,2907,180,N,1117,POLLING PLACE,238,199,26,
WEST HOLLYWOOD,7750070A,2907,180,N,,VBM PORTION,109,89,11,
WEST HOLLYWOOD,7750070A,2907,180,N,1117,TOTAL,347,288,37,
WEST HOLLYWOOD,7750072A,2908,180,N,786,POLLING PLACE,187,154,26,
WEST HOLLYWOOD,7750072A,2908,180,N,,VBM PORTION,72,53,15,
WEST HOLLYWOOD,7750072A,2908,180,N,786,TOTAL,259,207,41,
WEST HOLLYWOOD,7750077A,2909,180,N,796,POLLING PLACE,167,134,23,
WEST HOLLYWOOD,7750077A,2909,180,N,,VBM PORTION,63,44,13,
WEST HOLLYWOOD,7750077A,2909,180,N,796,TOTAL,230,178,36,
WEST HOLLYWOOD,7750077C,2910,180,N,1149,POLLING PLACE,268,206,41,
WEST HOLLYWOOD,7750077C,2910,180,N,,VBM PORTION,105,78,21,
WEST HOLLYWOOD,7750077C,2910,180,N,1149,TOTAL,373,284,62,
WEST HOLLYWOOD,7750078A,2911,180,N,848,POLLING PLACE,125,100,18,
WEST HOLLYWOOD,7750078A,2911,180,N,,VBM PORTION,53,38,9,
WEST HOLLYWOOD,7750078A,2911,180,N,848,TOTAL,178,138,27,
LOS ANGELES,9000006A,2989,186,N,1369,POLLING PLACE,277,197,54,
LOS ANGELES,9000006A,2989,186,N,,VBM PORTION,138,89,37,
LOS ANGELES,9000006A,2989,186,N,1369,TOTAL,415,286,91,
LOS ANGELES,9000239A,3131,179,N,682,POLLING PLACE,73,57,13,
LOS ANGELES,9000239A,3131,179,N,,VBM PORTION,20,16,3,
LOS ANGELES,9000239A,3131,179,N,682,TOTAL,93,73,16,
LOS ANGELES,9000264A,3148,183,N,422,POLLING PLACE,108,63,31,
LOS ANGELES,9000264A,3148,183,N,,VBM PORTION,40,23,14,
LOS ANGELES,9000264A,3148,183,N,422,TOTAL,148,86,45,
LOS ANGELES,9000267A,3150,183,N,1130,POLLING PLACE,215,127,63,
LOS ANGELES,9000267A,3150,183,N,,VBM PORTION,160,84,64,
LOS ANGELES,9000267A,3150,183,N,1130,TOTAL,375,211,127,
LOS ANGELES,9000272A,3154,183,N,697,POLLING PLACE,192,128,43,
LOS ANGELES,9000272A,3154,183,N,,VBM PORTION,68,39,25,
LOS ANGELES,9000272A,3154,183,N,697,TOTAL,260,167,68,
LOS ANGELES,9000311A,3178,179,N,1105,POLLING PLACE,161,123,27,
LOS ANGELES,9000311A,3178,179,N,,VBM PORTION,50,32,14,
LOS ANGELES,9000311A,3178,179,N,1105,TOTAL,211,155,41,
LOS ANGELES,9000361A,3212,179,N,809,POLLING PLACE,125,104,15,
LOS ANGELES,9000361A,3212,179,N,,VBM PORTION,39,31,8,
LOS ANGELES,9000361A,3212,179,N,809,TOTAL,164,135,23,
LOS ANGELES,9000389B,3230,179,N,951,POLLING PLACE,123,89,24,
LOS ANGELES,9000389B,3230,179,N,,VBM PORTION,69,49,14,
LOS ANGELES,9000389B,3230,179,N,951,TOTAL,192,138,38,
LOS ANGELES,9000458A,3276,179,N,768,POLLING PLACE,134,106,19,
LOS ANGELES,9000458A,3276,179,N,,VBM PORTION,42,35,6,
LOS ANGELES,9000458A,3276,179,N,768,TOTAL,176,141,25,
LOS ANGELES,9000484B,3291,179,N,1146,POLLING PLACE,229,166,41,
LOS ANGELES,9000484B,3291,179,N,,VBM PORTION,79,61,13,
LOS ANGELES,9000484B,3291,179,N,1146,TOTAL,308,227,54,
LOS ANGELES,9000544A,3328,179,N,1080,POLLING PLACE,145,117,19,
LOS ANGELES,9000544A,3328,179,N,,VBM PORTION,58,41,13,
LOS ANGELES,9000544A,3328,179,N,1080,TOTAL,203,158,32,
LOS ANGELES,9000601A,3364,177,N,737,POLLING PLACE,151,106,26,
LOS ANGELES,9000601A,3364,177,N,,VBM PORTION,28,16,5,
LOS ANGELES,9000601A,3364,177,N,737,TOTAL,179,122,31,
LOS ANGELES,9000642C,3387,179,N,668,POLLING PLACE,136,102,23,
LOS ANGELES,9000642C,3387,179,N,,VBM PORTION,20,13,5,
LOS ANGELES,9000642C,3387,179,N,668,TOTAL,156,115,28,
LOS ANGELES,9000664B,3396,179,N,1029,POLLING PLACE,98,70,17,
LOS ANGELES,9000664B,3396,179,N,,VBM PORTION,82,57,20,
LOS ANGELES,9000664B,3396,179,N,1029,TOTAL,180,127,37,
LOS ANGELES,9000725D,3420,179,N,970,POLLING PLACE,139,105,24,
LOS ANGELES,9000725D,3420,179,N,,VBM PORTION,56,46,7,
LOS ANGELES,9000725D,3420,179,N,970,TOTAL,195,151,31,
LOS ANGELES,9000782A,3440,179,N,697,POLLING PLACE,61,45,8,
LOS ANGELES,9000782A,3440,179,N,,VBM PORTION,35,23,5,
LOS ANGELES,9000782A,3440,179,N,697,TOTAL,96,68,13,
LOS ANGELES,9000810A,6278,189,Y,,POLLING PLACE,,,,
LOS ANGELES,9000810A,6278,189,Y,,VBM PORTION,,,,
LOS ANGELES,9000810A,6278,189,Y,,TOTAL,,,,
LOS ANGELES,9001100A,3585,183,N,717,POLLING PLACE,214,131,65,
LOS ANGELES,9001100A,3585,183,N,,VBM PORTION,69,32,26,
LOS ANGELES,9001100A,3585,183,N,717,TOTAL,283,163,91,
LOS ANGELES,9001135A,3599,183,N,337,POLLING PLACE,60,42,13,
LOS ANGELES,9001135A,3599,183,N,,VBM PORTION,53,29,24,
LOS ANGELES,9001135A,3599,183,N,337,TOTAL,113,71,37,
LOS ANGELES,9001135B,6280,184,Y,,POLLING PLACE,,,,
LOS ANGELES,9001135B,6280,184,Y,,VBM PORTION,,,,
LOS ANGELES,9001135B,6280,184,Y,,TOTAL,,,,
LOS ANGELES,9001190C,3622,183,N,1031,POLLING PLACE,200,132,56,
LOS ANGELES,9001190C,3622,183,N,,VBM PORTION,105,58,34,
LOS ANGELES,9001190C,3622,183,N,1031,TOTAL,305,190,90,
LOS ANGELES,9001195A,3624,179,N,926,POLLING PLACE,189,144,30,
LOS ANGELES,9001195A,3624,179,N,,VBM PORTION,43,33,10,
LOS ANGELES,9001195A,3624,179,N,926,TOTAL,232,177,40,
LOS ANGELES,9001196A,3625,179,N,1245,POLLING PLACE,220,175,33,
LOS ANGELES,9001196A,3625,179,N,,VBM PORTION,61,43,12,
LOS ANGELES,9001196A,3625,179,N,1245,TOTAL,281,218,45,
LOS ANGELES,9001212A,3630,183,N,1069,POLLING PLACE,359,288,41,
LOS ANGELES,9001212A,3630,183,N,,VBM PORTION,84,48,29,
LOS ANGELES,9001212A,3630,183,N,1069,TOTAL,443,336,70,
LOS ANGELES,9001218A,3631,183,N,618,POLLING PLACE,138,74,51,
LOS ANGELES,9001218A,3631,183,N,,VBM PORTION,72,40,27,
LOS ANGELES,9001218A,3631,183,N,618,TOTAL,210,114,78,
LOS ANGELES,9001219A,3632,183,N,760,POLLING PLACE,168,81,61,
LOS ANGELES,9001219A,3632,183,N,,VBM PORTION,93,58,29,
LOS ANGELES,9001219A,3632,183,N,760,TOTAL,261,139,90,
LOS ANGELES,9001224C,3634,179,N,801,POLLING PLACE,141,108,27,
LOS ANGELES,9001224C,3634,179,N,,VBM PORTION,110,70,34,
LOS ANGELES,9001224C,3634,179,N,801,TOTAL,251,178,61,
LOS ANGELES,9001226A,3635,179,N,1040,POLLING PLACE,210,163,31,
LOS ANGELES,9001226A,3635,179,N,,VBM PORTION,100,69,20,
LOS ANGELES,9001226A,3635,179,N,1040,TOTAL,310,232,51,
LOS ANGELES,9001231A,3636,179,N,893,POLLING PLACE,173,93,58,
LOS ANGELES,9001231A,3636,179,N,,VBM PORTION,117,70,40,
LOS ANGELES,9001231A,3636,179,N,893,TOTAL,290,163,98,
LOS ANGELES,9001233A,3638,179,N,1184,POLLING PLACE,277,219,36,
LOS ANGELES,9001233A,3638,179,N,,VBM PORTION,84,64,10,
LOS ANGELES,9001233A,3638,179,N,1184,TOTAL,361,283,46,
LOS ANGELES,9001296A,3660,185,N,1135,POLLING PLACE,195,153,31,
LOS ANGELES,9001296A,3660,185,N,,VBM PORTION,74,54,17,
LOS ANGELES,9001296A,3660,185,N,1135,TOTAL,269,207,48,
LOS ANGELES,9001299B,3661,185,N,1192,POLLING PLACE,195,145,37,
LOS ANGELES,9001299B,3661,185,N,,VBM PORTION,111,76,26,
LOS ANGELES,9001299B,3661,185,N,1192,TOTAL,306,221,63,
LOS ANGELES,9001303A,3662,185,N,1211,POLLING PLACE,217,149,46,
LOS ANGELES,9001303A,3662,185,N,,VBM PORTION,75,48,18,
LOS ANGELES,9001303A,3662,185,N,1211,TOTAL,292,197,64,
LOS ANGELES,9001306A,3663,183,N,1138,POLLING PLACE,312,174,116,
LOS ANGELES,9001306A,3663,183,N,,VBM PORTION,163,74,70,
LOS ANGELES,9001306A,3663,183,N,1138,TOTAL,475,248,186,
LOS ANGELES,9001307A,3664,183,N,1197,POLLING PLACE,279,167,90,
LOS ANGELES,9001307A,3664,183,N,,VBM PORTION,145,78,50,
LOS ANGELES,9001307A,3664,183,N,1197,TOTAL,424,245,140,
LOS ANGELES,9001310A,3666,183,N,1132,POLLING PLACE,242,163,54,
LOS ANGELES,9001310A,3666,183,N,,VBM PORTION,132,73,49,
LOS ANGELES,9001310A,3666,183,N,1132,TOTAL,374,236,103,
LOS ANGELES,9001312A,3667,183,N,779,POLLING PLACE,161,109,40,
LOS ANGELES,9001312A,3667,183,N,,VBM PORTION,53,39,10,
LOS ANGELES,9001312A,3667,183,N,779,TOTAL,214,148,50,
LOS ANGELES,9001316A,3669,183,N,1177,POLLING PLACE,239,165,50,
LOS ANGELES,9001316A,3669,183,N,,VBM PORTION,93,54,29,
LOS ANGELES,9001316A,3669,183,N,1177,TOTAL,332,219,79,
LOS ANGELES,9001318A,3670,183,N,1242,POLLING PLACE,197,132,52,
LOS ANGELES,9001318A,3670,183,N,,VBM PORTION,90,57,20,
LOS ANGELES,9001318A,3670,183,N,1242,TOTAL,287,189,72,
LOS ANGELES,9001326A,3674,183,N,1107,POLLING PLACE,141,97,30,
LOS ANGELES,9001326A,3674,183,N,,VBM PORTION,99,62,28,
LOS ANGELES,9001326A,3674,183,N,1107,TOTAL,240,159,58,
LOS ANGELES,9001342A,3683,183,N,724,POLLING PLACE,225,139,69,
LOS ANGELES,9001342A,3683,183,N,,VBM PORTION,58,31,22,
LOS ANGELES,9001342A,3683,183,N,724,TOTAL,283,170,91,
LOS ANGELES,9001343A,3684,183,N,1434,POLLING PLACE,318,202,96,
LOS ANGELES,9001343A,3684,183,N,,VBM PORTION,186,86,85,
LOS ANGELES,9001343A,3684,183,N,1434,TOTAL,504,288,181,
LOS ANGELES,9001350A,3688,183,N,1045,POLLING PLACE,194,127,55,
LOS ANGELES,9001350A,3688,183,N,,VBM PORTION,144,78,59,
LOS ANGELES,9001350A,3688,183,N,1045,TOTAL,338,205,114,
LOS ANGELES,9001352A,3689,183,N,1298,POLLING PLACE,274,136,108,
LOS ANGELES,9001352A,3689,183,N,,VBM PORTION,148,59,67,
LOS ANGELES,9001352A,3689,183,N,1298,TOTAL,422,195,175,
LOS ANGELES,9001354A,3691,183,N,460,POLLING PLACE,115,73,31,
LOS ANGELES,9001354A,3691,183,N,,VBM PORTION,76,36,34,
LOS ANGELES,9001354A,3691,183,N,460,TOTAL,191,109,65,
LOS ANGELES,9001355A,3692,183,N,574,POLLING PLACE,124,75,37,
LOS ANGELES,9001355A,3692,183,N,,VBM PORTION,87,50,34,
LOS ANGELES,9001355A,3692,183,N,574,TOTAL,211,125,71,
LOS ANGELES,9001357A,3693,183,N,972,POLLING PLACE,287,153,102,
LOS ANGELES,9001357A,3693,183,N,,VBM PORTION,136,95,34,
LOS ANGELES,9001357A,3693,183,N,972,TOTAL,423,248,136,
LOS ANGELES,9001358A,3694,183,N,846,POLLING PLACE,184,102,62,
LOS ANGELES,9001358A,3694,183,N,,VBM PORTION,141,63,62,
LOS ANGELES,9001358A,3694,183,N,846,TOTAL,325,165,124,
LOS ANGELES,9001361A,3695,183,N,875,POLLING PLACE,252,162,59,
LOS ANGELES,9001361A,3695,183,N,,VBM PORTION,89,55,21,
LOS ANGELES,9001361A,3695,183,N,875,TOTAL,341,217,80,
LOS ANGELES,9001364A,3696,183,N,745,POLLING PLACE,109,66,29,
LOS ANGELES,9001364A,3696,183,N,,VBM PORTION,150,80,54,
LOS ANGELES,9001364A,3696,183,N,745,TOTAL,259,146,83,
LOS ANGELES,9001366A,3697,183,N,829,POLLING PLACE,155,99,39,
LOS ANGELES,9001366A,3697,183,N,,VBM PORTION,125,60,48,
LOS ANGELES,9001366A,3697,183,N,829,TOTAL,280,159,87,
LOS ANGELES,9001374A,3700,183,N,1135,POLLING PLACE,356,234,106,
LOS ANGELES,9001374A,3700,183,N,,VBM PORTION,152,76,59,
LOS ANGELES,9001374A,3700,183,N,1135,TOTAL,508,310,165,
LOS ANGELES,9001382A,3702,183,N,1083,POLLING PLACE,311,201,92,
LOS ANGELES,9001382A,3702,183,N,,VBM PORTION,106,55,40,
LOS ANGELES,9001382A,3702,183,N,1083,TOTAL,417,256,132,
LOS ANGELES,9001391A,3705,183,N,1019,POLLING PLACE,203,136,50,
LOS ANGELES,9001391A,3705,183,N,,VBM PORTION,98,53,39,
LOS ANGELES,9001391A,3705,183,N,1019,TOTAL,301,189,89,
LOS ANGELES,9001402A,3707,183,N,755,POLLING PLACE,101,70,24,
LOS ANGELES,9001402A,3707,183,N,,VBM PORTION,125,47,59,
LOS ANGELES,9001402A,3707,183,N,755,TOTAL,226,117,83,
LOS ANGELES,9001408A,3710,183,N,628,POLLING PLACE,119,64,42,
LOS ANGELES,9001408A,3710,183,N,,VBM PORTION,78,40,28,
LOS ANGELES,9001408A,3710,183,N,628,TOTAL,197,104,70,
LOS ANGELES,9001413A,3712,183,N,1187,POLLING PLACE,198,123,54,
LOS ANGELES,9001413A,3712,183,N,,VBM PORTION,179,97,68,
LOS ANGELES,9001413A,3712,183,N,1187,TOTAL,377,220,122,
LOS ANGELES,9001418A,3713,183,N,938,POLLING PLACE,210,111,78,
LOS ANGELES,9001418A,3713,183,N,,VBM PORTION,117,58,52,
LOS ANGELES,9001418A,3713,183,N,938,TOTAL,327,169,130,
LOS ANGELES,9001418G,6284,183,Y,14,POLLING PLACE,,,,
LOS ANGELES,9001418G,6284,183,Y,,VBM PORTION,3,,3,
LOS ANGELES,9001418G,6284,183,Y,14,TOTAL,3,,3,
LOS ANGELES,9001421A,3715,179,N,1223,POLLING PLACE,230,181,36,
LOS ANGELES,9001421A,3715,179,N,,VBM PORTION,40,26,10,
LOS ANGELES,9001421A,3715,179,N,1223,TOTAL,270,207,46,
LOS ANGELES,9001426A,3717,179,N,1186,POLLING PLACE,182,144,30,
LOS ANGELES,9001426A,3717,179,N,,VBM PORTION,60,36,19,
LOS ANGELES,9001426A,3717,179,N,1186,TOTAL,242,180,49,
LOS ANGELES,9001428A,3718,179,N,1168,POLLING PLACE,234,178,36,
LOS ANGELES,9001428A,3718,179,N,,VBM PORTION,85,59,20,
LOS ANGELES,9001428A,3718,179,N,1168,TOTAL,319,237,56,
LOS ANGELES,9001429A,3719,179,N,1192,POLLING PLACE,260,208,36,
LOS ANGELES,9001429A,3719,179,N,,VBM PORTION,84,68,13,
LOS ANGELES,9001429A,3719,179,N,1192,TOTAL,344,276,49,
LOS ANGELES,9001433A,3720,179,N,1203,POLLING PLACE,219,179,25,
LOS ANGELES,9001433A,3720,179,N,,VBM PORTION,83,57,14,
LOS ANGELES,9001433A,3720,179,N,1203,TOTAL,302,236,39,
LOS ANGELES,9001435C,3722,179,N,1115,POLLING PLACE,237,192,32,
LOS ANGELES,9001435C,3722,179,N,,VBM PORTION,74,58,10,
LOS ANGELES,9001435C,3722,179,N,1115,TOTAL,311,250,42,
LOS ANGELES,9001436A,3723,179,N,1077,POLLING PLACE,228,175,37,
LOS ANGELES,9001436A,3723,179,N,,VBM PORTION,46,33,9,
LOS ANGELES,9001436A,3723,179,N,1077,TOTAL,274,208,46,
LOS ANGELES,9001436B,3724,179,N,847,POLLING PLACE,195,151,36,
LOS ANGELES,9001436B,3724,179,N,,VBM PORTION,39,31,7,
LOS ANGELES,9001436B,3724,179,N,847,TOTAL,234,182,43,
LOS ANGELES,9001438A,3725,183,N,1155,POLLING PLACE,149,100,40,
LOS ANGELES,9001438A,3725,183,N,,VBM PORTION,115,76,32,
LOS ANGELES,9001438A,3725,183,N,1155,TOTAL,264,176,72,
LOS ANGELES,9001441A,3727,183,N,1061,POLLING PLACE,155,102,41,
LOS ANGELES,9001441A,3727,183,N,,VBM PORTION,78,50,22,
LOS ANGELES,9001441A,3727,183,N,1061,TOTAL,233,152,63,
LOS ANGELES,9001442A,3728,183,N,815,POLLING PLACE,102,70,19,
LOS ANGELES,9001442A,3728,183,N,,VBM PORTION,80,50,18,
LOS ANGELES,9001442A,3728,183,N,815,TOTAL,182,120,37,
LOS ANGELES,9001444A,3729,185,N,1222,POLLING PLACE,177,120,40,
LOS ANGELES,9001444A,3729,185,N,,VBM PORTION,77,58,14,
LOS ANGELES,9001444A,3729,185,N,1222,TOTAL,254,178,54,
LOS ANGELES,9001449A,3730,185,N,1204,POLLING PLACE,187,142,33,
LOS ANGELES,9001449A,3730,185,N,,VBM PORTION,89,58,24,
LOS ANGELES,9001449A,3730,185,N,1204,TOTAL,276,200,57,
LOS ANGELES,9001450A,3731,186,N,524,POLLING PLACE,125,102,14,
LOS ANGELES,9001450A,3731,186,N,,VBM PORTION,42,30,11,
LOS ANGELES,9001450A,3731,186,N,524,TOTAL,167,132,25,
LOS ANGELES,9001457A,3738,187,N,1245,POLLING PLACE,227,142,65,
LOS ANGELES,9001457A,3738,187,N,,VBM PORTION,127,74,41,
LOS ANGELES,9001457A,3738,187,N,1245,TOTAL,354,216,106,
LOS ANGELES,9001461A,3739,187,N,1005,POLLING PLACE,157,98,49,
LOS ANGELES,9001461A,3739,187,N,,VBM PORTION,44,20,23,
LOS ANGELES,9001461A,3739,187,N,1005,TOTAL,201,118,72,
LOS ANGELES,9001463A,3740,187,N,1109,POLLING PLACE,198,120,71,
LOS ANGELES,9001463A,3740,187,N,,VBM PORTION,97,55,30,
LOS ANGELES,9001463A,3740,187,N,1109,TOTAL,295,175,101,
LOS ANGELES,9001480A,3748,185,N,1116,POLLING PLACE,215,154,46,
LOS ANGELES,9001480A,3748,185,N,,VBM PORTION,49,35,10,
LOS ANGELES,9001480A,3748,185,N,1116,TOTAL,264,189,56,
LOS ANGELES,9001573A,3789,179,N,667,POLLING PLACE,61,49,10,
LOS ANGELES,9001573A,3789,179,N,,VBM PORTION,43,31,11,
LOS ANGELES,9001573A,3789,179,N,667,TOTAL,104,80,21,
LOS ANGELES,9001575A,3790,179,N,1068,POLLING PLACE,127,97,21,
LOS ANGELES,9001575A,3790,179,N,,VBM PORTION,64,48,12,
LOS ANGELES,9001575A,3790,179,N,1068,TOTAL,191,145,33,
LOS ANGELES,9001576A,3791,179,N,913,POLLING PLACE,121,85,25,
LOS ANGELES,9001576A,3791,179,N,,VBM PORTION,37,30,3,
LOS ANGELES,9001576A,3791,179,N,913,TOTAL,158,115,28,
LOS ANGELES,9001578A,3793,179,N,841,POLLING PLACE,67,47,11,
LOS ANGELES,9001578A,3793,179,N,,VBM PORTION,37,17,14,
LOS ANGELES,9001578A,3793,179,N,841,TOTAL,104,64,25,
LOS ANGELES,9001600A,3800,179,N,855,POLLING PLACE,114,87,20,
LOS ANGELES,9001600A,3800,179,N,,VBM PORTION,37,29,7,
LOS ANGELES,9001600A,3800,179,N,855,TOTAL,151,116,27,
LOS ANGELES,9001603A,3802,179,N,1233,POLLING PLACE,214,178,26,
LOS ANGELES,9001603A,3802,179,N,,VBM PORTION,86,57,26,
LOS ANGELES,9001603A,3802,179,N,1233,TOTAL,300,235,52,
LOS ANGELES,9001605B,3803,179,N,1199,POLLING PLACE,206,155,34,
LOS ANGELES,9001605B,3803,179,N,,VBM PORTION,91,54,30,
LOS ANGELES,9001605B,3803,179,N,1199,TOTAL,297,209,64,
LOS ANGELES,9001608A,3804,183,N,1289,POLLING PLACE,327,242,71,
LOS ANGELES,9001608A,3804,183,N,,VBM PORTION,87,57,28,
LOS ANGELES,9001608A,3804,183,N,1289,TOTAL,414,299,99,
LOS ANGELES,9001613D,3806,183,N,602,POLLING PLACE,115,69,39,
LOS ANGELES,9001613D,3806,183,N,,VBM PORTION,83,24,44,
LOS ANGELES,9001613D,3806,183,N,602,TOTAL,198,93,83,
LOS ANGELES,9001623A,3810,183,N,834,POLLING PLACE,203,118,77,
LOS ANGELES,9001623A,3810,183,N,,VBM PORTION,77,43,31,
LOS ANGELES,9001623A,3810,183,N,834,TOTAL,280,161,108,
LOS ANGELES,9001630A,3813,179,N,840,POLLING PLACE,135,112,15,
LOS ANGELES,9001630A,3813,179,N,,VBM PORTION,31,26,3,
LOS ANGELES,9001630A,3813,179,N,840,TOTAL,166,138,18,
LOS ANGELES,9001711A,3838,186,N,1016,POLLING PLACE,233,190,26,
LOS ANGELES,9001711A,3838,186,N,,VBM PORTION,63,43,12,
LOS ANGELES,9001711A,3838,186,N,1016,TOTAL,296,233,38,
LOS ANGELES,9001733A,3850,179,N,1108,POLLING PLACE,227,178,36,
LOS ANGELES,9001733A,3850,179,N,,VBM PORTION,74,50,21,
LOS ANGELES,9001733A,3850,179,N,1108,TOTAL,301,228,57,
LOS ANGELES,9001951A,3941,179,N,922,POLLING PLACE,152,124,17,
LOS ANGELES,9001951A,3941,179,N,,VBM PORTION,52,37,11,
LOS ANGELES,9001951A,3941,179,N,922,TOTAL,204,161,28,
LOS ANGELES,9002225A,4069,179,N,948,POLLING PLACE,169,144,16,
LOS ANGELES,9002225A,4069,179,N,,VBM PORTION,52,39,11,
LOS ANGELES,9002225A,4069,179,N,948,TOTAL,221,183,27,
LOS ANGELES,9002231A,4070,183,N,947,POLLING PLACE,160,113,37,
LOS ANGELES,9002231A,4070,183,N,,VBM PORTION,62,40,20,
LOS ANGELES,9002231A,4070,183,N,947,TOTAL,222,153,57,
LOS ANGELES,9002232A,4071,183,N,990,POLLING PLACE,219,175,23,
LOS ANGELES,9002232A,4071,183,N,,VBM PORTION,36,27,8,
