LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GERRIE SCHIPSKE,TONIA REYES URANGA,JOHN ALLEN,LARRY S ANDRE,LYNN V DYMALLY,MASON B INOCENTES,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,14,61,26,2,15,9,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,4,8,5,1,3,1,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,18,69,31,3,18,10,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,12,29,46,15,24,10,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,4,17,24,20,24,3,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,16,46,70,35,48,13,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,21,19,32,18,34,7,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,6,2,20,10,18,2,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,27,21,52,28,52,9,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,14,17,39,20,22,17,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,5,7,14,5,8,7,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,19,24,53,25,30,24,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,16,32,51,7,18,9,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,4,2,29,9,16,4,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,20,34,80,16,34,13,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,19,19,37,19,22,11,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,4,6,31,2,18,6,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,23,25,68,21,40,17,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,17,19,26,15,20,9,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,12,7,21,11,20,1,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,29,26,47,26,40,10,
BONNER,0930001A,294,396,N,983,POLLING PLACE,257,47,16,89,15,32,11,
BONNER,0930001A,294,396,N,,VBM PORTION,93,12,7,29,5,12,9,
BONNER,0930001A,294,396,N,983,TOTAL,350,59,23,118,20,44,20,
CERRITOS,1070001A,434,275,N,1006,POLLING PLACE,166,17,17,42,5,28,10,
CERRITOS,1070001A,434,275,N,,VBM PORTION,128,5,9,29,1,17,8,
CERRITOS,1070001A,434,275,N,1006,TOTAL,294,22,26,71,6,45,18,
CERRITOS,1070002A,435,278,N,1059,POLLING PLACE,208,21,16,58,20,30,17,
CERRITOS,1070002A,435,278,N,,VBM PORTION,111,13,6,32,3,15,11,
CERRITOS,1070002A,435,278,N,1059,TOTAL,319,34,22,90,23,45,28,
CERRITOS,1070003A,436,287,N,727,POLLING PLACE,180,25,16,44,13,25,11,
CERRITOS,1070003A,436,287,N,,VBM PORTION,59,3,6,13,,15,4,
CERRITOS,1070003A,436,287,N,727,TOTAL,239,28,22,57,13,40,15,
CERRITOS,1070004A,437,287,N,593,POLLING PLACE,153,12,14,25,14,37,12,
CERRITOS,1070004A,437,287,N,,VBM PORTION,65,3,,23,2,15,5,
CERRITOS,1070004A,437,287,N,593,TOTAL,218,15,14,48,16,52,17,
CERRITOS,1070006A,438,275,N,927,POLLING PLACE,178,11,18,42,14,32,10,
CERRITOS,1070006A,438,275,N,,VBM PORTION,114,11,7,24,9,9,4,
CERRITOS,1070006A,438,275,N,927,TOTAL,292,22,25,66,23,41,14,
CERRITOS,1070007A,439,275,N,818,POLLING PLACE,143,15,20,27,6,31,10,
CERRITOS,1070007A,439,275,N,,VBM PORTION,80,4,9,18,5,17,8,
CERRITOS,1070007A,439,275,N,818,TOTAL,223,19,29,45,11,48,18,
CERRITOS,1070008A,440,275,N,779,POLLING PLACE,158,17,22,40,7,28,15,
CERRITOS,1070008A,440,275,N,,VBM PORTION,103,2,6,25,10,24,2,
CERRITOS,1070008A,440,275,N,779,TOTAL,261,19,28,65,17,52,17,
CERRITOS,1070010A,441,275,N,1262,POLLING PLACE,287,27,32,83,22,43,12,
