LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON,G RICK MARSHALL,
AGOURA,0070001A,7,115,N,862,POLLING PLACE,136,43,69,
AGOURA,0070001A,7,115,N,,VBM PORTION,126,37,74,
AGOURA,0070001A,7,115,N,862,TOTAL,262,80,143,
AGOURA,0070002A,6005,190,Y,101,POLLING PLACE,,,,
AGOURA,0070002A,6005,190,Y,,VBM PORTION,15,7,3,
AGOURA,0070002A,6005,190,Y,101,TOTAL,15,7,3,
AGOURA,0070004A,8,190,N,710,POLLING PLACE,168,62,94,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,36,45,
AGOURA,0070004A,8,190,N,710,TOTAL,252,98,139,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,74,52,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,14,25,
AGOURA,0070004C,9,191,N,369,TOTAL,185,88,77,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,5,6,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,5,6,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,167,118,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,62,55,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,229,173,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,11,4,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,11,4,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,94,84,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,28,30,
AGOURA,0070041A,11,189,N,675,TOTAL,260,122,114,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,3,5,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,3,5,
