LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NOEL A JAIMES,L HILARY BARBA,JAMES E BECERRA,ROBERT O APODACA,TOM MALKASIAN,
CERRITOS,1070048B,6049,271,Y,36,POLLING PLACE,,,,,,,
CERRITOS,1070048B,6049,271,Y,,VBM PORTION,6,,,,,,
CERRITOS,1070048B,6049,271,Y,36,TOTAL,6,,,,,,
EAST WHITTIER,2050001F,6071,264,Y,33,POLLING PLACE,,,,,,,
EAST WHITTIER,2050001F,6071,264,Y,,VBM PORTION,4,,,,4,,
EAST WHITTIER,2050001F,6071,264,Y,33,TOTAL,4,,,,4,,
EAST WHITTIER,2050048A,794,264,N,456,POLLING PLACE,122,7,7,14,22,30,
EAST WHITTIER,2050048A,794,264,N,,VBM PORTION,53,7,3,9,12,13,
EAST WHITTIER,2050048A,794,264,N,456,TOTAL,175,14,10,23,34,43,
EAST WHITTIER,2050063A,6072,255,Y,,POLLING PLACE,,,,,,,
EAST WHITTIER,2050063A,6072,255,Y,,VBM PORTION,,,,,,,
EAST WHITTIER,2050063A,6072,255,Y,,TOTAL,,,,,,,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,POLLING PLACE,14,,4,1,4,3,
HACIENDA HEIGHTS,2630010A,1019,265,N,,VBM PORTION,18,,1,,7,2,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,TOTAL,32,,5,1,11,5,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,POLLING PLACE,109,13,5,19,13,25,
LA HABRA HEIGHTS,3230001A,1195,264,N,,VBM PORTION,59,11,4,5,11,8,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,TOTAL,168,24,9,24,24,33,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,POLLING PLACE,235,35,16,26,42,55,
LA HABRA HEIGHTS,3230003A,1196,264,N,,VBM PORTION,126,14,6,5,19,31,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,TOTAL,361,49,22,31,61,86,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,POLLING PLACE,210,20,14,20,42,53,
LA HABRA HEIGHTS,3230004A,1197,264,N,,VBM PORTION,171,16,7,10,48,44,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,TOTAL,381,36,21,30,90,97,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,POLLING PLACE,170,12,14,16,22,43,
LA HABRA HEIGHTS,3230006A,1198,264,N,,VBM PORTION,111,7,3,3,29,32,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,TOTAL,281,19,17,19,51,75,
LA HABRA HEIGHTS,3230009A,1199,263,N,362,POLLING PLACE,95,8,3,7,9,41,
LA HABRA HEIGHTS,3230009A,1199,263,N,,VBM PORTION,54,8,,3,8,23,
LA HABRA HEIGHTS,3230009A,1199,263,N,362,TOTAL,149,16,3,10,17,64,
LA MIRADA,3300001A,1200,252,N,1018,POLLING PLACE,254,33,28,26,55,50,
LA MIRADA,3300001A,1200,252,N,,VBM PORTION,77,13,12,3,15,14,
LA MIRADA,3300001A,1200,252,N,1018,TOTAL,331,46,40,29,70,64,
LA MIRADA,3300003A,1201,252,N,1227,POLLING PLACE,280,49,18,29,72,68,
LA MIRADA,3300003A,1201,252,N,,VBM PORTION,102,19,1,18,28,14,
LA MIRADA,3300003A,1201,252,N,1227,TOTAL,382,68,19,47,100,82,
LA MIRADA,3300006A,1202,252,N,956,POLLING PLACE,204,19,10,20,51,44,
LA MIRADA,3300006A,1202,252,N,,VBM PORTION,113,23,8,13,28,13,
LA MIRADA,3300006A,1202,252,N,956,TOTAL,317,42,18,33,79,57,
LA MIRADA,3300007A,1203,252,N,1182,POLLING PLACE,297,42,27,35,64,57,
LA MIRADA,3300007A,1203,252,N,,VBM PORTION,102,11,7,7,26,29,
LA MIRADA,3300007A,1203,252,N,1182,TOTAL,399,53,34,42,90,86,
LA MIRADA,3300008C,1204,252,N,997,POLLING PLACE,252,43,21,23,48,50,
LA MIRADA,3300008C,1204,252,N,,VBM PORTION,74,11,7,5,22,11,
LA MIRADA,3300008C,1204,252,N,997,TOTAL,326,54,28,28,70,61,
LA MIRADA,3300009A,1205,252,N,677,POLLING PLACE,132,19,14,15,26,25,
LA MIRADA,3300009A,1205,252,N,,VBM PORTION,46,9,1,4,11,8,
LA MIRADA,3300009A,1205,252,N,677,TOTAL,178,28,15,19,37,33,
LA MIRADA,3300010A,1206,252,N,1313,POLLING PLACE,260,33,22,37,57,42,
LA MIRADA,3300010A,1206,252,N,,VBM PORTION,118,13,8,10,28,30,
LA MIRADA,3300010A,1206,252,N,1313,TOTAL,378,46,30,47,85,72,
LA MIRADA,3300012A,6116,257,Y,,POLLING PLACE,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,VBM PORTION,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,TOTAL,,,,,,,
LA MIRADA,3300014A,1207,252,N,1011,POLLING PLACE,157,18,18,12,29,30,
LA MIRADA,3300014A,1207,252,N,,VBM PORTION,80,12,7,11,22,13,
LA MIRADA,3300014A,1207,252,N,1011,TOTAL,237,30,25,23,51,43,
LA MIRADA,3300015A,1208,260,N,1146,POLLING PLACE,249,34,19,29,59,60,
