LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SHELLEY SORSABAL,CHARLIE O'LOUGHLIN,
DEL SUR,1750007C,6062,15,Y,,POLLING PLACE,,,,
DEL SUR,1750007C,6062,15,Y,,VBM PORTION,,,,
DEL SUR,1750007C,6062,15,Y,,TOTAL,,,,
DEL SUR,1750054A,623,7,N,562,POLLING PLACE,133,67,46,
DEL SUR,1750054A,623,7,N,,VBM PORTION,96,50,31,
DEL SUR,1750054A,623,7,N,562,TOTAL,229,117,77,
DEL SUR,1750055A,624,1,N,1404,POLLING PLACE,376,166,180,
DEL SUR,1750055A,624,1,N,,VBM PORTION,170,63,85,
DEL SUR,1750055A,624,1,N,1404,TOTAL,546,229,265,
GORMAN,2610001A,6091,15,Y,49,POLLING PLACE,,,,
GORMAN,2610001A,6091,15,Y,,VBM PORTION,10,2,6,
GORMAN,2610001A,6091,15,Y,49,TOTAL,10,2,6,
LANCASTER,3550024C,6127,4,Y,,POLLING PLACE,,,,
LANCASTER,3550024C,6127,4,Y,,VBM PORTION,,,,
LANCASTER,3550024C,6127,4,Y,,TOTAL,,,,
LANCASTER,3550034A,1338,7,N,961,POLLING PLACE,107,44,49,
LANCASTER,3550034A,1338,7,N,,VBM PORTION,48,21,12,
LANCASTER,3550034A,1338,7,N,961,TOTAL,155,65,61,
LANCASTER,3550036A,1340,7,N,884,POLLING PLACE,93,28,52,
LANCASTER,3550036A,1340,7,N,,VBM PORTION,69,23,26,
LANCASTER,3550036A,1340,7,N,884,TOTAL,162,51,78,
LANCASTER,3550041A,1342,7,N,933,POLLING PLACE,135,62,52,
LANCASTER,3550041A,1342,7,N,,VBM PORTION,75,23,42,
LANCASTER,3550041A,1342,7,N,933,TOTAL,210,85,94,
LANCASTER,3550050A,1348,7,N,1535,POLLING PLACE,151,60,66,
LANCASTER,3550050A,1348,7,N,,VBM PORTION,115,44,36,
LANCASTER,3550050A,1348,7,N,1535,TOTAL,266,104,102,
LANCASTER,3550078A,1361,1,N,628,POLLING PLACE,72,32,28,
LANCASTER,3550078A,1361,1,N,,VBM PORTION,44,18,16,
LANCASTER,3550078A,1361,1,N,628,TOTAL,116,50,44,
LANCASTER,3550082A,1364,1,N,928,POLLING PLACE,222,113,81,
LANCASTER,3550082A,1364,1,N,,VBM PORTION,111,41,41,
LANCASTER,3550082A,1364,1,N,928,TOTAL,333,154,122,
LANCASTER,3550086B,1366,1,N,1109,POLLING PLACE,200,94,82,
LANCASTER,3550086B,1366,1,N,,VBM PORTION,96,45,34,
LANCASTER,3550086B,1366,1,N,1109,TOTAL,296,139,116,
LANCASTER,3550095A,1372,7,N,1488,POLLING PLACE,227,100,88,
LANCASTER,3550095A,1372,7,N,,VBM PORTION,105,42,43,
LANCASTER,3550095A,1372,7,N,1488,TOTAL,332,142,131,
LANCASTER,3550096A,1373,7,N,1369,POLLING PLACE,126,54,56,
LANCASTER,3550096A,1373,7,N,,VBM PORTION,75,37,30,
LANCASTER,3550096A,1373,7,N,1369,TOTAL,201,91,86,
LANCASTER,3550101A,1377,1,N,677,POLLING PLACE,115,61,35,
LANCASTER,3550101A,1377,1,N,,VBM PORTION,58,40,11,
LANCASTER,3550101A,1377,1,N,677,TOTAL,173,101,46,
LANCASTER,3550101D,6132,4,Y,,POLLING PLACE,,,,
LANCASTER,3550101D,6132,4,Y,,VBM PORTION,,,,
LANCASTER,3550101D,6132,4,Y,,TOTAL,,,,
LANCASTER,3550101E,1378,1,N,793,POLLING PLACE,169,87,60,
LANCASTER,3550101E,1378,1,N,,VBM PORTION,57,26,19,
LANCASTER,3550101E,1378,1,N,793,TOTAL,226,113,79,
LANCASTER,3550107A,1379,1,N,1038,POLLING PLACE,179,71,77,
LANCASTER,3550107A,1379,1,N,,VBM PORTION,71,37,23,
LANCASTER,3550107A,1379,1,N,1038,TOTAL,250,108,100,
NEENACH,4650001A,1835,7,N,457,POLLING PLACE,116,58,43,
NEENACH,4650001A,1835,7,N,,VBM PORTION,89,43,27,
NEENACH,4650001A,1835,7,N,457,TOTAL,205,101,70,
NEENACH,4650002H,6162,15,Y,,POLLING PLACE,,,,
NEENACH,4650002H,6162,15,Y,,VBM PORTION,,,,
NEENACH,4650002H,6162,15,Y,,TOTAL,,,,
PALMDALE,5000055A,1934,7,N,1433,POLLING PLACE,333,173,107,
PALMDALE,5000055A,1934,7,N,,VBM PORTION,216,123,50,
PALMDALE,5000055A,1934,7,N,1433,TOTAL,549,296,157,
PALMDALE,5000055E,6177,15,Y,,POLLING PLACE,,,,
PALMDALE,5000055E,6177,15,Y,,VBM PORTION,,,,
PALMDALE,5000055E,6177,15,Y,,TOTAL,,,,
BALLOT GROUP 1,9990001A,8001,1,N,,POLLING PLACE,,,,
BALLOT GROUP 1,9990001A,8001,1,N,,VBM PORTION,,,,
BALLOT GROUP 1,9990001A,8001,1,N,,TOTAL,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,POLLING PLACE,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,VBM PORTION,,,,
BALLOT GROUP 4,9990004A,8004,4,N,,TOTAL,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,POLLING PLACE,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,VBM PORTION,,,,
BALLOT GROUP 7,9990007A,8007,7,N,,TOTAL,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,POLLING PLACE,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,VBM PORTION,,,,
BALLOT GROUP 15,9990015A,8015,15,N,,TOTAL,,,,
