LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATTY LOPEZ,RAUL BOCANEGRA,
LOS ANGELES,9002796A,4274,70,N,666,TOTAL,186,74,69,
LOS ANGELES,9002811A,4278,59,N,1069,POLLING PLACE,142,64,70,
LOS ANGELES,9002811A,4278,59,N,,VBM PORTION,37,10,18,
LOS ANGELES,9002811A,4278,59,N,1069,TOTAL,179,74,88,
LOS ANGELES,9002824A,4281,55,N,1144,POLLING PLACE,170,82,69,
LOS ANGELES,9002824A,4281,55,N,,VBM PORTION,45,17,23,
LOS ANGELES,9002824A,4281,55,N,1144,TOTAL,215,99,92,
LOS ANGELES,9002888A,4289,55,N,1048,POLLING PLACE,168,60,94,
LOS ANGELES,9002888A,4289,55,N,,VBM PORTION,31,14,14,
LOS ANGELES,9002888A,4289,55,N,1048,TOTAL,199,74,108,
LOS ANGELES,9002894A,4294,55,N,1053,POLLING PLACE,177,61,94,
LOS ANGELES,9002894A,4294,55,N,,VBM PORTION,46,15,28,
LOS ANGELES,9002894A,4294,55,N,1053,TOTAL,223,76,122,
LOS ANGELES,9002903B,4296,55,N,986,POLLING PLACE,135,61,68,
LOS ANGELES,9002903B,4296,55,N,,VBM PORTION,31,14,15,
LOS ANGELES,9002903B,4296,55,N,986,TOTAL,166,75,83,
LOS ANGELES,9002988A,4309,59,N,1105,POLLING PLACE,170,72,86,
LOS ANGELES,9002988A,4309,59,N,,VBM PORTION,40,21,17,
LOS ANGELES,9002988A,4309,59,N,1105,TOTAL,210,93,103,
LOS ANGELES,9003374A,4343,71,N,1162,POLLING PLACE,159,76,52,
LOS ANGELES,9003374A,4343,71,N,,VBM PORTION,67,29,34,
LOS ANGELES,9003374A,4343,71,N,1162,TOTAL,226,105,86,
LOS ANGELES,9003448A,4347,59,N,884,POLLING PLACE,105,49,43,
LOS ANGELES,9003448A,4347,59,N,,VBM PORTION,71,25,31,
LOS ANGELES,9003448A,4347,59,N,884,TOTAL,176,74,74,
LOS ANGELES,9003606A,4357,55,N,1160,POLLING PLACE,238,116,87,
LOS ANGELES,9003606A,4357,55,N,,VBM PORTION,88,36,38,
LOS ANGELES,9003606A,4357,55,N,1160,TOTAL,326,152,125,
LOS ANGELES,9003613A,4358,58,N,932,POLLING PLACE,196,63,76,
LOS ANGELES,9003613A,4358,58,N,,VBM PORTION,92,25,26,
LOS ANGELES,9003613A,4358,58,N,932,TOTAL,288,88,102,
LOS ANGELES,9003614A,4359,58,N,1185,POLLING PLACE,271,101,120,
LOS ANGELES,9003614A,4359,58,N,,VBM PORTION,83,34,33,
LOS ANGELES,9003614A,4359,58,N,1185,TOTAL,354,135,153,
LOS ANGELES,9003998D,4381,59,N,394,POLLING PLACE,60,30,24,
LOS ANGELES,9003998D,4381,59,N,,VBM PORTION,18,9,9,
LOS ANGELES,9003998D,4381,59,N,394,TOTAL,78,39,33,
LOS ANGELES,9004212B,4388,55,N,465,POLLING PLACE,149,48,67,
LOS ANGELES,9004212B,4388,55,N,,VBM PORTION,63,27,25,
LOS ANGELES,9004212B,4388,55,N,465,TOTAL,212,75,92,
LOS ANGELES,9004226A,4393,55,N,1082,POLLING PLACE,156,78,63,
LOS ANGELES,9004226A,4393,55,N,,VBM PORTION,50,21,22,
LOS ANGELES,9004226A,4393,55,N,1082,TOTAL,206,99,85,
LOS ANGELES,9005635A,4466,59,N,768,POLLING PLACE,130,54,69,
LOS ANGELES,9005635A,4466,59,N,,VBM PORTION,43,15,27,
LOS ANGELES,9005635A,4466,59,N,768,TOTAL,173,69,96,
LOS ANGELES,9005638A,4467,59,N,1097,POLLING PLACE,136,60,62,
LOS ANGELES,9005638A,4467,59,N,,VBM PORTION,70,27,34,
LOS ANGELES,9005638A,4467,59,N,1097,TOTAL,206,87,96,
LOS ANGELES,9005645A,4468,71,N,687,POLLING PLACE,158,75,60,
LOS ANGELES,9005645A,4468,71,N,,VBM PORTION,43,16,21,
LOS ANGELES,9005645A,4468,71,N,687,TOTAL,201,91,81,
LOS ANGELES,9005651A,4469,71,N,1061,POLLING PLACE,180,70,62,
LOS ANGELES,9005651A,4469,71,N,,VBM PORTION,58,15,25,
LOS ANGELES,9005651A,4469,71,N,1061,TOTAL,238,85,87,
LOS ANGELES,9005656A,4470,71,N,702,POLLING PLACE,186,82,50,
LOS ANGELES,9005656A,4470,71,N,,VBM PORTION,65,19,23,
LOS ANGELES,9005656A,4470,71,N,702,TOTAL,251,101,73,
LOS ANGELES,9005662A,4471,60,N,984,POLLING PLACE,180,71,91,
LOS ANGELES,9005662A,4471,60,N,,VBM PORTION,31,11,17,
LOS ANGELES,9005662A,4471,60,N,984,TOTAL,211,82,108,
LOS ANGELES,9005663A,4472,60,N,1095,POLLING PLACE,175,76,73,
LOS ANGELES,9005663A,4472,60,N,,VBM PORTION,63,29,24,
LOS ANGELES,9005663A,4472,60,N,1095,TOTAL,238,105,97,
LOS ANGELES,9005666A,4473,55,N,1082,POLLING PLACE,171,52,98,
LOS ANGELES,9005666A,4473,55,N,,VBM PORTION,18,6,12,
LOS ANGELES,9005666A,4473,55,N,1082,TOTAL,189,58,110,
LOS ANGELES,9005667A,4474,71,N,1010,POLLING PLACE,197,77,75,
LOS ANGELES,9005667A,4474,71,N,,VBM PORTION,75,32,33,
LOS ANGELES,9005667A,4474,71,N,1010,TOTAL,272,109,108,
LOS ANGELES,9005669A,4475,55,N,1151,POLLING PLACE,200,91,92,
LOS ANGELES,9005669A,4475,55,N,,VBM PORTION,55,29,19,
LOS ANGELES,9005669A,4475,55,N,1151,TOTAL,255,120,111,
LOS ANGELES,9006197A,4497,55,N,679,POLLING PLACE,124,52,57,
LOS ANGELES,9006197A,4497,55,N,,VBM PORTION,44,21,17,
LOS ANGELES,9006197A,4497,55,N,679,TOTAL,168,73,74,
LOS ANGELES,9006203B,4498,55,N,666,POLLING PLACE,120,57,50,
LOS ANGELES,9006203B,4498,55,N,,VBM PORTION,45,12,18,
LOS ANGELES,9006203B,4498,55,N,666,TOTAL,165,69,68,
LOS ANGELES,9006206A,4499,55,N,1008,POLLING PLACE,157,70,70,
LOS ANGELES,9006206A,4499,55,N,,VBM PORTION,32,15,14,
LOS ANGELES,9006206A,4499,55,N,1008,TOTAL,189,85,84,
LOS ANGELES,9006209A,4500,55,N,963,POLLING PLACE,195,84,95,
LOS ANGELES,9006209A,4500,55,N,,VBM PORTION,64,29,28,
LOS ANGELES,9006209A,4500,55,N,963,TOTAL,259,113,123,
LOS ANGELES,9006212B,4501,55,N,876,POLLING PLACE,184,69,82,
LOS ANGELES,9006212B,4501,55,N,,VBM PORTION,31,13,15,
LOS ANGELES,9006212B,4501,55,N,876,TOTAL,215,82,97,
LOS ANGELES,9006214A,4502,55,N,906,POLLING PLACE,148,59,84,
LOS ANGELES,9006214A,4502,55,N,,VBM PORTION,49,20,20,
LOS ANGELES,9006214A,4502,55,N,906,TOTAL,197,79,104,
LOS ANGELES,9006216A,4503,55,N,729,POLLING PLACE,141,56,77,
LOS ANGELES,9006216A,4503,55,N,,VBM PORTION,33,16,11,
LOS ANGELES,9006216A,4503,55,N,729,TOTAL,174,72,88,
LOS ANGELES,9006217A,4504,55,N,719,POLLING PLACE,111,46,51,
LOS ANGELES,9006217A,4504,55,N,,VBM PORTION,41,17,17,
LOS ANGELES,9006217A,4504,55,N,719,TOTAL,152,63,68,
LOS ANGELES,9006218A,4505,55,N,956,POLLING PLACE,151,70,50,
LOS ANGELES,9006218A,4505,55,N,,VBM PORTION,41,19,18,
LOS ANGELES,9006218A,4505,55,N,956,TOTAL,192,89,68,
LOS ANGELES,9006219A,4506,58,N,1110,POLLING PLACE,251,102,85,
LOS ANGELES,9006219A,4506,58,N,,VBM PORTION,99,38,34,
LOS ANGELES,9006219A,4506,58,N,1110,TOTAL,350,140,119,
LOS ANGELES,9006224A,4507,55,N,832,POLLING PLACE,134,50,71,
LOS ANGELES,9006224A,4507,55,N,,VBM PORTION,59,7,41,
LOS ANGELES,9006224A,4507,55,N,832,TOTAL,193,57,112,
LOS ANGELES,9007307A,4626,71,N,707,POLLING PLACE,194,75,73,
LOS ANGELES,9007307A,4626,71,N,,VBM PORTION,37,9,16,
LOS ANGELES,9007307A,4626,71,N,707,TOTAL,231,84,89,
LOS ANGELES,9007311A,4627,71,N,1084,POLLING PLACE,290,124,121,
LOS ANGELES,9007311A,4627,71,N,,VBM PORTION,90,29,30,
LOS ANGELES,9007311A,4627,71,N,1084,TOTAL,380,153,151,
LOS ANGELES,9007313A,4628,71,N,959,POLLING PLACE,197,76,76,
LOS ANGELES,9007313A,4628,71,N,,VBM PORTION,96,35,31,
LOS ANGELES,9007313A,4628,71,N,959,TOTAL,293,111,107,
LOS ANGELES,9007321A,4629,71,N,689,POLLING PLACE,169,61,55,
LOS ANGELES,9007321A,4629,71,N,,VBM PORTION,80,28,22,
LOS ANGELES,9007321A,4629,71,N,689,TOTAL,249,89,77,
LOS ANGELES,9007323A,4630,71,N,848,POLLING PLACE,194,72,63,
LOS ANGELES,9007323A,4630,71,N,,VBM PORTION,63,21,23,
LOS ANGELES,9007323A,4630,71,N,848,TOTAL,257,93,86,
LOS ANGELES,9007333A,4631,71,N,828,POLLING PLACE,167,69,50,
LOS ANGELES,9007333A,4631,71,N,,VBM PORTION,54,18,14,
LOS ANGELES,9007333A,4631,71,N,828,TOTAL,221,87,64,
LOS ANGELES,9007341A,4632,60,N,539,POLLING PLACE,70,33,27,
LOS ANGELES,9007341A,4632,60,N,,VBM PORTION,19,2,13,
LOS ANGELES,9007341A,4632,60,N,539,TOTAL,89,35,40,
LOS ANGELES,9007735A,4649,55,N,1043,POLLING PLACE,169,82,72,
LOS ANGELES,9007735A,4649,55,N,,VBM PORTION,50,17,27,
LOS ANGELES,9007735A,4649,55,N,1043,TOTAL,219,99,99,
LOS ANGELES,9007737A,4650,55,N,1004,POLLING PLACE,168,73,75,
LOS ANGELES,9007737A,4650,55,N,,VBM PORTION,52,19,18,
LOS ANGELES,9007737A,4650,55,N,1004,TOTAL,220,92,93,
LOS ANGELES,9007744A,4651,55,N,1190,POLLING PLACE,186,88,87,
LOS ANGELES,9007744A,4651,55,N,,VBM PORTION,64,32,25,
LOS ANGELES,9007744A,4651,55,N,1190,TOTAL,250,120,112,
LOS ANGELES,9008147A,4683,55,N,1061,POLLING PLACE,212,100,98,
LOS ANGELES,9008147A,4683,55,N,,VBM PORTION,37,11,21,
LOS ANGELES,9008147A,4683,55,N,1061,TOTAL,249,111,119,
BALLOT GROUP 55,9990055A,8055,55,N,,POLLING PLACE,,,,
BALLOT GROUP 55,9990055A,8055,55,N,,VBM PORTION,,,,
BALLOT GROUP 55,9990055A,8055,55,N,,TOTAL,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,POLLING PLACE,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,VBM PORTION,,,,
BALLOT GROUP 56,9990056A,8056,56,N,,TOTAL,,,,
BALLOT GROUP 57,9990057A,8057,57,N,,POLLING PLACE,,,,
BALLOT GROUP 57,9990057A,8057,57,N,,VBM PORTION,,,,
BALLOT GROUP 57,9990057A,8057,57,N,,TOTAL,,,,
BALLOT GROUP 58,9990058A,8058,58,N,,POLLING PLACE,,,,
BALLOT GROUP 58,9990058A,8058,58,N,,VBM PORTION,,,,
BALLOT GROUP 58,9990058A,8058,58,N,,TOTAL,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,POLLING PLACE,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,VBM PORTION,,,,
BALLOT GROUP 59,9990059A,8059,59,N,,TOTAL,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,POLLING PLACE,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,VBM PORTION,,,,
BALLOT GROUP 60,9990060A,8060,60,N,,TOTAL,,,,
BALLOT GROUP 61,9990061A,8061,61,N,,POLLING PLACE,,,,
BALLOT GROUP 61,9990061A,8061,61,N,,VBM PORTION,,,,
BALLOT GROUP 61,9990061A,8061,61,N,,TOTAL,,,,
BALLOT GROUP 62,9990062A,8062,62,N,,POLLING PLACE,,,,
BALLOT GROUP 62,9990062A,8062,62,N,,VBM PORTION,,,,
BALLOT GROUP 62,9990062A,8062,62,N,,TOTAL,,,,
BALLOT GROUP 63,9990063A,8063,63,N,,POLLING PLACE,,,,
BALLOT GROUP 63,9990063A,8063,63,N,,VBM PORTION,,,,
BALLOT GROUP 63,9990063A,8063,63,N,,TOTAL,,,,
BALLOT GROUP 64,9990064A,8064,64,N,,POLLING PLACE,,,,
BALLOT GROUP 64,9990064A,8064,64,N,,VBM PORTION,,,,
BALLOT GROUP 64,9990064A,8064,64,N,,TOTAL,,,,
BALLOT GROUP 65,9990065A,8065,65,N,,POLLING PLACE,,,,
BALLOT GROUP 65,9990065A,8065,65,N,,VBM PORTION,,,,
BALLOT GROUP 65,9990065A,8065,65,N,,TOTAL,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,POLLING PLACE,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,VBM PORTION,,,,
BALLOT GROUP 66,9990066A,8066,66,N,,TOTAL,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,POLLING PLACE,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,VBM PORTION,,,,
BALLOT GROUP 67,9990067A,8067,67,N,,TOTAL,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,POLLING PLACE,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,VBM PORTION,,,,
BALLOT GROUP 68,9990068A,8068,68,N,,TOTAL,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,POLLING PLACE,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,VBM PORTION,,,,
BALLOT GROUP 69,9990069A,8069,69,N,,TOTAL,,,,
BALLOT GROUP 70,9990070A,8070,70,N,,POLLING PLACE,,,,
BALLOT GROUP 70,9990070A,8070,70,N,,VBM PORTION,,,,
BALLOT GROUP 70,9990070A,8070,70,N,,TOTAL,,,,
BALLOT GROUP 71,9990071A,8071,71,N,,POLLING PLACE,,,,
BALLOT GROUP 71,9990071A,8071,71,N,,VBM PORTION,,,,
BALLOT GROUP 71,9990071A,8071,71,N,,TOTAL,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,POLLING PLACE,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,VBM PORTION,,,,
BALLOT GROUP 72,9990072A,8072,72,N,,TOTAL,,,,
