LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DARIUS A LEEVY,ANALILIA JOYA,GLORIA GRAY,MICHAEL A AMOS,
INGLEWOOD,2950016B,1128,334,N,796,POLLING PLACE,216,21,9,159,4,
INGLEWOOD,2950016B,1128,334,N,,VBM PORTION,42,,2,33,2,
INGLEWOOD,2950016B,1128,334,N,796,TOTAL,258,21,11,192,6,
INGLEWOOD,2950017A,1129,334,N,900,POLLING PLACE,121,9,5,84,5,
INGLEWOOD,2950017A,1129,334,N,,VBM PORTION,51,,4,34,3,
INGLEWOOD,2950017A,1129,334,N,900,TOTAL,172,9,9,118,8,
INGLEWOOD,2950018A,1130,334,N,1168,POLLING PLACE,311,17,19,244,2,
INGLEWOOD,2950018A,1130,334,N,,VBM PORTION,111,10,2,77,3,
INGLEWOOD,2950018A,1130,334,N,1168,TOTAL,422,27,21,321,5,
INGLEWOOD,2950019A,1131,334,N,1148,POLLING PLACE,86,4,14,65,1,
INGLEWOOD,2950019A,1131,334,N,,VBM PORTION,28,1,3,19,2,
INGLEWOOD,2950019A,1131,334,N,1148,TOTAL,114,5,17,84,3,
INGLEWOOD,2950020A,1132,334,N,1043,POLLING PLACE,237,20,7,180,1,
INGLEWOOD,2950020A,1132,334,N,,VBM PORTION,94,6,7,59,5,
INGLEWOOD,2950020A,1132,334,N,1043,TOTAL,331,26,14,239,6,
INGLEWOOD,2950022A,1133,334,N,1168,POLLING PLACE,347,12,20,272,5,
INGLEWOOD,2950022A,1133,334,N,,VBM PORTION,99,3,,78,,
INGLEWOOD,2950022A,1133,334,N,1168,TOTAL,446,15,20,350,5,
INGLEWOOD,2950023A,1134,334,N,684,POLLING PLACE,136,7,13,94,6,
INGLEWOOD,2950023A,1134,334,N,,VBM PORTION,57,4,7,37,,
INGLEWOOD,2950023A,1134,334,N,684,TOTAL,193,11,20,131,6,
INGLEWOOD,2950024A,1135,334,N,800,POLLING PLACE,200,9,12,139,8,
INGLEWOOD,2950024A,1135,334,N,,VBM PORTION,51,1,2,39,,
INGLEWOOD,2950024A,1135,334,N,800,TOTAL,251,10,14,178,8,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,8,28,120,8,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,5,8,22,1,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,13,36,142,9,
INGLEWOOD,2950026A,1137,334,N,961,POLLING PLACE,222,8,19,169,4,
INGLEWOOD,2950026A,1137,334,N,,VBM PORTION,69,2,2,43,,
INGLEWOOD,2950026A,1137,334,N,961,TOTAL,291,10,21,212,4,
INGLEWOOD,2950028A,1138,334,N,533,POLLING PLACE,132,14,17,82,3,
INGLEWOOD,2950028A,1138,334,N,,VBM PORTION,30,,1,27,,
INGLEWOOD,2950028A,1138,334,N,533,TOTAL,162,14,18,109,3,
INGLEWOOD,2950029A,1139,334,N,873,POLLING PLACE,177,10,8,130,4,
INGLEWOOD,2950029A,1139,334,N,,VBM PORTION,62,5,3,45,2,
INGLEWOOD,2950029A,1139,334,N,873,TOTAL,239,15,11,175,6,
INGLEWOOD,2950030A,1140,334,N,1012,POLLING PLACE,143,15,16,95,2,
INGLEWOOD,2950030A,1140,334,N,,VBM PORTION,50,4,2,33,4,
INGLEWOOD,2950030A,1140,334,N,1012,TOTAL,193,19,18,128,6,
INGLEWOOD,2950031A,1141,334,N,770,POLLING PLACE,127,9,24,78,3,
INGLEWOOD,2950031A,1141,334,N,,VBM PORTION,30,1,5,21,1,
INGLEWOOD,2950031A,1141,334,N,770,TOTAL,157,10,29,99,4,
INGLEWOOD,2950033A,1142,334,N,947,POLLING PLACE,114,11,22,64,3,
INGLEWOOD,2950033A,1142,334,N,,VBM PORTION,24,3,2,13,1,
INGLEWOOD,2950033A,1142,334,N,947,TOTAL,138,14,24,77,4,
INGLEWOOD,2950037C,1143,334,N,619,POLLING PLACE,99,5,19,62,4,
INGLEWOOD,2950037C,1143,334,N,,VBM PORTION,9,1,1,4,,
INGLEWOOD,2950037C,1143,334,N,619,TOTAL,108,6,20,66,4,
INGLEWOOD,2950039A,1144,334,N,1173,POLLING PLACE,200,15,37,116,6,
INGLEWOOD,2950039A,1144,334,N,,VBM PORTION,53,1,8,34,1,
INGLEWOOD,2950039A,1144,334,N,1173,TOTAL,253,16,45,150,7,
INGLEWOOD,2950040A,1145,334,N,1087,POLLING PLACE,155,15,34,86,7,
INGLEWOOD,2950040A,1145,334,N,,VBM PORTION,35,1,13,12,2,
INGLEWOOD,2950040A,1145,334,N,1087,TOTAL,190,16,47,98,9,
INGLEWOOD,2950041A,1146,334,N,1071,POLLING PLACE,181,17,21,126,5,
INGLEWOOD,2950041A,1146,334,N,,VBM PORTION,60,5,5,38,3,
INGLEWOOD,2950041A,1146,334,N,1071,TOTAL,241,22,26,164,8,
INGLEWOOD,2950042A,1147,334,N,1042,POLLING PLACE,161,12,15,101,12,
INGLEWOOD,2950042A,1147,334,N,,VBM PORTION,54,6,5,26,7,
INGLEWOOD,2950042A,1147,334,N,1042,TOTAL,215,18,20,127,19,
INGLEWOOD,2950044A,1148,334,N,862,POLLING PLACE,138,14,31,75,6,
INGLEWOOD,2950044A,1148,334,N,,VBM PORTION,39,1,4,24,1,
INGLEWOOD,2950044A,1148,334,N,862,TOTAL,177,15,35,99,7,
INGLEWOOD,2950047B,1149,334,N,995,POLLING PLACE,158,12,31,100,1,
INGLEWOOD,2950047B,1149,334,N,,VBM PORTION,48,4,11,25,3,
INGLEWOOD,2950047B,1149,334,N,995,TOTAL,206,16,42,125,4,
INGLEWOOD,2950048A,1150,334,N,969,POLLING PLACE,165,17,43,80,12,
INGLEWOOD,2950048A,1150,334,N,,VBM PORTION,35,2,5,23,2,
INGLEWOOD,2950048A,1150,334,N,969,TOTAL,200,19,48,103,14,
INGLEWOOD,2950050A,1151,334,N,1019,POLLING PLACE,113,7,28,66,5,
INGLEWOOD,2950050A,1151,334,N,,VBM PORTION,41,6,2,24,2,
INGLEWOOD,2950050A,1151,334,N,1019,TOTAL,154,13,30,90,7,
INGLEWOOD,2950052A,1152,334,N,1028,POLLING PLACE,185,15,23,126,7,
INGLEWOOD,2950052A,1152,334,N,,VBM PORTION,32,2,4,19,2,
INGLEWOOD,2950052A,1152,334,N,1028,TOTAL,217,17,27,145,9,
INGLEWOOD,2950057A,1153,334,N,954,POLLING PLACE,155,9,23,105,5,
INGLEWOOD,2950057A,1153,334,N,,VBM PORTION,46,4,3,31,,
INGLEWOOD,2950057A,1153,334,N,954,TOTAL,201,13,26,136,5,
INGLEWOOD,2950063A,1154,334,N,949,POLLING PLACE,216,17,12,150,9,
INGLEWOOD,2950063A,1154,334,N,,VBM PORTION,63,4,6,41,,
INGLEWOOD,2950063A,1154,334,N,949,TOTAL,279,21,18,191,9,
INGLEWOOD,2950067A,1155,334,N,1073,POLLING PLACE,209,17,13,142,11,
INGLEWOOD,2950067A,1155,334,N,,VBM PORTION,61,4,7,43,1,
INGLEWOOD,2950067A,1155,334,N,1073,TOTAL,270,21,20,185,12,
INGLEWOOD,2950072A,1156,334,N,902,POLLING PLACE,134,11,15,93,3,
INGLEWOOD,2950072A,1156,334,N,,VBM PORTION,32,,3,23,1,
INGLEWOOD,2950072A,1156,334,N,902,TOTAL,166,11,18,116,4,
INGLEWOOD,2950073A,1157,331,N,844,POLLING PLACE,151,15,11,102,5,
INGLEWOOD,2950073A,1157,331,N,,VBM PORTION,65,10,3,41,3,
INGLEWOOD,2950073A,1157,331,N,844,TOTAL,216,25,14,143,8,
INGLEWOOD,2950075A,1158,334,N,1234,POLLING PLACE,176,9,19,119,7,
INGLEWOOD,2950075A,1158,334,N,,VBM PORTION,55,3,1,39,4,
INGLEWOOD,2950075A,1158,334,N,1234,TOTAL,231,12,20,158,11,
INGLEWOOD,2950076A,1159,334,N,1038,POLLING PLACE,171,9,24,119,3,
INGLEWOOD,2950076A,1159,334,N,,VBM PORTION,42,5,3,24,2,
INGLEWOOD,2950076A,1159,334,N,1038,TOTAL,213,14,27,143,5,
INGLEWOOD,2950080A,1160,331,N,920,POLLING PLACE,169,8,16,120,4,
INGLEWOOD,2950080A,1160,331,N,,VBM PORTION,27,2,5,16,1,
INGLEWOOD,2950080A,1160,331,N,920,TOTAL,196,10,21,136,5,
INGLEWOOD,2950084A,1161,331,N,782,POLLING PLACE,118,1,10,86,7,
INGLEWOOD,2950084A,1161,331,N,,VBM PORTION,40,2,4,26,4,
INGLEWOOD,2950084A,1161,331,N,782,TOTAL,158,3,14,112,11,
INGLEWOOD,2950087A,1162,331,N,908,POLLING PLACE,178,17,13,124,6,
INGLEWOOD,2950087A,1162,331,N,,VBM PORTION,68,7,7,32,5,
INGLEWOOD,2950087A,1162,331,N,908,TOTAL,246,24,20,156,11,
INGLEWOOD,2950088A,1163,331,N,1263,POLLING PLACE,353,27,25,234,9,
INGLEWOOD,2950088A,1163,331,N,,VBM PORTION,134,11,10,62,6,
INGLEWOOD,2950088A,1163,331,N,1263,TOTAL,487,38,35,296,15,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,5,5,41,,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,2,1,15,1,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,7,6,56,1,
INGLEWOOD,2950092A,1165,334,N,939,POLLING PLACE,139,12,10,95,7,
INGLEWOOD,2950092A,1165,334,N,,VBM PORTION,52,7,3,32,2,
INGLEWOOD,2950092A,1165,334,N,939,TOTAL,191,19,13,127,9,
INGLEWOOD,2950095A,1166,334,N,896,POLLING PLACE,185,14,2,147,4,
INGLEWOOD,2950095A,1166,334,N,,VBM PORTION,92,6,1,70,2,
INGLEWOOD,2950095A,1166,334,N,896,TOTAL,277,20,3,217,6,
INGLEWOOD,2950141A,1167,334,N,601,POLLING PLACE,106,3,7,79,3,
INGLEWOOD,2950141A,1167,334,N,,VBM PORTION,12,4,,7,,
INGLEWOOD,2950141A,1167,334,N,601,TOTAL,118,7,7,86,3,
INGLEWOOD,2950146A,1168,334,N,879,POLLING PLACE,87,2,14,53,3,
INGLEWOOD,2950146A,1168,334,N,,VBM PORTION,37,7,4,18,4,
INGLEWOOD,2950146A,1168,334,N,879,TOTAL,124,9,18,71,7,
INGLEWOOD,2950147A,1169,334,N,775,POLLING PLACE,127,8,12,94,5,
INGLEWOOD,2950147A,1169,334,N,,VBM PORTION,36,5,4,19,1,
INGLEWOOD,2950147A,1169,334,N,775,TOTAL,163,13,16,113,6,
INGLEWOOD,2950149A,1170,334,N,1108,POLLING PLACE,204,15,28,135,11,
INGLEWOOD,2950149A,1170,334,N,,VBM PORTION,38,6,3,25,,
INGLEWOOD,2950149A,1170,334,N,1108,TOTAL,242,21,31,160,11,
INGLEWOOD,2950152A,1171,334,N,810,POLLING PLACE,318,20,19,228,8,
INGLEWOOD,2950152A,1171,334,N,,VBM PORTION,53,5,4,37,,
INGLEWOOD,2950152A,1171,334,N,810,TOTAL,371,25,23,265,8,
LADERA HEIGHTS,3430004A,1265,230,N,1242,POLLING PLACE,361,21,22,206,10,
LADERA HEIGHTS,3430004A,1265,230,N,,VBM PORTION,127,3,3,82,4,
LADERA HEIGHTS,3430004A,1265,230,N,1242,TOTAL,488,24,25,288,14,
LADERA HEIGHTS,3430005B,6122,232,Y,,POLLING PLACE,,,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,VBM PORTION,,,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,TOTAL,,,,,,
LADERA HEIGHTS,3430007A,1266,230,N,1328,POLLING PLACE,417,42,38,237,10,
LADERA HEIGHTS,3430007A,1266,230,N,,VBM PORTION,104,1,3,67,2,
LADERA HEIGHTS,3430007A,1266,230,N,1328,TOTAL,521,43,41,304,12,
LADERA HEIGHTS,3430020A,1268,230,N,1046,POLLING PLACE,234,25,15,124,6,
LADERA HEIGHTS,3430020A,1268,230,N,,VBM PORTION,82,1,3,46,6,
LADERA HEIGHTS,3430020A,1268,230,N,1046,TOTAL,316,26,18,170,12,
LENNOX,3670005A,1394,337,N,1123,POLLING PLACE,150,9,30,74,10,
LENNOX,3670005A,1394,337,N,,VBM PORTION,26,,6,12,3,
LENNOX,3670005A,1394,337,N,1123,TOTAL,176,9,36,86,13,
LENNOX,3670007A,1395,337,N,1115,POLLING PLACE,144,11,36,67,8,
LENNOX,3670007A,1395,337,N,,VBM PORTION,15,1,3,7,2,
LENNOX,3670007A,1395,337,N,1115,TOTAL,159,12,39,74,10,
LENNOX,3670030A,1396,337,N,572,POLLING PLACE,74,4,15,41,,
LENNOX,3670030A,1396,337,N,,VBM PORTION,13,1,1,7,,
LENNOX,3670030A,1396,337,N,572,TOTAL,87,5,16,48,,
LENNOX,3670031A,1397,337,N,932,POLLING PLACE,139,14,36,66,8,
LENNOX,3670031A,1397,337,N,,VBM PORTION,29,2,1,22,,
LENNOX,3670031A,1397,337,N,932,TOTAL,168,16,37,88,8,
LENNOX,3670033A,1399,337,N,980,POLLING PLACE,108,6,39,46,6,
LENNOX,3670033A,1399,337,N,,VBM PORTION,13,,4,8,1,
LENNOX,3670033A,1399,337,N,980,TOTAL,121,6,43,54,7,
WEST ATHENS,7670001A,2794,313,N,1040,POLLING PLACE,99,2,10,71,9,
WEST ATHENS,7670001A,2794,313,N,,VBM PORTION,32,1,3,19,1,
WEST ATHENS,7670001A,2794,313,N,1040,TOTAL,131,3,13,90,10,
WEST ATHENS,7670003A,2795,313,N,1015,POLLING PLACE,107,4,11,78,2,
WEST ATHENS,7670003A,2795,313,N,,VBM PORTION,35,,1,17,5,
WEST ATHENS,7670003A,2795,313,N,1015,TOTAL,142,4,12,95,7,
WEST ATHENS,7670004A,2796,333,N,1057,POLLING PLACE,148,13,10,89,13,
WEST ATHENS,7670004A,2796,333,N,,VBM PORTION,21,2,2,8,3,
WEST ATHENS,7670004A,2796,333,N,1057,TOTAL,169,15,12,97,16,
WEST ATHENS,7670005A,2797,333,N,775,POLLING PLACE,108,8,21,59,4,
WEST ATHENS,7670005A,2797,333,N,,VBM PORTION,24,2,1,18,1,
WEST ATHENS,7670005A,2797,333,N,775,TOTAL,132,10,22,77,5,
WEST ATHENS,7670006A,2798,333,N,1068,POLLING PLACE,226,10,10,169,5,
WEST ATHENS,7670006A,2798,333,N,,VBM PORTION,71,3,4,47,,
WEST ATHENS,7670006A,2798,333,N,1068,TOTAL,297,13,14,216,5,
WEST ATHENS,7670007A,2799,333,N,788,POLLING PLACE,120,12,8,77,5,
WEST ATHENS,7670007A,2799,333,N,,VBM PORTION,29,5,4,13,2,
WEST ATHENS,7670007A,2799,333,N,788,TOTAL,149,17,12,90,7,
WEST ATHENS,7670009A,2800,313,N,1103,POLLING PLACE,152,9,16,103,5,
WEST ATHENS,7670009A,2800,313,N,,VBM PORTION,21,1,6,9,1,
WEST ATHENS,7670009A,2800,313,N,1103,TOTAL,173,10,22,112,6,
WEST ATHENS,7670009D,2801,313,N,90,POLLING PLACE,21,,,19,,
WEST ATHENS,7670009D,2801,313,N,,VBM PORTION,3,1,,,1,
WEST ATHENS,7670009D,2801,313,N,90,TOTAL,24,1,,19,1,
WEST ATHENS,7670010A,2802,333,N,1022,POLLING PLACE,143,6,15,103,3,
WEST ATHENS,7670010A,2802,333,N,,VBM PORTION,40,,1,24,7,
WEST ATHENS,7670010A,2802,333,N,1022,TOTAL,183,6,16,127,10,
WEST ATHENS,7670011A,2803,333,N,722,POLLING PLACE,162,4,6,131,2,
WEST ATHENS,7670011A,2803,333,N,,VBM PORTION,30,2,4,20,,
WEST ATHENS,7670011A,2803,333,N,722,TOTAL,192,6,10,151,2,
WEST ATHENS,7670012B,2804,333,N,1097,POLLING PLACE,182,10,9,128,5,
WEST ATHENS,7670012B,2804,333,N,,VBM PORTION,56,6,3,29,4,
WEST ATHENS,7670012B,2804,333,N,1097,TOTAL,238,16,12,157,9,
WEST ATHENS,7670013A,2805,333,N,809,POLLING PLACE,173,7,10,135,3,
WEST ATHENS,7670013A,2805,333,N,,VBM PORTION,40,1,2,18,4,
WEST ATHENS,7670013A,2805,333,N,809,TOTAL,213,8,12,153,7,
WEST ATHENS,7670014A,2806,333,N,871,POLLING PLACE,65,7,5,43,1,
WEST ATHENS,7670014A,2806,333,N,,VBM PORTION,15,1,2,9,3,
WEST ATHENS,7670014A,2806,333,N,871,TOTAL,80,8,7,52,4,
WEST ATHENS,7670015A,2807,339,N,708,POLLING PLACE,110,10,6,83,1,
WEST ATHENS,7670015A,2807,339,N,,VBM PORTION,22,,2,12,,
WEST ATHENS,7670015A,2807,339,N,708,TOTAL,132,10,8,95,1,
WEST ATHENS,7670016A,2808,333,N,885,POLLING PLACE,119,12,14,75,2,
WEST ATHENS,7670016A,2808,333,N,,VBM PORTION,11,,5,4,1,
WEST ATHENS,7670016A,2808,333,N,885,TOTAL,130,12,19,79,3,
WEST ATHENS,7670017A,2809,339,N,948,POLLING PLACE,97,6,14,64,4,
WEST ATHENS,7670017A,2809,339,N,,VBM PORTION,18,,3,11,2,
WEST ATHENS,7670017A,2809,339,N,948,TOTAL,115,6,17,75,6,
WEST ATHENS,7670018A,2810,339,N,842,POLLING PLACE,168,9,17,122,6,
WEST ATHENS,7670018A,2810,339,N,,VBM PORTION,31,2,,19,2,
WEST ATHENS,7670018A,2810,339,N,842,TOTAL,199,11,17,141,8,
WEST ATHENS,7670019A,2811,339,N,748,POLLING PLACE,135,6,11,96,3,
WEST ATHENS,7670019A,2811,339,N,,VBM PORTION,20,,1,8,,
WEST ATHENS,7670019A,2811,339,N,748,TOTAL,155,6,12,104,3,
WEST ATHENS,7670020A,2812,339,N,916,POLLING PLACE,238,12,21,163,9,
WEST ATHENS,7670020A,2812,339,N,,VBM PORTION,56,5,7,31,,
WEST ATHENS,7670020A,2812,339,N,916,TOTAL,294,17,28,194,9,
WEST ATHENS,7670021A,2813,339,N,801,POLLING PLACE,197,18,9,148,6,
WEST ATHENS,7670021A,2813,339,N,,VBM PORTION,59,10,4,29,,
WEST ATHENS,7670021A,2813,339,N,801,TOTAL,256,28,13,177,6,
WEST ATHENS,7670022A,2814,333,N,966,POLLING PLACE,112,6,11,75,5,
WEST ATHENS,7670022A,2814,333,N,,VBM PORTION,16,,1,9,3,
WEST ATHENS,7670022A,2814,333,N,966,TOTAL,128,6,12,84,8,
WEST ATHENS,7670023A,2815,333,N,899,POLLING PLACE,187,9,15,133,5,
WEST ATHENS,7670023A,2815,333,N,,VBM PORTION,27,5,2,17,1,
WEST ATHENS,7670023A,2815,333,N,899,TOTAL,214,14,17,150,6,
WEST ATHENS,7670024A,2816,333,N,783,POLLING PLACE,138,15,7,97,3,
WEST ATHENS,7670024A,2816,333,N,,VBM PORTION,31,,,22,3,
WEST ATHENS,7670024A,2816,333,N,783,TOTAL,169,15,7,119,6,
BALLOT GROUP 227,9990227A,8227,227,N,,POLLING PLACE,,,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,VBM PORTION,,,,,,
BALLOT GROUP 227,9990227A,8227,227,N,,TOTAL,,,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,POLLING PLACE,,,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,VBM PORTION,,,,,,
BALLOT GROUP 230,9990230A,8230,230,N,,TOTAL,,,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,POLLING PLACE,,,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,VBM PORTION,,,,,,
BALLOT GROUP 232,9990232A,8232,232,N,,TOTAL,,,,,,
BALLOT GROUP 313,9990313A,8313,313,N,,POLLING PLACE,,,,,,
BALLOT GROUP 313,9990313A,8313,313,N,,VBM PORTION,,,,,,
BALLOT GROUP 313,9990313A,8313,313,N,,TOTAL,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,POLLING PLACE,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,VBM PORTION,,,,,,
BALLOT GROUP 331,9990331A,8331,331,N,,TOTAL,,,,,,
BALLOT GROUP 333,9990333A,8333,333,N,,POLLING PLACE,,,,,,
BALLOT GROUP 333,9990333A,8333,333,N,,VBM PORTION,,,,,,
BALLOT GROUP 333,9990333A,8333,333,N,,TOTAL,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,POLLING PLACE,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,VBM PORTION,,,,,,
BALLOT GROUP 334,9990334A,8334,334,N,,TOTAL,,,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,POLLING PLACE,,,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,VBM PORTION,,,,,,
BALLOT GROUP 337,9990337A,8337,337,N,,TOTAL,,,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,POLLING PLACE,,,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,VBM PORTION,,,,,,
BALLOT GROUP 339,9990339A,8339,339,N,,TOTAL,,,,,,
