LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAMALA D HARRIS,RONALD GOLD,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,81,53,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,223,210,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,95,98,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,49,33,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,144,131,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,180,121,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,61,72,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,241,193,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,162,104,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,51,60,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,213,164,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,155,150,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,71,86,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,226,236,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,132,157,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,63,73,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,195,230,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,85,191,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,24,86,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,109,277,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,48,125,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,27,45,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,75,170,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,22,101,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,17,42,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,39,143,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,7,14,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,7,14,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,2,4,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,2,4,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,2,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,2,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,140,48,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,45,22,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,185,70,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,91,26,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,32,14,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,123,40,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,151,83,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,57,41,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,208,124,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,121,57,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,46,11,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,167,68,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,127,44,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,38,16,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,165,60,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,190,64,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,85,26,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,275,90,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,129,30,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,37,29,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,166,59,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,100,36,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,39,10,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,139,46,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,123,73,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,37,26,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,160,99,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,100,64,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,26,37,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,126,101,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,135,38,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,38,8,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,173,46,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,102,47,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,71,38,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,173,85,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,141,49,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,34,21,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,175,70,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,160,46,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,44,24,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,204,70,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,61,17,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,20,12,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,81,29,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,91,24,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,38,16,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,129,40,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,109,38,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,47,21,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,156,59,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,134,62,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,62,20,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,196,82,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,3,,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,3,,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,97,31,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,12,8,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,109,39,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,144,52,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,53,18,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,197,70,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,99,24,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,49,19,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,148,43,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,76,27,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,25,8,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,101,35,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,83,35,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,33,14,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,116,49,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,85,37,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,42,20,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,127,57,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,54,13,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,13,12,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,67,25,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,51,39,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,36,12,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,87,51,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,119,44,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,70,19,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,189,63,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,101,36,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,39,33,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,140,69,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,137,36,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,26,24,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,163,60,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,119,49,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,24,13,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,143,62,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,102,27,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,24,10,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,126,37,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,40,15,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,27,7,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,67,22,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,179,53,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,26,11,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,205,64,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,103,50,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,35,38,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,138,88,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,142,79,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,48,27,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,190,106,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,69,29,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,60,72,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,129,101,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,89,57,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,42,31,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,131,88,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,58,21,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,31,12,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,89,33,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,127,21,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,32,6,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,159,27,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,119,49,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,58,36,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,177,85,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,201,38,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,52,4,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,253,42,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,211,110,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,87,62,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,298,172,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,142,63,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,74,41,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,216,104,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,180,16,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,57,7,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,237,23,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,170,25,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,58,9,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,228,34,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,168,23,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,70,14,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,238,37,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,127,58,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,60,24,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,187,82,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,149,18,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,46,10,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,195,28,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,206,41,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,80,17,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,286,58,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,158,14,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,37,5,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,195,19,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,128,10,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,32,5,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,160,15,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,147,30,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,25,6,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,172,36,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,171,84,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,72,46,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,243,130,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,203,27,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,46,6,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,249,33,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,287,91,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,120,50,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,407,141,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,156,62,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,75,44,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,231,106,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,292,98,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,78,40,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,370,138,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,244,120,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,79,52,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,323,172,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,181,93,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,53,41,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,234,134,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,99,48,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,32,14,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,131,62,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,264,63,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,90,33,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,354,96,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,281,42,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,112,22,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,393,64,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,153,30,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,45,11,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,198,41,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,261,48,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,113,29,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,374,77,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,264,60,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,72,20,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,336,80,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,308,47,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,96,20,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,404,67,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,51,113,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,22,79,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,73,192,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,93,110,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,56,68,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,149,178,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,78,90,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,63,85,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,141,175,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,79,99,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,42,93,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,121,192,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,133,163,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,56,70,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,189,233,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,104,91,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,85,96,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,189,187,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,101,116,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,45,79,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,146,195,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,76,134,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,56,140,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,132,274,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,86,87,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,78,49,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,164,136,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,94,83,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,70,66,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,164,149,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,89,106,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,42,87,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,131,193,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,94,70,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,42,57,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,136,127,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,82,95,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,43,66,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,125,161,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,70,100,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,43,51,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,113,151,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,83,102,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,44,59,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,127,161,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,86,80,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,33,24,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,119,104,
