Operator,Date,System,City,State,County,Cause,Sub Cause,Fatalities,Injuries,Property_Damage_(A),Gross_Barrels_Spilled_(Haz Liq)_(B),Net_Barrels_Lost (Haz_Liq)_(B)(C),Value_of_Product_Lost_(D)
Air Products & Chemicals Inc,9/20/09,GT,NEW ORLEANS,LA,ORLEANS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,652000,2000,,
Air Products & Chemicals Inc,11/24/06,GT,PORT NECHES,TX,JEFFERSON,ALL OTHER CAUSES,UNKNOWN,0,0,450000,1000,,
Bp Pipeline (North America) Inc.,5/28/14,HL,FREEMAN,MO,CASS,CORROSION,EXTERNAL,0,0,4580,0,0,80
Bp Pipeline (North America) Inc.,7/26/13,HL,COPAN,OK,OSAGE,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,1996000,535,0,56000
Bp Pipeline (North America) Inc.,9/29/11,HL,MOKENA,IL,WILL,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,66000,10,0,1000
Bp Pipeline (North America) Inc.,8/12/10,HL,LAPORTE,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,295600,3,3,25600
Bp Pipeline (North America) Inc.,3/22/10,HL,TEXAS CITY,TX,GALVESTON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,106030,0,0,30
Bp Pipeline (North America) Inc.,3/21/10,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,158500,90,0,6500
Bp Pipeline (North America) Inc.,3/27/09,HL,MOKENA,IL,WILL,ALL OTHER CAUSES,UNKNOWN,0,0,12055,0,0,55
Bp Pipeline (North America) Inc.,12/29/08,HL,ATHENS,AL,LIMESTONE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,1564508,221,176,2210
Bp Pipeline (North America) Inc.,12/2/08,HL,CUSHING,OK,PAYNE,CORROSION,INTERNAL,0,0,15100,6,0,100
Bp Pipeline (North America) Inc.,9/14/08,HL,GALLIANO,LA,LAFOURCHE,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,50000,2,0,0
Bp Pipeline (North America) Inc.,9/5/08,HL,GALLIANO,LA,LAFOURCHE,NATURAL FORCE DAMAGE,UNSPECIFIED NATURAL FORCE DAMAGE,0,0,50000,2,0,0
Bp Pipeline (North America) Inc.,8/26/08,HL,INDEPENDENCE,KS,MONTGOMERY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,176000,80,0,10000
Bp Pipeline (North America) Inc.,7/28/08,HL,CULLOM,IL,FORD,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,110000,0,0,0
Bp Pipeline (North America) Inc.,6/26/08,HL,DRUMRIGHT,OK,CREEK,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,17000,72,0,9000
Bp Pipeline (North America) Inc.,4/11/08,HL,DEER PARK,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,17438,3,3,438
