LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
1ST SUPERVISORIAL,N,39513,POLLING PLACE,3627,367,2572,272
1ST SUPERVISORIAL,N,0,VBM PORTION,2793,231,1972,248
1ST SUPERVISORIAL,N,39513,TOTAL,6420,598,4544,520
2ND SUPERVISORIAL,N,6078,POLLING PLACE,436,80,226,42
2ND SUPERVISORIAL,N,0,VBM PORTION,276,47,154,35
2ND SUPERVISORIAL,N,6078,TOTAL,712,127,380,77
3RD SUPERVISORIAL,N,137644,POLLING PLACE,11398,1024,7909,968
3RD SUPERVISORIAL,N,0,VBM PORTION,10395,841,7075,1163
3RD SUPERVISORIAL,N,137644,TOTAL,21790,1865,14984,2131
5TH SUPERVISORIAL,N,209285,POLLING PLACE,19659,962,11716,4173
5TH SUPERVISORIAL,N,0,VBM PORTION,23858,1091,14380,4177
5TH SUPERVISORIAL,N,209285,TOTAL,43514,2053,26096,8350
