LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,4596,9442,36464
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,2851,9334,29986
1ST SUPERVISORIAL,N,795106,TOTAL,103746,7447,18776,66450
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,4453,8023,51899
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,2967,7864,41066
2ND SUPERVISORIAL,N,902623,TOTAL,131237,7420,15887,92965
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,6327,19525,57246
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,4966,21936,53858
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,11293,41461,111104
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,6065,34815,51798
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,4937,35502,51139
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,11002,70317,102937
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,4370,36975,42856
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,4667,39956,46970
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,9037,76931,89826
