LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,2755,5184,18882,2700,7197,4238,9246
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,2060,3904,15294,2740,5889,3829,5014
1ST SUPERVISORIAL,N,795106,TOTAL,103746,4815,9088,34176,5440,13086,8067,14260
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,5592,5050,27880,2842,9435,5140,5214
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,4468,3788,18949,2749,8083,5143,2853
2ND SUPERVISORIAL,N,902623,TOTAL,131237,10060,8838,46829,5591,17518,10283,8067
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,3868,7860,42043,5104,9744,5996,4510
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,4059,6669,37175,5121,9022,6293,2956
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,7927,14529,79218,10225,18766,12289,7466
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,5529,7914,51939,3137,14198,4294,5174
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,4696,6851,48266,3845,13532,4828,3154
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,10225,14765,100205,6982,27730,9122,8328
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,4221,10487,41861,3934,12891,5678,3903
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,4608,10149,38398,5286,14202,7514,3252
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,8829,20636,80259,9220,27093,13192,7155
