LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,17535,27498
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,15826,19589
1ST SUPERVISORIAL,N,795106,TOTAL,103746,33361,47087
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,29619,26298
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,21201,21659
2ND SUPERVISORIAL,N,902623,TOTAL,131237,50820,47957
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,28913,39524
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,30102,33762
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,59015,73286
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,42447,35628
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,42691,31547
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,85138,67175
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,41264,30141
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,45384,29287
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,86648,59428
