LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,34223,15363
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,24819,13442
1ST SUPERVISORIAL,N,795106,TOTAL,103746,59042,28805
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,47693,14421
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,32765,13213
2ND SUPERVISORIAL,N,902623,TOTAL,131237,80458,27634
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,59270,22241
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,51211,22486
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,110481,44727
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,59437,31494
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,52732,32357
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,112169,63851
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,53486,29806
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,52303,32004
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,105789,61810
