"retailer_id","name","orig_address","lat","lon","cnty","tract","GEOID"
"1015366","OLD TOWN ARCO","1 BOONE CT, DANVILLE, CA 94526",37.8142146,-121.9956732,"Contra Costa County",3452.03,"06013345203"
"181773","SAFEWAY 02-0788","1 CMNO ALTO, MILL VALLEY, CA 94941",37.8941338,-122.5313811,"Marin County",1261,"06041126100"
"554087","CIRCLE K","1 E HELLMAN AV, ALHAMBRA, CA 91801",34.0700465,-118.1223265,"Los Angeles County",4816.05,"06037481605"
"1021294","GOLD RANCH LOTTERY","1 GOLD RANCH RD, FLORISTON, CA 96111",39.5018094,-120.001038,"Sierra County",,"06091010000"
"1030467","HACIENDA SHELL","1 HACIENDA DRIVE, SCOTTS VALLEY, CA 95066",37.0629924,-122.0061266,"Santa Cruz County",1209,"06087120900"
"694279","WOODLAND VALERO","1 KENT AV, KENTFIELD, CA 94904",37.9507719,-122.5498593,"Marin County",1191,"06041119100"
"1020732","LOS PRIMOS MARKET","1 MAYFAIR DR, SALINAS, CA 93905",36.6679726,-121.6274408,"Monterey County",9,"06053000900"
"1028839","QUIK STOP #1077","1 PORTER DR, WATSONVILLE, CA 95076",36.9042932,-121.7496502,"Monterey County",101.01,"06053010101"
"1034205","QUIK STOP #9077","1 PORTER DR, WATSONVILLE, CA 95076",36.9042932,-121.7496502,"Monterey County",101.01,"06053010101"
"1015459","STAR CONVENIENCE","1 POST ST McKESSON PLAZA #104, SAN FRANCISCO, CA 94104",37.7887655,-122.4027468,"San Francisco County",117,"06075011700"
"110586","FOOD MART VALERO","1 SUTTER ST, RED BLUFF, CA 96080",40.1528147,-122.2209266,"Tehama County",7,"06103000700"
"1017082","MY PLACE CONVENIENT STORE","1 W DUARTE RD #C, ARCADIA, CA 91007",34.129881,-118.0316647,"Los Angeles County",4307.21,"06037430721"
"1019841","WESTBOROUGH KWIK SERVE","1 WESTBOROUGH BL, SOUTH SAN FRANCISCO, CA 94080",37.6550488,-122.4343653,"San Mateo County",6023,"06081602300"
"1025892","CVS PHARMACY #9807","10 BAYHILL CTR, SAN BRUNO, CA 94066",37.6268297,-122.4262441,"San Mateo County",6041.02,"06081604102"
"1021286","THE MARKET PLACE","10 CENTERPOINT DR #1, LA PALMA, CA 90623",33.861233,-118.0294294,"Orange County",1101.15,"06059110115"
"1010588","DRIVE IN LIQUOR","10 E HUNTINGTON DR, ARCADIA, CA 91006",34.139755,-118.0308115,"Los Angeles County",4308.01,"06037430801"
"1013974","A & M WESTSIDE MARKET","10 E WHITESBRIDGE RD, FRESNO, CA 93706",36.7355999,-119.8126956,"Fresno County",2,"06019000200"
"695387","QUIK STOP #4143","10 KENTUCKY AV, WOODLAND, CA 95695",38.691638,-121.783387,"Yolo County",109.01,"06113010901"
"1027321","COUNTRY KORNER MARKET","10 MILLER ST, BODFISH, CA 93205",35.5904307,-118.4959989,"Kern County",52.04,"06029005204"
"1015883","NATIONAL CITY VALERO","10 OSBORN ST, NATIONAL CITY, CA 91950",32.6824075,-117.1098456,"San Diego County",219,"06073021900"
"1032856","RESTANO WAY LIQUORS","10 RESTANO WAY, SONORA, CA 95370",37.976903,-120.379792,"Tuolumne County",12,"06109001200"
"1001940","FAIRGROUNDS CHEVRON","10 SAGE ST #B, VALLEJO, CA 94589",38.1406484,-122.2310446,"Solano County",2519.01,"06095251901"
"572234","QUIK STOP #9131","10 SAN FELIPE RD, HOLLISTER, CA 95023",36.8569194,-121.4023814,"San Benito County",3,"06069000300"
"1025843","CVS PHARMACY #9801","10 SHAW AV, CLOVIS, CA 93612",36.8079204,-119.7085642,"Fresno County",31.02,"06019003102"
"1028107","SHOP N SAVE","10 SIOC ST, COLUSA, CA 95932",39.204712,-122.004452,"Colusa County",2,"06011000200"
"1033493","SHOP N SAVE","10 SIOC ST, COLUSA, CA 95932",39.204712,-122.004452,"Colusa County",2,"06011000200"
"1034427","SHOP N SAVE","10 SIOC ST, COLUSA, CA 95932",39.204712,-122.004452,"Colusa County",2,"06011000200"
"1035991","SHOP N SAVE","10 SIOC ST, COLUSA, CA 95932",39.204712,-122.004452,"Colusa County",2,"06011000200"
"688551","CHEVRON #1737","10 SOLANO SQ, BENICIA, CA 94510",38.055034,-122.157186,"Solano County",2521.08,"06095252108"
"1030892","SAMCO UNION #7","10 UNION AV, BAKERSFIELD, CA 93307",35.354613,-119.002564,"Kern County",21,"06029002100"
"1027570","VILLAGE GAS N MART","10 VISTA DE LAGA DR, VALLEY SPRINGS, CA 95252",38.169184,-120.839366,"Calaveras County",2.1,"06009000210"
"1024674","U SAVE MARKET","10 W COLTON AVE, REDLANDS, CA 92374",34.0631783,-117.1828434,"San Bernardino County",80.02,"06071008002"
"687648","DERBY CLUB AT SEASIDE PARK","10 W HARBOR BL, VENTURA, CA 93001",34.2759878,-119.3037615,"Ventura County",24,"06111002400"
"1009215","ORLAND STOP & SHOP","10 WALKER ST, ORLAND, CA 95963",39.7477037,-122.1879976,"Glenn County",101,"06021010100"
"557108","RAPIDO MARKET","100 BEAR MT BL, ARVIN, CA 93203",35.2093961,-118.8246703,"Kern County",63.01,"06029006301"
"1031495","SUNSHINE","100 BERKELEY SQ, BERKELEY, CA 94704",37.8710928,-122.267959,"Alameda County",4229,"06001422900"
"1033000","BONITA SHELL","100 BONITA RD, CHULA VISTA, CA 91910",32.6477278,-117.0637604,"San Diego County",123.04,"06073012304"
"183571","SAFEWAY 02-0713","100 CALISTOGA RD, SANTA ROSA, CA 95409",38.4657288,-122.6516732,"Sonoma County",1526,"06097152600"
"1008178","CITADEL OUTLETS CUSTOMER SERVICE","100 CITADEL DR STE 480, CTY OF CMMRCE, CA 90040",34.0061604,-118.1516284,"Los Angeles County",5323.03,"06037532303"
"406973","7-ELEVEN 2366-14318","100 CLARENDON RD, PACIFICA, CA 94044",37.6296333,-122.4909402,"San Mateo County",6030,"06081603000"
"678404","CODDINGTOWN VALERO","100 CODDINGTOWN CTR, SANTA ROSA, CA 95401",38.4595506,-122.7287772,"Sonoma County",1530.01,"06097153001"
"1014200","RAJIS MINI MART","100 D ST, WHEATLAND, CA 95692",39.0107067,-121.4266693,"Yuba County",408,"06115040800"
"1023912","CALIFORNIA FOOD MARKET","100 D W HAMILTON AV, CAMPBELL, CA 95008",37.2937659,-121.95193,"Santa Clara County",5065.03,"06085506503"
"182671","SAFEWAY 09-0639","100 DE ANZA BL, SAN MATEO, CA 94402",37.5206463,-122.3378475,"San Mateo County",6068,"06081606800"
"1022667","DON MAX CHECK CASHING","100 E 5TH ST, OXNARD, CA 93030",34.1974505,-119.177194,"Ventura County",91,"06111009100"
"1010939","VALERO #3517","100 E BELLEVUE, ATWATER, CA 95301",37.3602319,-120.5955199,"Merced County",8.01,"06047000801"
"1034050","7-ELEVEN 2710-37970","100 E BELLEVUE, ATWATER, CA 95301",37.3602319,-120.5955199,"Merced County",8.01,"06047000801"
"1004432","COMMUNITY MARKET","100 E BIG BEAR BL, BIG BEAR CITY, CA 92314",34.2608826,-116.8453639,"San Bernardino County",114.01,"06071011401"
"1026199","CENTURY CHEVRON","100 E GLENWOOD AV, TURLOCK, CA 95380",37.4750917,-120.8484693,"Stanislaus County",37,"06099003700"
"1006088","CHEVRON #1984","100 E KATELLA AVE, ANAHEIM, CA 92802",33.8030505,-117.9062591,"Orange County",875.04,"06059087504"
"1011083","BUZZ'S MINI MARKET","100 E MAIN ST, BARSTOW, CA 92311",34.8983912,-117.0274569,"San Bernardino County",94,"06071009400"
"1029611","MIKES LIQUOR","100 E PACIFIC COAST HWY, LONG BEACH, CA 90806",33.7896853,-118.192665,"Los Angeles County",5754.02,"06037575402"
"1024912","DANDY MARKET","100 EL PRADO, SAN RAFAEL, CA 94903",37.9968227,-122.5364892,"Marin County",1082,"06041108200"
"675865","ARTZ' WESTSIDE CHEVRON","100 KERN ST, TAFT, CA 93268",35.1409975,-119.4516739,"Kern County",35,"06029003500"
