LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,20137,5847,19485
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,15959,4695,15556
1ST SUPERVISORIAL,N,795106,TOTAL,103746,36096,10542,35041
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,23266,6515,28324
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,16708,5815,21892
2ND SUPERVISORIAL,N,902623,TOTAL,131237,39974,12330,50216
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,29035,7499,34615
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,27711,7454,30961
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,56746,14953,65576
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,42314,9855,28677
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,38390,9557,28458
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,80704,19412,57135
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,39543,8511,25190
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,39810,9290,27015
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,79353,17801,52205
