LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,36845
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,30240
1ST SUPERVISORIAL,N,795106,TOTAL,103746,67085
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,43918
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,35545
2ND SUPERVISORIAL,N,902623,TOTAL,131237,79463
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,53842
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,50418
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,104260
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,63799
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,61536
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,125335
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,58003
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,60384
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,118387
