LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,39205,12397
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,29315,10592
1ST SUPERVISORIAL,N,795106,TOTAL,103746,68520,22989
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,54985,10814
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,39677,9280
2ND SUPERVISORIAL,N,902623,TOTAL,131237,94662,20094
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,64553,20534
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,56965,20061
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,121518,40595
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,61670,33055
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,57552,31087
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,119222,64142
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,54990,31098
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,56317,31361
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,111307,62459
