LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,2496,2529,1630,34048,2306,1200,4605
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,2112,2687,1391,27341,1873,772,4270
1ST SUPERVISORIAL,N,795106,TOTAL,103746,4608,5216,3021,61389,4179,1972,8875
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,2082,2077,1442,50994,2039,1163,3336
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,1888,1836,1187,40286,1662,877,3137
2ND SUPERVISORIAL,N,902623,TOTAL,131237,3970,3913,2629,91280,3701,2040,6473
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,6518,3748,2159,57698,3990,1775,6724
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,6275,5675,2187,53011,3683,1526,6837
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,12793,9423,4346,110709,7673,3301,13561
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,9744,7629,2720,48881,7829,1920,11975
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,8836,9882,2716,46554,6790,1763,11872
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,18580,17511,5436,95435,14619,3683,23847
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,11341,8094,2128,39994,6355,1759,13204
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,10296,12001,2610,42161,6372,1819,13358
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,21637,20095,4738,82155,12727,3578,26562
