LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,9273,34561
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,6168,28832
1ST SUPERVISORIAL,N,795106,TOTAL,103746,15441,63393
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,11050,41700
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,7798,33724
2ND SUPERVISORIAL,N,902623,TOTAL,131237,18848,75424
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,14509,52265
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,11812,50919
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,26321,103184
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,13612,63813
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,10834,62810
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,24446,126623
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,11532,59214
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,10280,63720
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,21812,122934
