LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,19628,27196
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,15601,21518
1ST SUPERVISORIAL,N,795106,TOTAL,103746,35229,48714
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,20113,39961
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,18165,27554
2ND SUPERVISORIAL,N,902623,TOTAL,131237,38278,67515
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,33035,39794
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,30232,37299
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,63267,77093
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,27722,54925
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,27747,50353
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,55469,105278
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,24842,49759
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,27380,49772
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,52222,99531
