LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
1ST SUPERVISORIAL,N,737254,POLLING PLACE,53743,25149
1ST SUPERVISORIAL,N,0,VBM PORTION,43061,21900
1ST SUPERVISORIAL,N,737254,TOTAL,96780,47049
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,40429
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,33523
2ND SUPERVISORIAL,N,902623,TOTAL,131237,73952
3RD SUPERVISORIAL,N,799983,POLLING PLACE,78922,37384
3RD SUPERVISORIAL,N,0,VBM PORTION,76603,37578
3RD SUPERVISORIAL,N,799983,TOTAL,155502,74962
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,44990
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,46762
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,91752
5TH SUPERVISORIAL,N,681010,POLLING PLACE,63057,23953
5TH SUPERVISORIAL,N,0,VBM PORTION,68261,27356
5TH SUPERVISORIAL,N,681010,TOTAL,131291,51309
