LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,11299,2662,2225,22226,4884,6868
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,10476,2185,2059,14288,5330,6891
1ST SUPERVISORIAL,N,795106,TOTAL,103746,21775,4847,4284,36514,10214,13759
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,19684,3172,4243,22396,4107,6915
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,16145,2677,4580,14965,4357,6368
2ND SUPERVISORIAL,N,902623,TOTAL,131237,35829,5849,8823,37361,8464,13283
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,20397,5519,3418,25184,8614,18513
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,18488,4917,3776,21001,10205,19200
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,38885,10436,7194,46185,18819,37713
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,17249,4485,3210,24381,15519,26081
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,18113,4690,3887,18733,17281,26317
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,35362,9175,7097,43114,32800,52398
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,15014,3811,2624,18395,15652,27780
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,16772,4665,3702,16887,17310,30156
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,31786,8476,6326,35282,32962,57936
